"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006163","purine nucleotide metabolic process",331,26,8.24,"2.7e-07"
"2","GO:0072521","purine-containing compound metabolic pro...",356,27,8.87,"3.2e-07"
"3","GO:0046034","ATP metabolic process",236,21,5.88,"5.1e-07"
"4","GO:0009126","purine nucleoside monophosphate metaboli...",259,22,6.45,"6.0e-07"
"5","GO:0009167","purine ribonucleoside monophosphate meta...",259,22,6.45,"6.0e-07"
"6","GO:0030163","protein catabolic process",260,22,6.48,"6.5e-07"
"7","GO:0009199","ribonucleoside triphosphate metabolic pr...",261,22,6.5,"6.9e-07"
"8","GO:0009259","ribonucleotide metabolic process",327,25,8.15,"7.5e-07"
"9","GO:0034220","ion transmembrane transport",350,26,8.72,"7.8e-07"
"10","GO:0009161","ribonucleoside monophosphate metabolic p...",267,22,6.65,"1.0e-06"
"11","GO:0019693","ribose phosphate metabolic process",356,26,8.87,"1.1e-06"
"12","GO:0006396","RNA processing",530,33,13.2,"1.4e-06"
"13","GO:0009150","purine ribonucleotide metabolic process",318,24,7.92,"1.6e-06"
"14","GO:0009123","nucleoside monophosphate metabolic proce...",275,22,6.85,"1.7e-06"
"15","GO:0009144","purine nucleoside triphosphate metabolic...",254,21,6.33,"1.7e-06"
"16","GO:0009205","purine ribonucleoside triphosphate metab...",254,21,6.33,"1.7e-06"
"17","GO:0009141","nucleoside triphosphate metabolic proces...",277,22,6.9,"1.9e-06"
"18","GO:0098655","cation transmembrane transport",323,24,8.05,"2.1e-06"
"19","GO:0098662","inorganic cation transmembrane transport",303,23,7.55,"2.4e-06"
"20","GO:0098660","inorganic ion transmembrane transport",305,23,7.6,"2.6e-06"
"21","GO:0009117","nucleotide metabolic process",426,28,10.61,"3.3e-06"
"22","GO:0006753","nucleoside phosphate metabolic process",437,28,10.89,"5.4e-06"
"23","GO:0045184","establishment of protein localization",425,27,10.59,"9.2e-06"
"24","GO:0006754","ATP biosynthetic process",200,17,4.98,"1.1e-05"
"25","GO:0009127","purine nucleoside monophosphate biosynth...",223,18,5.55,"1.3e-05"
"26","GO:0009142","nucleoside triphosphate biosynthetic pro...",223,18,5.55,"1.3e-05"
"27","GO:0009168","purine ribonucleoside monophosphate bios...",223,18,5.55,"1.3e-05"
"28","GO:0009201","ribonucleoside triphosphate biosynthetic...",223,18,5.55,"1.3e-05"
"29","GO:0055086","nucleobase-containing small molecule met...",516,30,12.85,"1.7e-05"
"30","GO:0008104","protein localization",442,27,11.01,"1.9e-05"
"31","GO:0015031","protein transport",419,26,10.44,"2.0e-05"
"32","GO:0009156","ribonucleoside monophosphate biosyntheti...",231,18,5.75,"2.1e-05"
"33","GO:0019637","organophosphate metabolic process",689,36,17.16,"2.5e-05"
"34","GO:0009145","purine nucleoside triphosphate biosynthe...",216,17,5.38,"3.1e-05"
"35","GO:0009206","purine ribonucleoside triphosphate biosy...",216,17,5.38,"3.1e-05"
"36","GO:0015672","monovalent inorganic cation transport",307,21,7.65,"3.1e-05"
"37","GO:0009124","nucleoside monophosphate biosynthetic pr...",239,18,5.95,"3.3e-05"
"38","GO:0072522","purine-containing compound biosynthetic ...",285,20,7.1,"3.3e-05"
"39","GO:1901575","organic substance catabolic process",672,35,16.74,"3.4e-05"
"40","GO:1901565","organonitrogen compound catabolic proces...",358,23,8.92,"3.5e-05"
