"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0045944","positive regulation of transcription by ...",76,4,0.2,"4.6e-05"
"2","GO:0045893","positive regulation of transcription, DN...",99,4,0.26,"0.00013"
"3","GO:0045935","positive regulation of nucleobase-contai...",99,4,0.26,"0.00013"
"4","GO:0051254","positive regulation of RNA metabolic pro...",99,4,0.26,"0.00013"
"5","GO:1902680","positive regulation of RNA biosynthetic ...",99,4,0.26,"0.00013"
"6","GO:1903508","positive regulation of nucleic acid-temp...",99,4,0.26,"0.00013"
"7","GO:0009891","positive regulation of biosynthetic proc...",108,4,0.28,"0.00018"
"8","GO:0010557","positive regulation of macromolecule bio...",108,4,0.28,"0.00018"
"9","GO:0010604","positive regulation of macromolecule met...",108,4,0.28,"0.00018"
"10","GO:0010628","positive regulation of gene expression",108,4,0.28,"0.00018"
"11","GO:0031328","positive regulation of cellular biosynth...",108,4,0.28,"0.00018"
"12","GO:0051173","positive regulation of nitrogen compound...",108,4,0.28,"0.00018"
"13","GO:0006357","regulation of transcription by RNA polym...",110,4,0.29,"0.00019"
"14","GO:0009893","positive regulation of metabolic process",113,4,0.3,"0.00022"
"15","GO:0031325","positive regulation of cellular metaboli...",113,4,0.3,"0.00022"
"16","GO:0048522","positive regulation of cellular process",123,4,0.32,"0.00030"
"17","GO:0048518","positive regulation of biological proces...",124,4,0.32,"0.00031"
"18","GO:0005975","carbohydrate metabolic process",1299,11,3.4,"0.00042"
"19","GO:0006366","transcription by RNA polymerase II",149,4,0.39,"0.00062"
"20","GO:0009832","plant-type cell wall biogenesis",30,2,0.08,"0.00278"
"21","GO:0010215","cellulose microfibril organization",30,2,0.08,"0.00278"
"22","GO:0030198","extracellular matrix organization",30,2,0.08,"0.00278"
"23","GO:0043062","extracellular structure organization",30,2,0.08,"0.00278"
"24","GO:0070726","cell wall assembly",30,2,0.08,"0.00278"
"25","GO:0071668","plant-type cell wall assembly",30,2,0.08,"0.00278"
"26","GO:0006481","C-terminal protein methylation",2,1,0.01,"0.00523"
"27","GO:0018410","C-terminal protein amino acid modificati...",2,1,0.01,"0.00523"
"28","GO:0043687","post-translational protein modification",2,1,0.01,"0.00523"
"29","GO:0007275","multicellular organism development",63,2,0.16,"0.01183"
"30","GO:0071554","cell wall organization or biogenesis",347,4,0.91,"0.01272"
"31","GO:0032502","developmental process",77,2,0.2,"0.01731"
"32","GO:0048856","anatomical structure development",77,2,0.2,"0.01731"
"33","GO:0006355","regulation of transcription, DNA-templat...",1590,9,4.16,"0.02059"
"34","GO:1903506","regulation of nucleic acid-templated tra...",1590,9,4.16,"0.02059"
"35","GO:2001141","regulation of RNA biosynthetic process",1590,9,4.16,"0.02059"
"36","GO:0051013","microtubule severing",8,1,0.02,"0.02074"
"37","GO:0051252","regulation of RNA metabolic process",1595,9,4.17,"0.02098"
"38","GO:0019219","regulation of nucleobase-containing comp...",1608,9,4.21,"0.02200"
"39","GO:0009889","regulation of biosynthetic process",1611,9,4.21,"0.02224"
"40","GO:0010556","regulation of macromolecule biosynthetic...",1611,9,4.21,"0.02224"
