"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0033013","tetrapyrrole metabolic process",66,42,9.89,"2.7e-19"
"2","GO:0033014","tetrapyrrole biosynthetic process",60,39,8.99,"1.7e-18"
"3","GO:0044281","small molecule metabolic process",1596,348,239.22,"1.7e-14"
"4","GO:0015979","photosynthesis",188,69,28.18,"1.5e-13"
"5","GO:0006520","cellular amino acid metabolic process",548,143,82.14,"5.2e-12"
"6","GO:0006801","superoxide metabolic process",29,21,4.35,"5.8e-12"
"7","GO:0051188","cofactor biosynthetic process",289,88,43.32,"1.5e-11"
"8","GO:1901566","organonitrogen compound biosynthetic pro...",1926,387,288.68,"9.4e-11"
"9","GO:0006778","porphyrin-containing compound metabolic ...",44,25,6.6,"1.7e-10"
"10","GO:0019752","carboxylic acid metabolic process",981,216,147.04,"1.1e-09"
"11","GO:0006779","porphyrin-containing compound biosynthet...",38,22,5.7,"1.3e-09"
"12","GO:0043436","oxoacid metabolic process",986,216,147.79,"1.7e-09"
"13","GO:0006082","organic acid metabolic process",988,216,148.09,"2.0e-09"
"14","GO:0051186","cofactor metabolic process",588,142,88.13,"2.1e-09"
"15","GO:0006399","tRNA metabolic process",269,77,40.32,"6.2e-09"
"16","GO:0034660","ncRNA metabolic process",366,96,54.86,"1.3e-08"
"17","GO:0006732","coenzyme metabolic process",308,83,46.17,"3.3e-08"
"18","GO:0065008","regulation of biological quality",409,101,61.3,"1.4e-07"
"19","GO:0043038","amino acid activation",138,45,20.68,"1.5e-07"
"20","GO:0043039","tRNA aminoacylation",138,45,20.68,"1.5e-07"
"21","GO:0045454","cell redox homeostasis",233,65,34.92,"2.6e-07"
"22","GO:1901605","alpha-amino acid metabolic process",289,76,43.32,"3.6e-07"
"23","GO:0019725","cellular homeostasis",268,71,40.17,"6.4e-07"
"24","GO:0006418","tRNA aminoacylation for protein translat...",132,42,19.79,"8.2e-07"
"25","GO:0080135","regulation of cellular response to stres...",7,7,1.05,"1.7e-06"
"26","GO:0009108","coenzyme biosynthetic process",239,62,35.82,"6.7e-06"
"27","GO:0006544","glycine metabolic process",30,15,4.5,"6.9e-06"
"28","GO:0044283","small molecule biosynthetic process",664,141,99.53,"7.1e-06"
"29","GO:0015994","chlorophyll metabolic process",15,10,2.25,"8.2e-06"
"30","GO:0044282","small molecule catabolic process",77,27,11.54,"1.0e-05"
"31","GO:0008104","protein localization",442,100,66.25,"1.1e-05"
"32","GO:0072524","pyridine-containing compound metabolic p...",183,50,27.43,"1.1e-05"
"33","GO:0080134","regulation of response to stress",8,7,1.2,"1.2e-05"
"34","GO:1901615","organic hydroxy compound metabolic proce...",79,27,11.84,"1.7e-05"
"35","GO:0006415","translational termination",32,15,4.8,"1.9e-05"
"36","GO:0009312","oligosaccharide biosynthetic process",63,23,9.44,"2.1e-05"
"37","GO:0009110","vitamin biosynthetic process",57,21,8.54,"4.1e-05"
"38","GO:0042592","homeostatic process",310,73,46.47,"4.1e-05"
"39","GO:0001505","regulation of neurotransmitter levels",34,15,5.1,"4.5e-05"
"40","GO:0042133","neurotransmitter metabolic process",34,15,5.1,"4.5e-05"
