"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0045944","positive regulation of transcription by ...",76,17,0.47,"2.5e-22"
"2","GO:0045893","positive regulation of transcription, DN...",99,17,0.62,"3.2e-20"
"3","GO:0045935","positive regulation of nucleobase-contai...",99,17,0.62,"3.2e-20"
"4","GO:0051254","positive regulation of RNA metabolic pro...",99,17,0.62,"3.2e-20"
"5","GO:1902680","positive regulation of RNA biosynthetic ...",99,17,0.62,"3.2e-20"
"6","GO:1903508","positive regulation of nucleic acid-temp...",99,17,0.62,"3.2e-20"
"7","GO:0009891","positive regulation of biosynthetic proc...",108,17,0.67,"1.5e-19"
"8","GO:0010557","positive regulation of macromolecule bio...",108,17,0.67,"1.5e-19"
"9","GO:0010604","positive regulation of macromolecule met...",108,17,0.67,"1.5e-19"
"10","GO:0010628","positive regulation of gene expression",108,17,0.67,"1.5e-19"
"11","GO:0031328","positive regulation of cellular biosynth...",108,17,0.67,"1.5e-19"
"12","GO:0051173","positive regulation of nitrogen compound...",108,17,0.67,"1.5e-19"
"13","GO:0006357","regulation of transcription by RNA polym...",110,17,0.68,"2.1e-19"
"14","GO:0009893","positive regulation of metabolic process",113,17,0.7,"3.4e-19"
"15","GO:0031325","positive regulation of cellular metaboli...",113,17,0.7,"3.4e-19"
"16","GO:0048522","positive regulation of cellular process",123,17,0.76,"1.5e-18"
"17","GO:0048518","positive regulation of biological proces...",124,17,0.77,"1.8e-18"
"18","GO:0006366","transcription by RNA polymerase II",149,17,0.93,"4.3e-17"
"19","GO:0006355","regulation of transcription, DNA-templat...",1590,30,9.88,"2.3e-08"
"20","GO:1903506","regulation of nucleic acid-templated tra...",1590,30,9.88,"2.3e-08"
"21","GO:2001141","regulation of RNA biosynthetic process",1590,30,9.88,"2.3e-08"
"22","GO:0051252","regulation of RNA metabolic process",1595,30,9.91,"2.4e-08"
"23","GO:0019219","regulation of nucleobase-containing comp...",1608,30,9.99,"2.9e-08"
"24","GO:0009889","regulation of biosynthetic process",1611,30,10.01,"3.1e-08"
"25","GO:0010556","regulation of macromolecule biosynthetic...",1611,30,10.01,"3.1e-08"
"26","GO:0031326","regulation of cellular biosynthetic proc...",1611,30,10.01,"3.1e-08"
"27","GO:2000112","regulation of cellular macromolecule bio...",1611,30,10.01,"3.1e-08"
"28","GO:0051171","regulation of nitrogen compound metaboli...",1661,30,10.32,"6.1e-08"
"29","GO:0080090","regulation of primary metabolic process",1661,30,10.32,"6.1e-08"
"30","GO:0031323","regulation of cellular metabolic process",1663,30,10.33,"6.2e-08"
"31","GO:0010468","regulation of gene expression",1665,30,10.35,"6.4e-08"
"32","GO:0060255","regulation of macromolecule metabolic pr...",1717,30,10.67,"1.3e-07"
"33","GO:0019222","regulation of metabolic process",1728,30,10.74,"1.5e-07"
"34","GO:0006351","transcription, DNA-templated",1823,30,11.33,"4.6e-07"
"35","GO:0097659","nucleic acid-templated transcription",1823,30,11.33,"4.6e-07"
"36","GO:0032774","RNA biosynthetic process",1827,30,11.35,"4.9e-07"
"37","GO:0050794","regulation of cellular process",2378,34,14.78,"1.7e-06"
"38","GO:0018130","heterocycle biosynthetic process",2398,34,14.9,"2.0e-06"
"39","GO:0034654","nucleobase-containing compound biosynthe...",2195,32,13.64,"2.5e-06"
"40","GO:0050789","regulation of biological process",2453,34,15.24,"3.4e-06"
