"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0051641","cellular localization",431,34,3.69,"2.6e-23"
"2","GO:0046907","intracellular transport",381,32,3.26,"8.8e-23"
"3","GO:0051649","establishment of localization in cell",383,32,3.28,"1.0e-22"
"4","GO:0006886","intracellular protein transport",311,28,2.66,"8.5e-21"
"5","GO:0015031","protein transport",419,31,3.59,"1.9e-20"
"6","GO:0045184","establishment of protein localization",425,31,3.64,"2.9e-20"
"7","GO:0034613","cellular protein localization",334,28,2.86,"5.8e-20"
"8","GO:0070727","cellular macromolecule localization",334,28,2.86,"5.8e-20"
"9","GO:0008104","protein localization",442,31,3.78,"9.0e-20"
"10","GO:0015833","peptide transport",478,31,4.09,"8.7e-19"
"11","GO:0042886","amide transport",478,31,4.09,"8.7e-19"
"12","GO:0016192","vesicle-mediated transport",378,28,3.23,"1.6e-18"
"13","GO:0033036","macromolecule localization",568,32,4.86,"1.4e-17"
"14","GO:0071705","nitrogen compound transport",565,31,4.83,"1.0e-16"
"15","GO:0071702","organic substance transport",697,32,5.96,"4.7e-15"
"16","GO:0007265","Ras protein signal transduction",12,6,0.1,"3.2e-10"
"17","GO:0032011","ARF protein signal transduction",12,6,0.1,"3.2e-10"
"18","GO:0032012","regulation of ARF protein signal transdu...",12,6,0.1,"3.2e-10"
"19","GO:0046578","regulation of Ras protein signal transdu...",12,6,0.1,"3.2e-10"
"20","GO:0051056","regulation of small GTPase mediated sign...",12,6,0.1,"3.2e-10"
"21","GO:1902531","regulation of intracellular signal trans...",12,6,0.1,"3.2e-10"
"22","GO:0048583","regulation of response to stimulus",31,7,0.27,"6.5e-09"
"23","GO:0009966","regulation of signal transduction",19,6,0.16,"8.8e-09"
"24","GO:0010646","regulation of cell communication",19,6,0.16,"8.8e-09"
"25","GO:0023051","regulation of signaling",19,6,0.16,"8.8e-09"
"26","GO:0006928","movement of cell or subcellular componen...",140,11,1.2,"3.3e-08"
"27","GO:0007018","microtubule-based movement",140,11,1.2,"3.3e-08"
"28","GO:0007017","microtubule-based process",219,12,1.87,"4.1e-07"
"29","GO:0007264","small GTPase mediated signal transductio...",44,6,0.38,"1.9e-06"
"30","GO:0006511","ubiquitin-dependent protein catabolic pr...",195,9,1.67,"4.7e-05"
"31","GO:0019941","modification-dependent protein catabolic...",195,9,1.67,"4.7e-05"
"32","GO:0043632","modification-dependent macromolecule cat...",195,9,1.67,"4.7e-05"
"33","GO:0006810","transport",2804,43,23.99,"6.7e-05"
"34","GO:0051234","establishment of localization",2812,43,24.06,"7.1e-05"
"35","GO:0006298","mismatch repair",27,4,0.23,"7.8e-05"
"36","GO:0051179","localization",2838,43,24.29,"8.8e-05"
"37","GO:0044257","cellular protein catabolic process",225,9,1.93,"0.00014"
"38","GO:0051603","proteolysis involved in cellular protein...",225,9,1.93,"0.00014"
"39","GO:0044265","cellular macromolecule catabolic process",280,10,2.4,"0.00015"
"40","GO:0016579","protein deubiquitination",73,5,0.62,"0.00040"
