"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006412","translation",997,425,44.18,"< 1e-30"
"2","GO:0006518","peptide metabolic process",1028,425,45.55,"< 1e-30"
"3","GO:0043043","peptide biosynthetic process",1004,425,44.49,"< 1e-30"
"4","GO:0043603","cellular amide metabolic process",1111,428,49.23,"< 1e-30"
"5","GO:0043604","amide biosynthetic process",1047,427,46.4,"< 1e-30"
"6","GO:1901566","organonitrogen compound biosynthetic pro...",1926,444,85.35,"< 1e-30"
"7","GO:0010467","gene expression",3456,524,153.14,"< 1e-30"
"8","GO:0009059","macromolecule biosynthetic process",3189,472,141.31,"< 1e-30"
"9","GO:0034645","cellular macromolecule biosynthetic proc...",3189,472,141.31,"< 1e-30"
"10","GO:0044271","cellular nitrogen compound biosynthetic ...",3403,481,150.8,"< 1e-30"
"11","GO:0034641","cellular nitrogen compound metabolic pro...",4809,557,213.1,"< 1e-30"
"12","GO:0044267","cellular protein metabolic process",3942,490,174.68,"< 1e-30"
"13","GO:0044249","cellular biosynthetic process",4379,494,194.04,"< 1e-30"
"14","GO:1901576","organic substance biosynthetic process",4464,495,197.81,"< 1e-30"
"15","GO:0009058","biosynthetic process",4652,499,206.14,"< 1e-30"
"16","GO:0019538","protein metabolic process",4784,500,211.99,"< 1e-30"
"17","GO:0044260","cellular macromolecule metabolic process",6499,552,287.99,"< 1e-30"
"18","GO:1901564","organonitrogen compound metabolic proces...",5964,526,264.28,"< 1e-30"
"19","GO:0043170","macromolecule metabolic process",7921,611,351,"< 1e-30"
"20","GO:0006807","nitrogen compound metabolic process",8977,635,397.79,"< 1e-30"
"21","GO:0009987","cellular process",11364,708,503.57,"< 1e-30"
"22","GO:0044237","cellular metabolic process",9563,636,423.76,"< 1e-30"
"23","GO:0044238","primary metabolic process",10615,656,470.38,"< 1e-30"
"24","GO:0071704","organic substance metabolic process",11072,658,490.63,"< 1e-30"
"25","GO:0022613","ribonucleoprotein complex biogenesis",171,42,7.58,"4.0e-20"
"26","GO:0042254","ribosome biogenesis",140,33,6.2,"1.6e-15"
"27","GO:0044085","cellular component biogenesis",501,57,22.2,"6.3e-11"
"28","GO:0008152","metabolic process",13764,682,609.92,"2.9e-10"
"29","GO:0008380","RNA splicing",106,21,4.7,"6.6e-09"
"30","GO:0006626","protein targeting to mitochondrion",7,6,0.31,"5.0e-08"
"31","GO:0030150","protein import into mitochondrial matrix",7,6,0.31,"5.0e-08"
"32","GO:0044743","protein transmembrane import into intrac...",7,6,0.31,"5.0e-08"
"33","GO:0065002","intracellular protein transmembrane tran...",7,6,0.31,"5.0e-08"
"34","GO:0070585","protein localization to mitochondrion",7,6,0.31,"5.0e-08"
"35","GO:0072655","establishment of protein localization to...",7,6,0.31,"5.0e-08"
"36","GO:0006396","RNA processing",530,52,23.49,"6.9e-08"
"37","GO:0000387","spliceosomal snRNP assembly",21,9,0.93,"1.1e-07"
"38","GO:0022618","ribonucleoprotein complex assembly",40,11,1.77,"8.6e-07"
"39","GO:0071826","ribonucleoprotein complex subunit organi...",40,11,1.77,"8.6e-07"
"40","GO:0000375","RNA splicing, via transesterification re...",86,16,3.81,"1.0e-06"
