"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006952","defense response",114,9,1,"7.3e-07"
"2","GO:0009308","amine metabolic process",102,5,0.9,"0.0021"
"3","GO:0006569","tryptophan catabolic process",8,2,0.07,"0.0021"
"4","GO:0009310","amine catabolic process",8,2,0.07,"0.0021"
"5","GO:0019441","tryptophan catabolic process to kynureni...",8,2,0.07,"0.0021"
"6","GO:0042402","cellular biogenic amine catabolic proces...",8,2,0.07,"0.0021"
"7","GO:0042436","indole-containing compound catabolic pro...",8,2,0.07,"0.0021"
"8","GO:0042537","benzene-containing compound metabolic pr...",8,2,0.07,"0.0021"
"9","GO:0046168","glycerol-3-phosphate catabolic process",8,2,0.07,"0.0021"
"10","GO:0046218","indolalkylamine catabolic process",8,2,0.07,"0.0021"
"11","GO:0070189","kynurenine metabolic process",8,2,0.07,"0.0021"
"12","GO:0006370","7-methylguanosine mRNA capping",9,2,0.08,"0.0026"
"13","GO:0006568","tryptophan metabolic process",35,3,0.31,"0.0035"
"14","GO:0006586","indolalkylamine metabolic process",35,3,0.31,"0.0035"
"15","GO:0042430","indole-containing compound metabolic pro...",35,3,0.31,"0.0035"
"16","GO:0006072","glycerol-3-phosphate metabolic process",11,2,0.1,"0.0040"
"17","GO:0052646","alditol phosphate metabolic process",11,2,0.1,"0.0040"
"18","GO:0008610","lipid biosynthetic process",420,10,3.69,"0.0040"
"19","GO:0009452","7-methylguanosine RNA capping",13,2,0.11,"0.0056"
"20","GO:0036260","RNA capping",13,2,0.11,"0.0056"
"21","GO:0009664","plant-type cell wall organization",91,4,0.8,"0.0085"
"22","GO:0009690","cytokinin metabolic process",16,2,0.14,"0.0085"
"23","GO:0034754","cellular hormone metabolic process",16,2,0.14,"0.0085"
"24","GO:0010817","regulation of hormone levels",18,2,0.16,"0.0107"
"25","GO:0042445","hormone metabolic process",18,2,0.16,"0.0107"
"26","GO:0009074","aromatic amino acid family catabolic pro...",19,2,0.17,"0.0119"
"27","GO:0009737","response to abscisic acid",19,2,0.17,"0.0119"
"28","GO:0009738","abscisic acid-activated signaling pathwa...",19,2,0.17,"0.0119"
"29","GO:0071215","cellular response to abscisic acid stimu...",19,2,0.17,"0.0119"
"30","GO:0071229","cellular response to acid chemical",19,2,0.17,"0.0119"
"31","GO:0097305","response to alcohol",19,2,0.17,"0.0119"
"32","GO:0097306","cellular response to alcohol",19,2,0.17,"0.0119"
"33","GO:0071669","plant-type cell wall organization or bio...",105,4,0.92,"0.0138"
"34","GO:0033993","response to lipid",21,2,0.18,"0.0144"
"35","GO:0071396","cellular response to lipid",21,2,0.18,"0.0144"
"36","GO:0009755","hormone-mediated signaling pathway",22,2,0.19,"0.0158"
"37","GO:0032870","cellular response to hormone stimulus",22,2,0.19,"0.0158"
"38","GO:0071310","cellular response to organic substance",22,2,0.19,"0.0158"
"39","GO:0071495","cellular response to endogenous stimulus",22,2,0.19,"0.0158"
"40","GO:0044255","cellular lipid metabolic process",522,10,4.58,"0.0170"
