"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0055085","transmembrane transport",1722,80,53.03,"0.00012"
"2","GO:0006820","anion transport",188,16,5.79,"0.00024"
"3","GO:0008272","sulfate transport",34,6,1.05,"0.00054"
"4","GO:0072348","sulfur compound transport",34,6,1.05,"0.00054"
"5","GO:0005977","glycogen metabolic process",14,4,0.43,"0.00070"
"6","GO:0005978","glycogen biosynthetic process",14,4,0.43,"0.00070"
"7","GO:0006112","energy reserve metabolic process",14,4,0.43,"0.00070"
"8","GO:0006810","transport",2804,114,86.35,"0.00091"
"9","GO:0000255","allantoin metabolic process",2,2,0.06,"0.00095"
"10","GO:0000256","allantoin catabolic process",2,2,0.06,"0.00095"
"11","GO:0051179","localization",2838,115,87.4,"0.00097"
"12","GO:0051234","establishment of localization",2812,114,86.6,"0.00101"
"13","GO:0009890","negative regulation of biosynthetic proc...",8,3,0.25,"0.00145"
"14","GO:0010558","negative regulation of macromolecule bio...",8,3,0.25,"0.00145"
"15","GO:0031327","negative regulation of cellular biosynth...",8,3,0.25,"0.00145"
"16","GO:2000113","negative regulation of cellular macromol...",8,3,0.25,"0.00145"
"17","GO:0016226","iron-sulfur cluster assembly",32,5,0.99,"0.00275"
"18","GO:0031163","metallo-sulfur cluster assembly",32,5,0.99,"0.00275"
"19","GO:0019632","shikimate metabolic process",3,2,0.09,"0.00278"
"20","GO:1901615","organic hydroxy compound metabolic proce...",79,8,2.43,"0.00295"
"21","GO:0015698","inorganic anion transport",82,8,2.53,"0.00372"
"22","GO:0031324","negative regulation of cellular metaboli...",12,3,0.37,"0.00519"
"23","GO:0046173","polyol biosynthetic process",12,3,0.37,"0.00519"
"24","GO:0051172","negative regulation of nitrogen compound...",12,3,0.37,"0.00519"
"25","GO:0006021","inositol biosynthetic process",4,2,0.12,"0.00545"
"26","GO:0006788","heme oxidation",4,2,0.12,"0.00545"
"27","GO:0043605","cellular amide catabolic process",4,2,0.12,"0.00545"
"28","GO:0006857","oligopeptide transport",57,6,1.76,"0.00797"
"29","GO:0006612","protein targeting to membrane",27,4,0.83,"0.00890"
"30","GO:0006613","cotranslational protein targeting to mem...",27,4,0.83,"0.00890"
"31","GO:0006614","SRP-dependent cotranslational protein ta...",27,4,0.83,"0.00890"
"32","GO:0045047","protein targeting to ER",27,4,0.83,"0.00890"
"33","GO:0072599","establishment of protein localization to...",27,4,0.83,"0.00890"
"34","GO:0045892","negative regulation of transcription, DN...",5,2,0.15,"0.00890"
"35","GO:0051253","negative regulation of RNA metabolic pro...",5,2,0.15,"0.00890"
"36","GO:1902679","negative regulation of RNA biosynthetic ...",5,2,0.15,"0.00890"
"37","GO:1903507","negative regulation of nucleic acid-temp...",5,2,0.15,"0.00890"
"38","GO:0070972","protein localization to endoplasmic reti...",43,5,1.32,"0.00998"
"39","GO:0006787","porphyrin-containing compound catabolic ...",6,2,0.18,"0.01308"
"40","GO:0033015","tetrapyrrole catabolic process",6,2,0.18,"0.01308"
