"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0043604","amide biosynthetic process",1047,427,148.09,"< 1e-30"
"2","GO:0043043","peptide biosynthetic process",1004,416,142.01,"< 1e-30"
"3","GO:0006412","translation",997,414,141.02,"< 1e-30"
"4","GO:0006518","peptide metabolic process",1028,417,145.4,"< 1e-30"
"5","GO:0043603","cellular amide metabolic process",1111,436,157.14,"< 1e-30"
"6","GO:1901566","organonitrogen compound biosynthetic pro...",1926,553,272.41,"< 1e-30"
"7","GO:0044267","cellular protein metabolic process",3942,879,557.56,"< 1e-30"
"8","GO:0009059","macromolecule biosynthetic process",3189,747,451.05,"< 1e-30"
"9","GO:0034645","cellular macromolecule biosynthetic proc...",3189,747,451.05,"< 1e-30"
"10","GO:0044260","cellular macromolecule metabolic process",6499,1258,919.22,"< 1e-30"
"11","GO:0019538","protein metabolic process",4784,969,676.65,"< 1e-30"
"12","GO:0044249","cellular biosynthetic process",4379,898,619.37,"< 1e-30"
"13","GO:1901576","organic substance biosynthetic process",4464,908,631.39,"< 1e-30"
"14","GO:0007017","microtubule-based process",219,112,30.98,"< 1e-30"
"15","GO:0009987","cellular process",11364,1898,1607.32,"< 1e-30"
"16","GO:0043170","macromolecule metabolic process",7921,1420,1120.35,"< 1e-30"
"17","GO:0009058","biosynthetic process",4652,927,657.98,"< 1e-30"
"18","GO:0034641","cellular nitrogen compound metabolic pro...",4809,950,680.19,"< 1e-30"
"19","GO:0044271","cellular nitrogen compound biosynthetic ...",3403,711,481.32,"< 1e-30"
"20","GO:1901564","organonitrogen compound metabolic proces...",5964,1105,843.55,"< 1e-30"
"21","GO:0010467","gene expression",3456,712,488.82,"< 1e-30"
"22","GO:0006807","nitrogen compound metabolic process",8977,1542,1269.71,"< 1e-30"
"23","GO:0044238","primary metabolic process",10615,1764,1501.39,"2.4e-30"
"24","GO:0006260","DNA replication",116,66,16.41,"5.7e-27"
"25","GO:0006928","movement of cell or subcellular componen...",140,72,19.8,"1.2e-25"
"26","GO:0007018","microtubule-based movement",140,72,19.8,"1.2e-25"
"27","GO:0071704","organic substance metabolic process",11072,1800,1566.02,"5.9e-25"
"28","GO:0044237","cellular metabolic process",9563,1565,1352.59,"9.3e-20"
"29","GO:0006261","DNA-dependent DNA replication",39,27,5.52,"7.1e-15"
"30","GO:0006996","organelle organization",378,108,53.46,"1.5e-13"
"31","GO:0006270","DNA replication initiation",22,18,3.11,"2.0e-12"
"32","GO:0006259","DNA metabolic process",522,131,73.83,"1.3e-11"
"33","GO:0006323","DNA packaging",58,29,8.2,"9.1e-11"
"34","GO:0071103","DNA conformation change",83,35,11.74,"4.3e-10"
"35","GO:0000226","microtubule cytoskeleton organization",25,17,3.54,"1.2e-09"
"36","GO:0051276","chromosome organization",209,63,29.56,"1.8e-09"
"37","GO:0006333","chromatin assembly or disassembly",59,27,8.34,"4.9e-09"
"38","GO:0034728","nucleosome organization",56,26,7.92,"6.4e-09"
"39","GO:0006334","nucleosome assembly",54,25,7.64,"1.3e-08"
"40","GO:0031497","chromatin assembly",54,25,7.64,"1.3e-08"
