"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:1902600","proton transmembrane transport",192,15,1.56,"4.9e-11"
"2","GO:0034220","ion transmembrane transport",350,18,2.84,"5.3e-10"
"3","GO:0098662","inorganic cation transmembrane transport",303,16,2.46,"3.5e-09"
"4","GO:0098660","inorganic ion transmembrane transport",305,16,2.48,"3.8e-09"
"5","GO:0015672","monovalent inorganic cation transport",307,16,2.49,"4.2e-09"
"6","GO:0098655","cation transmembrane transport",323,16,2.62,"8.7e-09"
"7","GO:0015985","energy coupled proton transport, down el...",82,8,0.67,"3.4e-07"
"8","GO:0015986","ATP synthesis coupled proton transport",82,8,0.67,"3.4e-07"
"9","GO:0006396","RNA processing",530,16,4.3,"6.7e-06"
"10","GO:0051276","chromosome organization",209,10,1.7,"8.2e-06"
"11","GO:0009145","purine nucleoside triphosphate biosynthe...",216,10,1.75,"1.1e-05"
"12","GO:0009206","purine ribonucleoside triphosphate biosy...",216,10,1.75,"1.1e-05"
"13","GO:0009142","nucleoside triphosphate biosynthetic pro...",223,10,1.81,"1.4e-05"
"14","GO:0009201","ribonucleoside triphosphate biosynthetic...",223,10,1.81,"1.4e-05"
"15","GO:0006812","cation transport",668,17,5.42,"3.1e-05"
"16","GO:0006811","ion transport",894,20,7.26,"3.8e-05"
"17","GO:0006754","ATP biosynthetic process",200,9,1.62,"3.8e-05"
"18","GO:0009144","purine nucleoside triphosphate metabolic...",254,10,2.06,"4.4e-05"
"19","GO:0009205","purine ribonucleoside triphosphate metab...",254,10,2.06,"4.4e-05"
"20","GO:0009152","purine ribonucleotide biosynthetic proce...",255,10,2.07,"4.5e-05"
"21","GO:0009199","ribonucleoside triphosphate metabolic pr...",261,10,2.12,"5.5e-05"
"22","GO:0006164","purine nucleotide biosynthetic process",264,10,2.14,"6.1e-05"
"23","GO:0009260","ribonucleotide biosynthetic process",264,10,2.14,"6.1e-05"
"24","GO:0046390","ribose phosphate biosynthetic process",264,10,2.14,"6.1e-05"
"25","GO:0009127","purine nucleoside monophosphate biosynth...",223,9,1.81,"8.8e-05"
"26","GO:0009168","purine ribonucleoside monophosphate bios...",223,9,1.81,"8.8e-05"
"27","GO:0009141","nucleoside triphosphate metabolic proces...",277,10,2.25,"9.0e-05"
"28","GO:0072522","purine-containing compound biosynthetic ...",285,10,2.31,"0.00011"
"29","GO:0009156","ribonucleoside monophosphate biosyntheti...",231,9,1.88,"0.00012"
"30","GO:0046034","ATP metabolic process",236,9,1.92,"0.00014"
"31","GO:0009124","nucleoside monophosphate biosynthetic pr...",239,9,1.94,"0.00015"
"32","GO:0008380","RNA splicing",106,6,0.86,"0.00023"
"33","GO:0009126","purine nucleoside monophosphate metaboli...",259,9,2.1,"0.00027"
"34","GO:0009167","purine ribonucleoside monophosphate meta...",259,9,2.1,"0.00027"
"35","GO:0009150","purine ribonucleotide metabolic process",318,10,2.58,"0.00028"
"36","GO:0006397","mRNA processing",156,7,1.27,"0.00029"
"37","GO:0009165","nucleotide biosynthetic process",326,10,2.65,"0.00034"
"38","GO:1901293","nucleoside phosphate biosynthetic proces...",326,10,2.65,"0.00034"
"39","GO:0009161","ribonucleoside monophosphate metabolic p...",267,9,2.17,"0.00034"
"40","GO:0009259","ribonucleotide metabolic process",327,10,2.66,"0.00035"
