"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0009767","photosynthetic electron transport chain",50,5,0.12,"1.2e-07"
"2","GO:0015979","photosynthesis",188,7,0.45,"3.0e-07"
"3","GO:0019684","photosynthesis, light reaction",60,5,0.14,"3.1e-07"
"4","GO:0022900","electron transport chain",106,5,0.25,"5.3e-06"
"5","GO:0009772","photosynthetic electron transport in pho...",32,3,0.08,"6.1e-05"
"6","GO:0006091","generation of precursor metabolites and ...",299,5,0.72,"0.00072"
"7","GO:0015977","carbon fixation",18,2,0.04,"0.00084"
"8","GO:0015985","energy coupled proton transport, down el...",82,3,0.2,"0.00100"
"9","GO:0015986","ATP synthesis coupled proton transport",82,3,0.2,"0.00100"
"10","GO:0019637","organophosphate metabolic process",689,6,1.65,"0.00574"
"11","GO:0098662","inorganic cation transmembrane transport",303,4,0.73,"0.00589"
"12","GO:0098660","inorganic ion transmembrane transport",305,4,0.73,"0.00603"
"13","GO:0015672","monovalent inorganic cation transport",307,4,0.74,"0.00617"
"14","GO:0098655","cation transmembrane transport",323,4,0.77,"0.00736"
"15","GO:0034220","ion transmembrane transport",350,4,0.84,"0.00969"
"16","GO:0019693","ribose phosphate metabolic process",356,4,0.85,"0.01027"
"17","GO:1902600","proton transmembrane transport",192,3,0.46,"0.01091"
"18","GO:0006754","ATP biosynthetic process",200,3,0.48,"0.01217"
"19","GO:0006887","exocytosis",70,2,0.17,"0.01224"
"20","GO:0032940","secretion by cell",72,2,0.17,"0.01292"
"21","GO:0009145","purine nucleoside triphosphate biosynthe...",216,3,0.52,"0.01495"
"22","GO:0009206","purine ribonucleoside triphosphate biosy...",216,3,0.52,"0.01495"
"23","GO:0046903","secretion",78,2,0.19,"0.01504"
"24","GO:0009127","purine nucleoside monophosphate biosynth...",223,3,0.53,"0.01627"
"25","GO:0009142","nucleoside triphosphate biosynthetic pro...",223,3,0.53,"0.01627"
"26","GO:0009168","purine ribonucleoside monophosphate bios...",223,3,0.53,"0.01627"
"27","GO:0009201","ribonucleoside triphosphate biosynthetic...",223,3,0.53,"0.01627"
"28","GO:0019566","arabinose metabolic process",7,1,0.02,"0.01667"
"29","GO:0046373","L-arabinose metabolic process",7,1,0.02,"0.01667"
"30","GO:0009156","ribonucleoside monophosphate biosyntheti...",231,3,0.55,"0.01786"
"31","GO:0009117","nucleotide metabolic process",426,4,1.02,"0.01872"
"32","GO:0046034","ATP metabolic process",236,3,0.57,"0.01889"
"33","GO:0009124","nucleoside monophosphate biosynthetic pr...",239,3,0.57,"0.01953"
"34","GO:0006753","nucleoside phosphate metabolic process",437,4,1.05,"0.02035"
"35","GO:0090407","organophosphate biosynthetic process",439,4,1.05,"0.02066"
"36","GO:0006777","Mo-molybdopterin cofactor biosynthetic p...",9,1,0.02,"0.02138"
"37","GO:0019720","Mo-molybdopterin cofactor metabolic proc...",9,1,0.02,"0.02138"
"38","GO:0043545","molybdopterin cofactor metabolic process",9,1,0.02,"0.02138"
"39","GO:0051189","prosthetic group metabolic process",9,1,0.02,"0.02138"
"40","GO:0009144","purine nucleoside triphosphate metabolic...",254,3,0.61,"0.02289"
