"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0008272","sulfate transport",34,4,0.11,"3.6e-06"
"2","GO:0072348","sulfur compound transport",34,4,0.11,"3.6e-06"
"3","GO:0055085","transmembrane transport",1722,16,5.35,"4.7e-05"
"4","GO:0015698","inorganic anion transport",82,4,0.25,"0.00012"
"5","GO:0006810","transport",2804,20,8.71,"0.00018"
"6","GO:0051234","establishment of localization",2812,20,8.74,"0.00019"
"7","GO:0051179","localization",2838,20,8.82,"0.00021"
"8","GO:0006820","anion transport",188,4,0.58,"0.00276"
"9","GO:0006811","ion transport",894,8,2.78,"0.00612"
"10","GO:0046937","phytochelatin metabolic process",2,1,0.01,"0.00620"
"11","GO:0046938","phytochelatin biosynthetic process",2,1,0.01,"0.00620"
"12","GO:0044550","secondary metabolite biosynthetic proces...",3,1,0.01,"0.00929"
"13","GO:0006750","glutathione biosynthetic process",4,1,0.01,"0.01237"
"14","GO:0010038","response to metal ion",4,1,0.01,"0.01237"
"15","GO:0032261","purine nucleotide salvage",4,1,0.01,"0.01237"
"16","GO:0032264","IMP salvage",4,1,0.01,"0.01237"
"17","GO:0043173","nucleotide salvage",4,1,0.01,"0.01237"
"18","GO:0019184","nonribosomal peptide biosynthetic proces...",5,1,0.02,"0.01544"
"19","GO:0000184","nuclear-transcribed mRNA catabolic proce...",9,1,0.03,"0.02762"
"20","GO:0006749","glutathione metabolic process",16,1,0.05,"0.04859"
"21","GO:0043101","purine-containing compound salvage",16,1,0.05,"0.04859"
"22","GO:0009260","ribonucleotide biosynthetic process",264,3,0.82,"0.04883"
"23","GO:0046390","ribose phosphate biosynthetic process",264,3,0.82,"0.04883"
"24","GO:0006002","fructose 6-phosphate metabolic process",17,1,0.05,"0.05154"
"25","GO:0006108","malate metabolic process",21,1,0.07,"0.06329"
"26","GO:0006188","IMP biosynthetic process",21,1,0.07,"0.06329"
"27","GO:0046040","IMP metabolic process",21,1,0.07,"0.06329"
"28","GO:0006241","CTP biosynthetic process",23,1,0.07,"0.06911"
"29","GO:0009148","pyrimidine nucleoside triphosphate biosy...",23,1,0.07,"0.06911"
"30","GO:0009208","pyrimidine ribonucleoside triphosphate m...",23,1,0.07,"0.06911"
"31","GO:0009209","pyrimidine ribonucleoside triphosphate b...",23,1,0.07,"0.06911"
"32","GO:0046036","CTP metabolic process",23,1,0.07,"0.06911"
"33","GO:0006213","pyrimidine nucleoside metabolic process",25,1,0.08,"0.07489"
"34","GO:0009218","pyrimidine ribonucleotide metabolic proc...",25,1,0.08,"0.07489"
"35","GO:0009220","pyrimidine ribonucleotide biosynthetic p...",25,1,0.08,"0.07489"
"36","GO:0046131","pyrimidine ribonucleoside metabolic proc...",25,1,0.08,"0.07489"
"37","GO:0046132","pyrimidine ribonucleoside biosynthetic p...",25,1,0.08,"0.07489"
"38","GO:0046134","pyrimidine nucleoside biosynthetic proce...",25,1,0.08,"0.07489"
"39","GO:0006022","aminoglycan metabolic process",26,1,0.08,"0.07777"
"40","GO:0006026","aminoglycan catabolic process",26,1,0.08,"0.07777"
