"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0045944","positive regulation of transcription by ...",76,6,0.2,"4.4e-08"
"2","GO:0045893","positive regulation of transcription, DN...",99,6,0.26,"2.2e-07"
"3","GO:0045935","positive regulation of nucleobase-contai...",99,6,0.26,"2.2e-07"
"4","GO:0051254","positive regulation of RNA metabolic pro...",99,6,0.26,"2.2e-07"
"5","GO:1902680","positive regulation of RNA biosynthetic ...",99,6,0.26,"2.2e-07"
"6","GO:1903508","positive regulation of nucleic acid-temp...",99,6,0.26,"2.2e-07"
"7","GO:0009891","positive regulation of biosynthetic proc...",108,6,0.28,"3.6e-07"
"8","GO:0010557","positive regulation of macromolecule bio...",108,6,0.28,"3.6e-07"
"9","GO:0010604","positive regulation of macromolecule met...",108,6,0.28,"3.6e-07"
"10","GO:0010628","positive regulation of gene expression",108,6,0.28,"3.6e-07"
"11","GO:0031328","positive regulation of cellular biosynth...",108,6,0.28,"3.6e-07"
"12","GO:0051173","positive regulation of nitrogen compound...",108,6,0.28,"3.6e-07"
"13","GO:0006357","regulation of transcription by RNA polym...",110,6,0.29,"4.0e-07"
"14","GO:0009893","positive regulation of metabolic process",113,6,0.3,"4.7e-07"
"15","GO:0031325","positive regulation of cellular metaboli...",113,6,0.3,"4.7e-07"
"16","GO:0007275","multicellular organism development",63,5,0.16,"6.2e-07"
"17","GO:0048522","positive regulation of cellular process",123,6,0.32,"7.8e-07"
"18","GO:0048518","positive regulation of biological proces...",124,6,0.32,"8.2e-07"
"19","GO:0032502","developmental process",77,5,0.2,"1.7e-06"
"20","GO:0048856","anatomical structure development",77,5,0.2,"1.7e-06"
"21","GO:0006366","transcription by RNA polymerase II",149,6,0.39,"2.4e-06"
"22","GO:0005975","carbohydrate metabolic process",1299,13,3.4,"2.0e-05"
"23","GO:0032501","multicellular organismal process",185,5,0.48,"0.00012"
"24","GO:0006355","regulation of transcription, DNA-templat...",1590,13,4.16,"0.00016"
"25","GO:1903506","regulation of nucleic acid-templated tra...",1590,13,4.16,"0.00016"
"26","GO:2001141","regulation of RNA biosynthetic process",1590,13,4.16,"0.00016"
"27","GO:0051252","regulation of RNA metabolic process",1595,13,4.17,"0.00016"
"28","GO:0019219","regulation of nucleobase-containing comp...",1608,13,4.21,"0.00018"
"29","GO:0009889","regulation of biosynthetic process",1611,13,4.21,"0.00018"
"30","GO:0010556","regulation of macromolecule biosynthetic...",1611,13,4.21,"0.00018"
"31","GO:0031326","regulation of cellular biosynthetic proc...",1611,13,4.21,"0.00018"
"32","GO:2000112","regulation of cellular macromolecule bio...",1611,13,4.21,"0.00018"
"33","GO:0051171","regulation of nitrogen compound metaboli...",1661,13,4.35,"0.00025"
"34","GO:0080090","regulation of primary metabolic process",1661,13,4.35,"0.00025"
"35","GO:0031323","regulation of cellular metabolic process",1663,13,4.35,"0.00025"
"36","GO:0010468","regulation of gene expression",1665,13,4.36,"0.00025"
"37","GO:0060255","regulation of macromolecule metabolic pr...",1717,13,4.49,"0.00034"
"38","GO:0019222","regulation of metabolic process",1728,13,4.52,"0.00036"
"39","GO:0006351","transcription, DNA-templated",1823,13,4.77,"0.00061"
"40","GO:0097659","nucleic acid-templated transcription",1823,13,4.77,"0.00061"
