"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0009719","response to endogenous stimulus",235,8,0.85,"1.9e-06"
"2","GO:0009725","response to hormone",235,8,0.85,"1.9e-06"
"3","GO:0010033","response to organic substance",238,8,0.86,"2.1e-06"
"4","GO:0042221","response to chemical",270,8,0.97,"5.4e-06"
"5","GO:0009733","response to auxin",157,6,0.56,"2.1e-05"
"6","GO:0033617","mitochondrial respiratory chain complex ...",2,1,0.01,"0.0072"
"7","GO:0033108","mitochondrial respiratory chain complex ...",3,1,0.01,"0.0108"
"8","GO:0008535","respiratory chain complex IV assembly",4,1,0.01,"0.0143"
"9","GO:0009229","thiamine diphosphate biosynthetic proces...",5,1,0.02,"0.0179"
"10","GO:0042357","thiamine diphosphate metabolic process",5,1,0.02,"0.0179"
"11","GO:0045944","positive regulation of transcription by ...",76,2,0.27,"0.0306"
"12","GO:0016108","tetraterpenoid metabolic process",10,1,0.04,"0.0354"
"13","GO:0016109","tetraterpenoid biosynthetic process",10,1,0.04,"0.0354"
"14","GO:0016116","carotenoid metabolic process",10,1,0.04,"0.0354"
"15","GO:0016117","carotenoid biosynthetic process",10,1,0.04,"0.0354"
"16","GO:0097428","protein maturation by iron-sulfur cluste...",10,1,0.04,"0.0354"
"17","GO:0006772","thiamine metabolic process",11,1,0.04,"0.0389"
"18","GO:0042723","thiamine-containing compound metabolic p...",11,1,0.04,"0.0389"
"19","GO:0000103","sulfate assimilation",13,1,0.05,"0.0458"
"20","GO:0045893","positive regulation of transcription, DN...",99,2,0.36,"0.0495"
"21","GO:0045935","positive regulation of nucleobase-contai...",99,2,0.36,"0.0495"
"22","GO:0051254","positive regulation of RNA metabolic pro...",99,2,0.36,"0.0495"
"23","GO:1902680","positive regulation of RNA biosynthetic ...",99,2,0.36,"0.0495"
"24","GO:1903508","positive regulation of nucleic acid-temp...",99,2,0.36,"0.0495"
"25","GO:0009891","positive regulation of biosynthetic proc...",108,2,0.39,"0.0577"
"26","GO:0010557","positive regulation of macromolecule bio...",108,2,0.39,"0.0577"
"27","GO:0010604","positive regulation of macromolecule met...",108,2,0.39,"0.0577"
"28","GO:0010628","positive regulation of gene expression",108,2,0.39,"0.0577"
"29","GO:0031328","positive regulation of cellular biosynth...",108,2,0.39,"0.0577"
"30","GO:0051173","positive regulation of nitrogen compound...",108,2,0.39,"0.0577"
"31","GO:0006357","regulation of transcription by RNA polym...",110,2,0.4,"0.0596"
"32","GO:0009893","positive regulation of metabolic process",113,2,0.41,"0.0625"
"33","GO:0031325","positive regulation of cellular metaboli...",113,2,0.41,"0.0625"
"34","GO:0007005","mitochondrion organization",19,1,0.07,"0.0662"
"35","GO:0048522","positive regulation of cellular process",123,2,0.44,"0.0725"
"36","GO:0017004","cytochrome complex assembly",21,1,0.08,"0.0729"
"37","GO:0048518","positive regulation of biological proces...",124,2,0.45,"0.0735"
"38","GO:0015693","magnesium ion transport",23,1,0.08,"0.0796"
"39","GO:0098662","inorganic cation transmembrane transport",303,3,1.09,"0.0957"
"40","GO:0098660","inorganic ion transmembrane transport",305,3,1.1,"0.0972"
