"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0030163","protein catabolic process",260,35,8.38,"7.6e-13"
"2","GO:1901565","organonitrogen compound catabolic proces...",358,38,11.53,"1.2e-10"
"3","GO:0009057","macromolecule catabolic process",367,37,11.82,"8.8e-10"
"4","GO:1901575","organic substance catabolic process",672,47,21.65,"5.4e-07"
"5","GO:0009894","regulation of catabolic process",9,5,0.29,"3.9e-06"
"6","GO:0042176","regulation of protein catabolic process",9,5,0.29,"3.9e-06"
"7","GO:0044257","cellular protein catabolic process",225,22,7.25,"3.9e-06"
"8","GO:0051603","proteolysis involved in cellular protein...",225,22,7.25,"3.9e-06"
"9","GO:0006000","fructose metabolic process",3,3,0.1,"3.3e-05"
"10","GO:0006003","fructose 2,6-bisphosphate metabolic proc...",3,3,0.1,"3.3e-05"
"11","GO:0044265","cellular macromolecule catabolic process",280,23,9.02,"4.1e-05"
"12","GO:0098662","inorganic cation transmembrane transport",303,24,9.76,"5.0e-05"
"13","GO:0006396","RNA processing",530,35,17.07,"5.1e-05"
"14","GO:0098660","inorganic ion transmembrane transport",305,24,9.82,"5.6e-05"
"15","GO:0098655","cation transmembrane transport",323,24,10.4,"0.00014"
"16","GO:1902600","proton transmembrane transport",192,17,6.18,"0.00017"
"17","GO:0034220","ion transmembrane transport",350,25,11.27,"0.00018"
"18","GO:0009056","catabolic process",869,48,27.99,"0.00020"
"19","GO:0016192","vesicle-mediated transport",378,26,12.18,"0.00025"
"20","GO:0006772","thiamine metabolic process",11,4,0.35,"0.00029"
"21","GO:0042723","thiamine-containing compound metabolic p...",11,4,0.35,"0.00029"
"22","GO:0015672","monovalent inorganic cation transport",307,22,9.89,"0.00042"
"23","GO:0006807","nitrogen compound metabolic process",8977,329,289.17,"0.00050"
"24","GO:0046483","heterocycle metabolic process",3889,158,125.27,"0.00065"
"25","GO:0006099","tricarboxylic acid cycle",48,7,1.55,"0.00081"
"26","GO:0006101","citrate metabolic process",48,7,1.55,"0.00081"
"27","GO:0000098","sulfur amino acid catabolic process",2,2,0.06,"0.00104"
"28","GO:0006359","regulation of transcription by RNA polym...",2,2,0.06,"0.00104"
"29","GO:0016480","negative regulation of transcription by ...",2,2,0.06,"0.00104"
"30","GO:0030328","prenylcysteine catabolic process",2,2,0.06,"0.00104"
"31","GO:0030329","prenylcysteine metabolic process",2,2,0.06,"0.00104"
"32","GO:0015031","protein transport",419,26,13.5,"0.00116"
"33","GO:0009060","aerobic respiration",51,7,1.64,"0.00117"
"34","GO:0006399","tRNA metabolic process",269,19,8.67,"0.00120"
"35","GO:0006725","cellular aromatic compound metabolic pro...",3944,158,127.05,"0.00122"
"36","GO:0006139","nucleobase-containing compound metabolic...",3641,147,117.29,"0.00140"
"37","GO:0045184","establishment of protein localization",425,26,13.69,"0.00142"
"38","GO:1901360","organic cyclic compound metabolic proces...",4015,160,129.33,"0.00142"
"39","GO:0045333","cellular respiration",84,9,2.71,"0.00151"
"40","GO:0006511","ubiquitin-dependent protein catabolic pr...",195,15,6.28,"0.00167"
