"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0035556","intracellular signal transduction",179,9,1.81,"9e-05"
"2","GO:0044265","cellular macromolecule catabolic process",280,10,2.84,"0.00059"
"3","GO:0000160","phosphorelay signal transduction system",104,6,1.05,"0.00067"
"4","GO:0065007","biological regulation",2628,43,26.64,"0.00084"
"5","GO:0016311","dephosphorylation",112,6,1.14,"0.00099"
"6","GO:0006629","lipid metabolic process",895,19,9.07,"0.00190"
"7","GO:0006470","protein dephosphorylation",56,4,0.57,"0.00249"
"8","GO:0050789","regulation of biological process",2453,39,24.87,"0.00262"
"9","GO:0051716","cellular response to stimulus",716,16,7.26,"0.00262"
"10","GO:0000723","telomere maintenance",30,3,0.3,"0.00340"
"11","GO:0032200","telomere organization",30,3,0.3,"0.00340"
"12","GO:0060249","anatomical structure homeostasis",30,3,0.3,"0.00340"
"13","GO:0090304","nucleic acid metabolic process",3078,46,31.2,"0.00349"
"14","GO:0006402","mRNA catabolic process",31,3,0.31,"0.00374"
"15","GO:0006511","ubiquitin-dependent protein catabolic pr...",195,7,1.98,"0.00380"
"16","GO:0019941","modification-dependent protein catabolic...",195,7,1.98,"0.00380"
"17","GO:0043632","modification-dependent macromolecule cat...",195,7,1.98,"0.00380"
"18","GO:0009057","macromolecule catabolic process",367,10,3.72,"0.00434"
"19","GO:0009892","negative regulation of metabolic process",68,4,0.69,"0.00503"
"20","GO:0010605","negative regulation of macromolecule met...",68,4,0.69,"0.00503"
"21","GO:0044238","primary metabolic process",10615,125,107.61,"0.00542"
"22","GO:0007165","signal transduction",451,11,4.57,"0.00642"
"23","GO:0023052","signaling",451,11,4.57,"0.00642"
"24","GO:0016579","protein deubiquitination",73,4,0.74,"0.00646"
"25","GO:0070646","protein modification by small protein re...",77,4,0.78,"0.00779"
"26","GO:0044257","cellular protein catabolic process",225,7,2.28,"0.00816"
"27","GO:0051603","proteolysis involved in cellular protein...",225,7,2.28,"0.00816"
"28","GO:0006401","RNA catabolic process",42,3,0.43,"0.00881"
"29","GO:0010563","negative regulation of phosphorus metabo...",1,1,0.01,"0.01014"
"30","GO:0010923","negative regulation of phosphatase activ...",1,1,0.01,"0.01014"
"31","GO:0031400","negative regulation of protein modificat...",1,1,0.01,"0.01014"
"32","GO:0032515","negative regulation of phosphoprotein ph...",1,1,0.01,"0.01014"
"33","GO:0035305","negative regulation of dephosphorylation",1,1,0.01,"0.01014"
"34","GO:0035308","negative regulation of protein dephospho...",1,1,0.01,"0.01014"
"35","GO:0045936","negative regulation of phosphate metabol...",1,1,0.01,"0.01014"
"36","GO:0007154","cell communication",573,12,5.81,"0.01412"
"37","GO:0048519","negative regulation of biological proces...",92,4,0.93,"0.01431"
"38","GO:0050794","regulation of cellular process",2378,35,24.11,"0.01434"
"39","GO:0071704","organic substance metabolic process",11072,127,112.25,"0.01500"
"40","GO:0006821","chloride transport",19,2,0.19,"0.01561"
