"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0009228","thiamine biosynthetic process",9,3,0.06,"2.6e-05"
"2","GO:0042724","thiamine-containing compound biosyntheti...",9,3,0.06,"2.6e-05"
"3","GO:0006772","thiamine metabolic process",11,3,0.08,"5.0e-05"
"4","GO:0007050","cell cycle arrest",11,3,0.08,"5.0e-05"
"5","GO:0042723","thiamine-containing compound metabolic p...",11,3,0.08,"5.0e-05"
"6","GO:0044281","small molecule metabolic process",1596,24,10.96,"0.00020"
"7","GO:0015977","carbon fixation",18,3,0.12,"0.00024"
"8","GO:0045786","negative regulation of cell cycle",18,3,0.12,"0.00024"
"9","GO:0042364","water-soluble vitamin biosynthetic proce...",54,4,0.37,"0.00051"
"10","GO:0006767","water-soluble vitamin metabolic process",56,4,0.38,"0.00059"
"11","GO:0009110","vitamin biosynthetic process",57,4,0.39,"0.00063"
"12","GO:0006766","vitamin metabolic process",59,4,0.41,"0.00072"
"13","GO:0048523","negative regulation of cellular process",36,3,0.25,"0.00191"
"14","GO:0051726","regulation of cell cycle",37,3,0.25,"0.00207"
"15","GO:0006418","tRNA aminoacylation for protein translat...",132,5,0.91,"0.00218"
"16","GO:0043038","amino acid activation",138,5,0.95,"0.00264"
"17","GO:0043039","tRNA aminoacylation",138,5,0.95,"0.00264"
"18","GO:0006099","tricarboxylic acid cycle",48,3,0.33,"0.00437"
"19","GO:0006101","citrate metabolic process",48,3,0.33,"0.00437"
"20","GO:0022402","cell cycle process",48,3,0.33,"0.00437"
"21","GO:0006520","cellular amino acid metabolic process",548,10,3.76,"0.00455"
"22","GO:0009060","aerobic respiration",51,3,0.35,"0.00518"
"23","GO:0032780","negative regulation of ATPase activity",1,1,0.01,"0.00687"
"24","GO:0043462","regulation of ATPase activity",1,1,0.01,"0.00687"
"25","GO:0019752","carboxylic acid metabolic process",981,14,6.74,"0.00746"
"26","GO:0005975","carbohydrate metabolic process",1299,17,8.92,"0.00760"
"27","GO:0072350","tricarboxylic acid metabolic process",59,3,0.41,"0.00777"
"28","GO:0043436","oxoacid metabolic process",986,14,6.77,"0.00779"
"29","GO:0006082","organic acid metabolic process",988,14,6.79,"0.00792"
"30","GO:0072527","pyrimidine-containing compound metabolic...",69,3,0.47,"0.01192"
"31","GO:0072528","pyrimidine-containing compound biosynthe...",69,3,0.47,"0.01192"
"32","GO:0034660","ncRNA metabolic process",366,7,2.51,"0.01326"
"33","GO:0006644","phospholipid metabolic process",206,5,1.41,"0.01390"
"34","GO:0007049","cell cycle",77,3,0.53,"0.01600"
"35","GO:0006801","superoxide metabolic process",29,2,0.2,"0.01683"
"36","GO:0045333","cellular respiration",84,3,0.58,"0.02013"
"37","GO:0006654","phosphatidic acid biosynthetic process",3,1,0.02,"0.02046"
"38","GO:0008283","cell proliferation",3,1,0.02,"0.02046"
"39","GO:0008614","pyridoxine metabolic process",3,1,0.02,"0.02046"
"40","GO:0008615","pyridoxine biosynthetic process",3,1,0.02,"0.02046"
