"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0005984","disaccharide metabolic process",80,6,0.45,"6.1e-06"
"2","GO:0009311","oligosaccharide metabolic process",91,6,0.52,"1.3e-05"
"3","GO:0044262","cellular carbohydrate metabolic process",281,9,1.59,"3.1e-05"
"4","GO:0005992","trehalose biosynthetic process",48,4,0.27,"0.00016"
"5","GO:0005991","trehalose metabolic process",52,4,0.29,"0.00021"
"6","GO:0046351","disaccharide biosynthetic process",52,4,0.29,"0.00021"
"7","GO:0034637","cellular carbohydrate biosynthetic proce...",160,6,0.91,"0.00030"
"8","GO:0005975","carbohydrate metabolic process",1299,18,7.36,"0.00035"
"9","GO:0009312","oligosaccharide biosynthetic process",63,4,0.36,"0.00045"
"10","GO:0016051","carbohydrate biosynthetic process",183,6,1.04,"0.00061"
"11","GO:0006189","'de novo' IMP biosynthetic process",13,2,0.07,"0.00238"
"12","GO:0005977","glycogen metabolic process",14,2,0.08,"0.00277"
"13","GO:0005978","glycogen biosynthetic process",14,2,0.08,"0.00277"
"14","GO:0006112","energy reserve metabolic process",14,2,0.08,"0.00277"
"15","GO:0006188","IMP biosynthetic process",21,2,0.12,"0.00623"
"16","GO:0046040","IMP metabolic process",21,2,0.12,"0.00623"
"17","GO:0030042","actin filament depolymerization",25,2,0.14,"0.00877"
"18","GO:0051261","protein depolymerization",25,2,0.14,"0.00877"
"19","GO:0006022","aminoglycan metabolic process",26,2,0.15,"0.00947"
"20","GO:0006026","aminoglycan catabolic process",26,2,0.15,"0.00947"
"21","GO:0006030","chitin metabolic process",26,2,0.15,"0.00947"
"22","GO:0006032","chitin catabolic process",26,2,0.15,"0.00947"
"23","GO:0016998","cell wall macromolecule catabolic proces...",26,2,0.15,"0.00947"
"24","GO:0046348","amino sugar catabolic process",26,2,0.15,"0.00947"
"25","GO:1901071","glucosamine-containing compound metaboli...",26,2,0.15,"0.00947"
"26","GO:1901072","glucosamine-containing compound cataboli...",26,2,0.15,"0.00947"
"27","GO:0006040","amino sugar metabolic process",27,2,0.15,"0.01018"
"28","GO:0005985","sucrose metabolic process",28,2,0.16,"0.01093"
"29","GO:0008154","actin polymerization or depolymerization",35,2,0.2,"0.01677"
"30","GO:0019632","shikimate metabolic process",3,1,0.02,"0.01691"
"31","GO:0015980","energy derivation by oxidation of organi...",98,3,0.56,"0.01825"
"32","GO:0006527","arginine catabolic process",4,1,0.02,"0.02248"
"33","GO:0009065","glutamine family amino acid catabolic pr...",4,1,0.02,"0.02248"
"34","GO:1901136","carbohydrate derivative catabolic proces...",44,2,0.25,"0.02579"
"35","GO:0007015","actin filament organization",46,2,0.26,"0.02802"
"36","GO:0030029","actin filament-based process",46,2,0.26,"0.02802"
"37","GO:0030036","actin cytoskeleton organization",46,2,0.26,"0.02802"
"38","GO:0097435","supramolecular fiber organization",50,2,0.28,"0.03268"
"39","GO:0008152","metabolic process",13764,86,78.02,"0.04079"
"40","GO:0043624","cellular protein complex disassembly",57,2,0.32,"0.04151"
