"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0015985","energy coupled proton transport, down el...",82,14,1.4,"1.0e-10"
"2","GO:0015986","ATP synthesis coupled proton transport",82,14,1.4,"1.0e-10"
"3","GO:0098662","inorganic cation transmembrane transport",303,22,5.17,"1.3e-08"
"4","GO:0098660","inorganic ion transmembrane transport",305,22,5.2,"1.5e-08"
"5","GO:0098655","cation transmembrane transport",323,22,5.51,"4.1e-08"
"6","GO:0009199","ribonucleoside triphosphate metabolic pr...",261,19,4.45,"1.2e-07"
"7","GO:0046034","ATP metabolic process",236,18,4.03,"1.3e-07"
"8","GO:0034220","ion transmembrane transport",350,22,5.97,"1.7e-07"
"9","GO:1902600","proton transmembrane transport",192,16,3.28,"2.0e-07"
"10","GO:0019693","ribose phosphate metabolic process",356,22,6.07,"2.2e-07"
"11","GO:0009141","nucleoside triphosphate metabolic proces...",277,19,4.73,"3.1e-07"
"12","GO:0009144","purine nucleoside triphosphate metabolic...",254,18,4.33,"4.0e-07"
"13","GO:0009205","purine ribonucleoside triphosphate metab...",254,18,4.33,"4.0e-07"
"14","GO:0009126","purine nucleoside monophosphate metaboli...",259,18,4.42,"5.3e-07"
"15","GO:0009167","purine ribonucleoside monophosphate meta...",259,18,4.42,"5.3e-07"
"16","GO:0009161","ribonucleoside monophosphate metabolic p...",267,18,4.56,"8.3e-07"
"17","GO:0009259","ribonucleotide metabolic process",327,20,5.58,"9.4e-07"
"18","GO:0009123","nucleoside monophosphate metabolic proce...",275,18,4.69,"1.3e-06"
"19","GO:0009142","nucleoside triphosphate biosynthetic pro...",223,16,3.8,"1.5e-06"
"20","GO:0009201","ribonucleoside triphosphate biosynthetic...",223,16,3.8,"1.5e-06"
"21","GO:0006754","ATP biosynthetic process",200,15,3.41,"1.9e-06"
"22","GO:0022900","electron transport chain",106,11,1.81,"2.0e-06"
"23","GO:0009150","purine ribonucleotide metabolic process",318,19,5.43,"2.5e-06"
"24","GO:0009260","ribonucleotide biosynthetic process",264,17,4.5,"3.1e-06"
"25","GO:0046390","ribose phosphate biosynthetic process",264,17,4.5,"3.1e-06"
"26","GO:0009117","nucleotide metabolic process",426,22,7.27,"4.4e-06"
"27","GO:0006163","purine nucleotide metabolic process",331,19,5.65,"4.5e-06"
"28","GO:0009145","purine nucleoside triphosphate biosynthe...",216,15,3.68,"4.8e-06"
"29","GO:0009206","purine ribonucleoside triphosphate biosy...",216,15,3.68,"4.8e-06"
"30","GO:0015672","monovalent inorganic cation transport",307,18,5.24,"6.0e-06"
"31","GO:0006753","nucleoside phosphate metabolic process",437,22,7.46,"6.6e-06"
"32","GO:0009127","purine nucleoside monophosphate biosynth...",223,15,3.8,"7.1e-06"
"33","GO:0009168","purine ribonucleoside monophosphate bios...",223,15,3.8,"7.1e-06"
"34","GO:0009152","purine ribonucleotide biosynthetic proce...",255,16,4.35,"8.5e-06"
"35","GO:0009156","ribonucleoside monophosphate biosyntheti...",231,15,3.94,"1.1e-05"
"36","GO:0072521","purine-containing compound metabolic pro...",356,19,6.07,"1.3e-05"
"37","GO:0006164","purine nucleotide biosynthetic process",264,16,4.5,"1.3e-05"
"38","GO:0009124","nucleoside monophosphate biosynthetic pr...",239,15,4.08,"1.6e-05"
"39","GO:0022904","respiratory electron transport chain",33,6,0.56,"1.8e-05"
"40","GO:0006812","cation transport",668,27,11.4,"3.2e-05"
