"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:1902600","proton transmembrane transport",192,21,1.76,"6.5e-17"
"2","GO:0044265","cellular macromolecule catabolic process",280,21,2.56,"1.3e-13"
"3","GO:0034220","ion transmembrane transport",350,23,3.2,"1.4e-13"
"4","GO:0098662","inorganic cation transmembrane transport",303,21,2.77,"6.1e-13"
"5","GO:0098660","inorganic ion transmembrane transport",305,21,2.79,"6.9e-13"
"6","GO:0015672","monovalent inorganic cation transport",307,21,2.81,"7.8e-13"
"7","GO:0098655","cation transmembrane transport",323,21,2.96,"2.1e-12"
"8","GO:0044257","cellular protein catabolic process",225,18,2.06,"2.7e-12"
"9","GO:0051603","proteolysis involved in cellular protein...",225,18,2.06,"2.7e-12"
"10","GO:0009057","macromolecule catabolic process",367,21,3.36,"2.3e-11"
"11","GO:0030163","protein catabolic process",260,18,2.38,"3.1e-11"
"12","GO:1901565","organonitrogen compound catabolic proces...",358,18,3.28,"5.3e-09"
"13","GO:0006465","signal peptide processing",12,5,0.11,"4.6e-08"
"14","GO:1901575","organic substance catabolic process",672,23,6.15,"5.3e-08"
"15","GO:0006508","proteolysis",1038,29,9.5,"6.9e-08"
"16","GO:0051641","cellular localization",431,18,3.95,"9.1e-08"
"17","GO:0009144","purine nucleoside triphosphate metabolic...",254,14,2.33,"9.4e-08"
"18","GO:0009205","purine ribonucleoside triphosphate metab...",254,14,2.33,"9.4e-08"
"19","GO:0009199","ribonucleoside triphosphate metabolic pr...",261,14,2.39,"1.3e-07"
"20","GO:0006511","ubiquitin-dependent protein catabolic pr...",195,12,1.79,"2.5e-07"
"21","GO:0019941","modification-dependent protein catabolic...",195,12,1.79,"2.5e-07"
"22","GO:0043632","modification-dependent macromolecule cat...",195,12,1.79,"2.5e-07"
"23","GO:0009141","nucleoside triphosphate metabolic proces...",277,14,2.54,"2.7e-07"
"24","GO:0046034","ATP metabolic process",236,13,2.16,"2.8e-07"
"25","GO:0046907","intracellular transport",381,16,3.49,"4.6e-07"
"26","GO:0051649","establishment of localization in cell",383,16,3.51,"4.9e-07"
"27","GO:0044248","cellular catabolic process",780,23,7.14,"7.4e-07"
"28","GO:0009126","purine nucleoside monophosphate metaboli...",259,13,2.37,"8.0e-07"
"29","GO:0009167","purine ribonucleoside monophosphate meta...",259,13,2.37,"8.0e-07"
"30","GO:0015985","energy coupled proton transport, down el...",82,8,0.75,"8.4e-07"
"31","GO:0015986","ATP synthesis coupled proton transport",82,8,0.75,"8.4e-07"
"32","GO:0006812","cation transport",668,21,6.12,"8.4e-07"
"33","GO:0072521","purine-containing compound metabolic pro...",356,15,3.26,"1.0e-06"
"34","GO:0009161","ribonucleoside monophosphate metabolic p...",267,13,2.44,"1.1e-06"
"35","GO:0009150","purine ribonucleotide metabolic process",318,14,2.91,"1.4e-06"
"36","GO:0009123","nucleoside monophosphate metabolic proce...",275,13,2.52,"1.6e-06"
"37","GO:0009259","ribonucleotide metabolic process",327,14,2.99,"2.0e-06"
"38","GO:0006163","purine nucleotide metabolic process",331,14,3.03,"2.3e-06"
"39","GO:0010498","proteasomal protein catabolic process",26,5,0.24,"3.4e-06"
"40","GO:0043161","proteasome-mediated ubiquitin-dependent ...",26,5,0.24,"3.4e-06"
