"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0055085","transmembrane transport",1722,8,2.06,"0.00057"
"2","GO:0046937","phytochelatin metabolic process",2,1,0,"0.00240"
"3","GO:0046938","phytochelatin biosynthetic process",2,1,0,"0.00240"
"4","GO:0006810","transport",2804,9,3.36,"0.00336"
"5","GO:0051234","establishment of localization",2812,9,3.37,"0.00343"
"6","GO:0044550","secondary metabolite biosynthetic proces...",3,1,0,"0.00359"
"7","GO:0051179","localization",2838,9,3.4,"0.00365"
"8","GO:0009260","ribonucleotide biosynthetic process",264,3,0.32,"0.00370"
"9","GO:0046390","ribose phosphate biosynthetic process",264,3,0.32,"0.00370"
"10","GO:0010038","response to metal ion",4,1,0,"0.00479"
"11","GO:0032261","purine nucleotide salvage",4,1,0,"0.00479"
"12","GO:0032264","IMP salvage",4,1,0,"0.00479"
"13","GO:0043173","nucleotide salvage",4,1,0,"0.00479"
"14","GO:0009165","nucleotide biosynthetic process",326,3,0.39,"0.00666"
"15","GO:1901293","nucleoside phosphate biosynthetic proces...",326,3,0.39,"0.00666"
"16","GO:0009259","ribonucleotide metabolic process",327,3,0.39,"0.00672"
"17","GO:0019693","ribose phosphate metabolic process",356,3,0.43,"0.00849"
"18","GO:0009117","nucleotide metabolic process",426,3,0.51,"0.01379"
"19","GO:0006753","nucleoside phosphate metabolic process",437,3,0.52,"0.01476"
"20","GO:0090407","organophosphate biosynthetic process",439,3,0.53,"0.01495"
"21","GO:1901137","carbohydrate derivative biosynthetic pro...",454,3,0.54,"0.01634"
"22","GO:0034404","nucleobase-containing small molecule bio...",169,2,0.2,"0.01727"
"23","GO:0006796","phosphate-containing compound metabolic ...",2965,8,3.56,"0.01752"
"24","GO:0006793","phosphorus metabolic process",2971,8,3.56,"0.01772"
"25","GO:0043101","purine-containing compound salvage",16,1,0.02,"0.01902"
"26","GO:0006002","fructose 6-phosphate metabolic process",17,1,0.02,"0.02020"
"27","GO:0055086","nucleobase-containing small molecule met...",516,3,0.62,"0.02289"
"28","GO:0006188","IMP biosynthetic process",21,1,0.03,"0.02489"
"29","GO:0046040","IMP metabolic process",21,1,0.03,"0.02489"
"30","GO:0006241","CTP biosynthetic process",23,1,0.03,"0.02723"
"31","GO:0009148","pyrimidine nucleoside triphosphate biosy...",23,1,0.03,"0.02723"
"32","GO:0009208","pyrimidine ribonucleoside triphosphate m...",23,1,0.03,"0.02723"
"33","GO:0009209","pyrimidine ribonucleoside triphosphate b...",23,1,0.03,"0.02723"
"34","GO:0046036","CTP metabolic process",23,1,0.03,"0.02723"
"35","GO:0009127","purine nucleoside monophosphate biosynth...",223,2,0.27,"0.02896"
"36","GO:0009142","nucleoside triphosphate biosynthetic pro...",223,2,0.27,"0.02896"
"37","GO:0009168","purine ribonucleoside monophosphate bios...",223,2,0.27,"0.02896"
"38","GO:0009201","ribonucleoside triphosphate biosynthetic...",223,2,0.27,"0.02896"
"39","GO:0006213","pyrimidine nucleoside metabolic process",25,1,0.03,"0.02957"
"40","GO:0009218","pyrimidine ribonucleotide metabolic proc...",25,1,0.03,"0.02957"
