"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006396","RNA processing",530,30,9.85,"6.8e-08"
"2","GO:0009987","cellular process",11364,257,211.21,"7.6e-08"
"3","GO:0044237","cellular metabolic process",9563,220,177.74,"2.0e-06"
"4","GO:0009266","response to temperature stimulus",19,5,0.35,"2.0e-05"
"5","GO:0009408","response to heat",19,5,0.35,"2.0e-05"
"6","GO:0044281","small molecule metabolic process",1596,53,29.66,"2.4e-05"
"7","GO:0019752","carboxylic acid metabolic process",981,37,18.23,"3.5e-05"
"8","GO:0006397","mRNA processing",156,12,2.9,"3.6e-05"
"9","GO:0043436","oxoacid metabolic process",986,37,18.33,"3.9e-05"
"10","GO:0006082","organic acid metabolic process",988,37,18.36,"4.1e-05"
"11","GO:0016071","mRNA metabolic process",184,13,3.42,"4.2e-05"
"12","GO:0019419","sulfate reduction",5,3,0.09,"6.2e-05"
"13","GO:0009628","response to abiotic stimulus",56,7,1.04,"7.6e-05"
"14","GO:0044238","primary metabolic process",10615,231,197.29,"9.8e-05"
"15","GO:0071704","organic substance metabolic process",11072,239,205.79,"0.00010"
"16","GO:0006220","pyrimidine nucleotide metabolic process",46,6,0.85,"0.00020"
"17","GO:0006221","pyrimidine nucleotide biosynthetic proce...",46,6,0.85,"0.00020"
"18","GO:0006139","nucleobase-containing compound metabolic...",3641,95,67.67,"0.00020"
"19","GO:0031503","protein-containing complex localization",7,3,0.13,"0.00021"
"20","GO:0009311","oligosaccharide metabolic process",91,8,1.69,"0.00029"
"21","GO:0006071","glycerol metabolic process",2,2,0.04,"0.00034"
"22","GO:0019400","alditol metabolic process",2,2,0.04,"0.00034"
"23","GO:0044571","[2Fe-2S] cluster assembly",2,2,0.04,"0.00034"
"24","GO:0046483","heterocycle metabolic process",3889,99,72.28,"0.00035"
"25","GO:0006725","cellular aromatic compound metabolic pro...",3944,100,73.3,"0.00037"
"26","GO:0006807","nitrogen compound metabolic process",8977,197,166.85,"0.00058"
"27","GO:0090407","organophosphate biosynthetic process",439,19,8.16,"0.00060"
"28","GO:1901360","organic cyclic compound metabolic proces...",4015,100,74.62,"0.00071"
"29","GO:0005984","disaccharide metabolic process",80,7,1.49,"0.00072"
"30","GO:0016053","organic acid biosynthetic process",525,21,9.76,"0.00087"
"31","GO:0046394","carboxylic acid biosynthetic process",525,21,9.76,"0.00087"
"32","GO:0006207","'de novo' pyrimidine nucleobase biosynth...",11,3,0.2,"0.00094"
"33","GO:0007050","cell cycle arrest",11,3,0.2,"0.00094"
"34","GO:0016973","poly(A)+ mRNA export from nucleus",3,2,0.06,"0.00102"
"35","GO:1901605","alpha-amino acid metabolic process",289,14,5.37,"0.00108"
"36","GO:0009312","oligosaccharide biosynthetic process",63,6,1.17,"0.00110"
"37","GO:0044283","small molecule biosynthetic process",664,24,12.34,"0.00154"
"38","GO:0072527","pyrimidine-containing compound metabolic...",69,6,1.28,"0.00177"
"39","GO:0072528","pyrimidine-containing compound biosynthe...",69,6,1.28,"0.00177"
"40","GO:0031123","RNA 3'-end processing",29,4,0.54,"0.00193"
