"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0000726","non-recombinational repair",4,2,0,"3.7e-06"
"2","GO:0006303","double-strand break repair via nonhomolo...",4,2,0,"3.7e-06"
"3","GO:0006302","double-strand break repair",13,2,0.01,"4.8e-05"
"4","GO:0015780","nucleotide-sugar transmembrane transport",16,2,0.01,"7.4e-05"
"5","GO:0090481","pyrimidine nucleotide-sugar transmembran...",16,2,0.01,"7.4e-05"
"6","GO:1901264","carbohydrate derivative transport",28,2,0.02,"0.00023"
"7","GO:0000723","telomere maintenance",30,2,0.02,"0.00027"
"8","GO:0032200","telomere organization",30,2,0.02,"0.00027"
"9","GO:0060249","anatomical structure homeostasis",30,2,0.02,"0.00027"
"10","GO:0015931","nucleobase-containing compound transport",40,2,0.03,"0.00048"
"11","GO:0051276","chromosome organization",209,3,0.17,"0.00060"
"12","GO:0006996","organelle organization",378,3,0.31,"0.00328"
"13","GO:0006259","DNA metabolic process",522,3,0.43,"0.00807"
"14","GO:0071705","nitrogen compound transport",565,3,0.46,"0.01003"
"15","GO:0009143","nucleoside triphosphate catabolic proces...",16,1,0.01,"0.01301"
"16","GO:1901575","organic substance catabolic process",672,3,0.55,"0.01602"
"17","GO:0006281","DNA repair",246,2,0.2,"0.01676"
"18","GO:0006974","cellular response to DNA damage stimulus",252,2,0.21,"0.01754"
"19","GO:0071702","organic substance transport",697,3,0.57,"0.01765"
"20","GO:0033554","cellular response to stress",262,2,0.21,"0.01887"
"21","GO:0006265","DNA topological change",24,1,0.02,"0.01945"
"22","GO:0006022","aminoglycan metabolic process",26,1,0.02,"0.02106"
"23","GO:0006026","aminoglycan catabolic process",26,1,0.02,"0.02106"
"24","GO:0006030","chitin metabolic process",26,1,0.02,"0.02106"
"25","GO:0006032","chitin catabolic process",26,1,0.02,"0.02106"
"26","GO:0016998","cell wall macromolecule catabolic proces...",26,1,0.02,"0.02106"
"27","GO:0046348","amino sugar catabolic process",26,1,0.02,"0.02106"
"28","GO:1901071","glucosamine-containing compound metaboli...",26,1,0.02,"0.02106"
"29","GO:1901072","glucosamine-containing compound cataboli...",26,1,0.02,"0.02106"
"30","GO:0006040","amino sugar metabolic process",27,1,0.02,"0.02186"
"31","GO:0044248","cellular catabolic process",780,3,0.64,"0.02376"
"32","GO:0042592","homeostatic process",310,2,0.25,"0.02585"
"33","GO:0016043","cellular component organization",828,3,0.68,"0.02776"
"34","GO:0009056","catabolic process",869,3,0.71,"0.03145"
"35","GO:1901565","organonitrogen compound catabolic proces...",358,2,0.29,"0.03372"
"36","GO:0009057","macromolecule catabolic process",367,2,0.3,"0.03529"
"37","GO:1901136","carbohydrate derivative catabolic proces...",44,1,0.04,"0.03539"
"38","GO:0065008","regulation of biological quality",409,2,0.33,"0.04298"
"39","GO:0071840","cellular component organization or bioge...",1032,3,0.84,"0.04863"
"40","GO:0007275","multicellular organism development",63,1,0.05,"0.05031"
