"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006396","RNA processing",530,40,9.65,"2.4e-14"
"2","GO:0034660","ncRNA metabolic process",366,31,6.66,"1.2e-12"
"3","GO:1901360","organic cyclic compound metabolic proces...",4015,127,73.09,"1.1e-11"
"4","GO:0046483","heterocycle metabolic process",3889,124,70.8,"1.3e-11"
"5","GO:0006725","cellular aromatic compound metabolic pro...",3944,124,71.8,"3.5e-11"
"6","GO:0006139","nucleobase-containing compound metabolic...",3641,117,66.28,"4.4e-11"
"7","GO:0034641","cellular nitrogen compound metabolic pro...",4809,138,87.55,"1.0e-09"
"8","GO:0016070","RNA metabolic process",2570,86,46.79,"7.7e-09"
"9","GO:0006807","nitrogen compound metabolic process",8977,212,163.42,"4.7e-08"
"10","GO:0044237","cellular metabolic process",9563,222,174.09,"5.9e-08"
"11","GO:0090304","nucleic acid metabolic process",3078,94,56.03,"1.1e-07"
"12","GO:0006399","tRNA metabolic process",269,20,4.9,"1.2e-07"
"13","GO:0034470","ncRNA processing",224,18,4.08,"1.6e-07"
"14","GO:0071704","organic substance metabolic process",11072,246,201.56,"1.8e-07"
"15","GO:0044238","primary metabolic process",10615,238,193.24,"2.2e-07"
"16","GO:0030163","protein catabolic process",260,19,4.73,"3.2e-07"
"17","GO:0044281","small molecule metabolic process",1596,57,29.05,"6.1e-07"
"18","GO:0010467","gene expression",3456,99,62.92,"9.9e-07"
"19","GO:0031124","mRNA 3'-end processing",14,5,0.25,"3.4e-06"
"20","GO:0044257","cellular protein catabolic process",225,16,4.1,"3.9e-06"
"21","GO:0051603","proteolysis involved in cellular protein...",225,16,4.1,"3.9e-06"
"22","GO:0044265","cellular macromolecule catabolic process",280,18,5.1,"4.1e-06"
"23","GO:0009057","macromolecule catabolic process",367,21,6.68,"4.1e-06"
"24","GO:0006418","tRNA aminoacylation for protein translat...",132,12,2.4,"5.4e-06"
"25","GO:1901575","organic substance catabolic process",672,30,12.23,"6.1e-06"
"26","GO:0043038","amino acid activation",138,12,2.51,"8.5e-06"
"27","GO:0043039","tRNA aminoacylation",138,12,2.51,"8.5e-06"
"28","GO:0031123","RNA 3'-end processing",29,6,0.53,"1.2e-05"
"29","GO:0016072","rRNA metabolic process",99,10,1.8,"1.3e-05"
"30","GO:0006397","mRNA processing",156,12,2.84,"2.9e-05"
"31","GO:1901565","organonitrogen compound catabolic proces...",358,19,6.52,"3.3e-05"
"32","GO:0006364","rRNA processing",91,9,1.66,"4.2e-05"
"33","GO:0006511","ubiquitin-dependent protein catabolic pr...",195,13,3.55,"6.2e-05"
"34","GO:0019941","modification-dependent protein catabolic...",195,13,3.55,"6.2e-05"
"35","GO:0043632","modification-dependent macromolecule cat...",195,13,3.55,"6.2e-05"
"36","GO:0008152","metabolic process",13764,279,250.57,"0.00010"
"37","GO:0043170","macromolecule metabolic process",7921,178,144.2,"0.00011"
"38","GO:0016071","mRNA metabolic process",184,12,3.35,"0.00014"
"39","GO:0006913","nucleocytoplasmic transport",31,5,0.56,"0.00022"
"40","GO:0051169","nuclear transport",31,5,0.56,"0.00022"
