"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006265","DNA topological change",24,2,0.02,"0.00028"
"2","GO:0071103","DNA conformation change",83,2,0.09,"0.00329"
"3","GO:0006379","mRNA cleavage",4,1,0,"0.00414"
"4","GO:0006266","DNA ligation",8,1,0.01,"0.00826"
"5","GO:0051103","DNA ligation involved in DNA repair",8,1,0.01,"0.00826"
"6","GO:0044260","cellular macromolecule metabolic process",6499,12,6.73,"0.01267"
"7","GO:0090501","RNA phosphodiester bond hydrolysis",13,1,0.01,"0.01338"
"8","GO:0006259","DNA metabolic process",522,3,0.54,"0.01581"
"9","GO:0006511","ubiquitin-dependent protein catabolic pr...",195,2,0.2,"0.01707"
"10","GO:0019941","modification-dependent protein catabolic...",195,2,0.2,"0.01707"
"11","GO:0043632","modification-dependent macromolecule cat...",195,2,0.2,"0.01707"
"12","GO:0051276","chromosome organization",209,2,0.22,"0.01944"
"13","GO:0090305","nucleic acid phosphodiester bond hydroly...",20,1,0.02,"0.02052"
"14","GO:0044257","cellular protein catabolic process",225,2,0.23,"0.02232"
"15","GO:0051603","proteolysis involved in cellular protein...",225,2,0.23,"0.02232"
"16","GO:0030163","protein catabolic process",260,2,0.27,"0.02919"
"17","GO:0044265","cellular macromolecule catabolic process",280,2,0.29,"0.03345"
"18","GO:0006886","intracellular protein transport",311,2,0.32,"0.04051"
"19","GO:0034613","cellular protein localization",334,2,0.35,"0.04608"
"20","GO:0070727","cellular macromolecule localization",334,2,0.35,"0.04608"
"21","GO:0016043","cellular component organization",828,3,0.86,"0.05177"
"22","GO:1901565","organonitrogen compound catabolic proces...",358,2,0.37,"0.05219"
"23","GO:0009057","macromolecule catabolic process",367,2,0.38,"0.05455"
"24","GO:0006996","organelle organization",378,2,0.39,"0.05748"
"25","GO:0046907","intracellular transport",381,2,0.39,"0.05830"
"26","GO:0051649","establishment of localization in cell",383,2,0.4,"0.05884"
"27","GO:0043170","macromolecule metabolic process",7921,12,8.2,"0.06393"
"28","GO:0006139","nucleobase-containing compound metabolic...",3641,7,3.77,"0.06513"
"29","GO:0015031","protein transport",419,2,0.43,"0.06891"
"30","GO:0006807","nitrogen compound metabolic process",8977,13,9.3,"0.06993"
"31","GO:0045184","establishment of protein localization",425,2,0.44,"0.07064"
"32","GO:0051641","cellular localization",431,2,0.45,"0.07239"
"33","GO:0016579","protein deubiquitination",73,1,0.08,"0.07299"
"34","GO:0008104","protein localization",442,2,0.46,"0.07563"
"35","GO:0070646","protein modification by small protein re...",77,1,0.08,"0.07684"
"36","GO:1901137","carbohydrate derivative biosynthetic pro...",454,2,0.47,"0.07922"
"37","GO:0015985","energy coupled proton transport, down el...",82,1,0.08,"0.08163"
"38","GO:0015986","ATP synthesis coupled proton transport",82,1,0.08,"0.08163"
"39","GO:0090304","nucleic acid metabolic process",3078,6,3.19,"0.08449"
"40","GO:0015833","peptide transport",478,2,0.5,"0.08656"
