"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0055085","transmembrane transport",1722,43,23.93,"0.00011"
"2","GO:0006289","nucleotide-excision repair",35,5,0.49,"0.00012"
"3","GO:0005975","carbohydrate metabolic process",1299,33,18.05,"0.00057"
"4","GO:0016051","carbohydrate biosynthetic process",183,8,2.54,"0.00414"
"5","GO:0006013","mannose metabolic process",8,2,0.11,"0.00510"
"6","GO:0006528","asparagine metabolic process",10,2,0.14,"0.00804"
"7","GO:0006529","asparagine biosynthetic process",10,2,0.14,"0.00804"
"8","GO:0016226","iron-sulfur cluster assembly",32,3,0.44,"0.00978"
"9","GO:0031163","metallo-sulfur cluster assembly",32,3,0.44,"0.00978"
"10","GO:0019362","pyridine nucleotide metabolic process",172,7,2.39,"0.01039"
"11","GO:0046496","nicotinamide nucleotide metabolic proces...",172,7,2.39,"0.01039"
"12","GO:0001678","cellular glucose homeostasis",12,2,0.17,"0.01159"
"13","GO:0006094","gluconeogenesis",12,2,0.17,"0.01159"
"14","GO:0019319","hexose biosynthetic process",12,2,0.17,"0.01159"
"15","GO:0033500","carbohydrate homeostasis",12,2,0.17,"0.01159"
"16","GO:0042593","glucose homeostasis",12,2,0.17,"0.01159"
"17","GO:0046364","monosaccharide biosynthetic process",12,2,0.17,"0.01159"
"18","GO:0065007","biological regulation",2628,50,36.53,"0.01202"
"19","GO:0006733","oxidoreduction coenzyme metabolic proces...",179,7,2.49,"0.01274"
"20","GO:0050789","regulation of biological process",2453,47,34.09,"0.01325"
"21","GO:0000070","mitotic sister chromatid segregation",13,2,0.18,"0.01357"
"22","GO:0000819","sister chromatid segregation",13,2,0.18,"0.01357"
"23","GO:0140014","mitotic nuclear division",13,2,0.18,"0.01357"
"24","GO:0017148","negative regulation of translation",1,1,0.01,"0.01390"
"25","GO:0034249","negative regulation of cellular amide me...",1,1,0.01,"0.01390"
"26","GO:0045900","negative regulation of translational elo...",1,1,0.01,"0.01390"
"27","GO:0072524","pyridine-containing compound metabolic p...",183,7,2.54,"0.01423"
"28","GO:0005977","glycogen metabolic process",14,2,0.19,"0.01568"
"29","GO:0005978","glycogen biosynthetic process",14,2,0.19,"0.01568"
"30","GO:0006112","energy reserve metabolic process",14,2,0.19,"0.01568"
"31","GO:0019318","hexose metabolic process",71,4,0.99,"0.01713"
"32","GO:0034655","nucleobase-containing compound catabolic...",191,7,2.65,"0.01760"
"33","GO:0050794","regulation of cellular process",2378,45,33.05,"0.01877"
"34","GO:0008652","cellular amino acid biosynthetic process",244,8,3.39,"0.02110"
"35","GO:0016052","carbohydrate catabolic process",156,6,2.17,"0.02199"
"36","GO:0005976","polysaccharide metabolic process",200,7,2.78,"0.02202"
"37","GO:0098813","nuclear chromosome segregation",17,2,0.24,"0.02281"
"38","GO:1903047","mitotic cell cycle process",17,2,0.24,"0.02281"
"39","GO:1901607","alpha-amino acid biosynthetic process",203,7,2.82,"0.02365"
"40","GO:0034637","cellular carbohydrate biosynthetic proce...",160,6,2.22,"0.02453"
