"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0033013","tetrapyrrole metabolic process",66,48,10.44,"8.9e-25"
"2","GO:0033014","tetrapyrrole biosynthetic process",60,44,9.49,"4.6e-23"
"3","GO:0015979","photosynthesis",188,87,29.73,"5.1e-23"
"4","GO:0006778","porphyrin-containing compound metabolic ...",44,30,6.96,"9.5e-15"
"5","GO:0055114","oxidation-reduction process",2738,567,432.93,"9.1e-14"
"6","GO:0006779","porphyrin-containing compound biosynthet...",38,26,6.01,"5.2e-13"
"7","GO:0051188","cofactor biosynthetic process",289,94,45.7,"9.9e-13"
"8","GO:0015994","chlorophyll metabolic process",15,14,2.37,"7.6e-11"
"9","GO:0051186","cofactor metabolic process",588,151,92.97,"2.8e-10"
"10","GO:0044281","small molecule metabolic process",1596,340,252.36,"8.0e-10"
"11","GO:0015995","chlorophyll biosynthetic process",13,12,2.06,"2.7e-09"
"12","GO:0065008","regulation of biological quality",409,110,64.67,"5.2e-09"
"13","GO:0045454","cell redox homeostasis",233,72,36.84,"5.3e-09"
"14","GO:0006520","cellular amino acid metabolic process",548,138,86.65,"6.5e-09"
"15","GO:0019725","cellular homeostasis",268,78,42.38,"2.4e-08"
"16","GO:0019752","carboxylic acid metabolic process",981,218,155.11,"3.8e-08"
"17","GO:0043436","oxoacid metabolic process",986,218,155.9,"5.8e-08"
"18","GO:0006082","organic acid metabolic process",988,218,156.22,"6.9e-08"
"19","GO:0042440","pigment metabolic process",66,28,10.44,"2.3e-07"
"20","GO:0006399","tRNA metabolic process",269,75,42.53,"3.0e-07"
"21","GO:0006732","coenzyme metabolic process",308,83,48.7,"3.5e-07"
"22","GO:0042592","homeostatic process",310,83,49.02,"4.7e-07"
"23","GO:0010207","photosystem II assembly",10,9,1.58,"5.2e-07"
"24","GO:0009063","cellular amino acid catabolic process",45,21,7.12,"1.1e-06"
"25","GO:1901606","alpha-amino acid catabolic process",39,19,6.17,"1.6e-06"
"26","GO:0034660","ncRNA metabolic process",366,92,57.87,"2.3e-06"
"27","GO:0016054","organic acid catabolic process",52,22,8.22,"4.7e-06"
"28","GO:0046395","carboxylic acid catabolic process",52,22,8.22,"4.7e-06"
"29","GO:0046148","pigment biosynthetic process",60,24,9.49,"5.7e-06"
"30","GO:0006801","superoxide metabolic process",29,15,4.59,"7.8e-06"
"31","GO:0009108","coenzyme biosynthetic process",239,64,37.79,"9.2e-06"
"32","GO:0072524","pyridine-containing compound metabolic p...",183,52,28.94,"1.0e-05"
"33","GO:1901605","alpha-amino acid metabolic process",289,74,45.7,"1.1e-05"
"34","GO:0006733","oxidoreduction coenzyme metabolic proces...",179,50,28.3,"2.5e-05"
"35","GO:0044282","small molecule catabolic process",77,27,12.18,"2.7e-05"
"36","GO:0019362","pyridine nucleotide metabolic process",172,48,27.2,"3.7e-05"
"37","GO:0046496","nicotinamide nucleotide metabolic proces...",172,48,27.2,"3.7e-05"
"38","GO:1901566","organonitrogen compound biosynthetic pro...",1926,366,304.54,"4.0e-05"
"39","GO:0044283","small molecule biosynthetic process",664,143,104.99,"4.6e-05"
"40","GO:0071586","CAAX-box protein processing",17,10,2.69,"6.4e-05"
