"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0055114","oxidation-reduction process",2738,543,316.38,"< 1e-30"
"2","GO:0042743","hydrogen peroxide metabolic process",180,95,20.8,"< 1e-30"
"3","GO:0042744","hydrogen peroxide catabolic process",180,95,20.8,"< 1e-30"
"4","GO:0017001","antibiotic catabolic process",183,95,21.15,"< 1e-30"
"5","GO:0051187","cofactor catabolic process",195,95,22.53,"< 1e-30"
"6","GO:0072593","reactive oxygen species metabolic proces...",211,95,24.38,"< 1e-30"
"7","GO:0042737","drug catabolic process",231,100,26.69,"< 1e-30"
"8","GO:0006979","response to oxidative stress",299,112,34.55,"< 1e-30"
"9","GO:0016999","antibiotic metabolic process",235,97,27.15,"< 1e-30"
"10","GO:0050896","response to stimulus",1373,265,158.65,"2.5e-18"
"11","GO:0051186","cofactor metabolic process",588,135,67.94,"1.6e-15"
"12","GO:0006950","response to stress",705,153,81.46,"3.5e-15"
"13","GO:0017144","drug metabolic process",646,136,74.65,"1.4e-12"
"14","GO:0044248","cellular catabolic process",780,142,90.13,"1.7e-08"
"15","GO:0030001","metal ion transport",364,79,42.06,"1.9e-08"
"16","GO:0009056","catabolic process",869,150,100.41,"2.2e-07"
"17","GO:0055085","transmembrane transport",1722,258,198.98,"3.6e-06"
"18","GO:0009719","response to endogenous stimulus",235,51,27.15,"5.9e-06"
"19","GO:0009725","response to hormone",235,51,27.15,"5.9e-06"
"20","GO:0010033","response to organic substance",238,51,27.5,"8.6e-06"
"21","GO:0006813","potassium ion transport",103,28,11.9,"1.0e-05"
"22","GO:0042221","response to chemical",270,55,31.2,"1.9e-05"
"23","GO:0006811","ion transport",894,142,103.3,"4.3e-05"
"24","GO:0006857","oligopeptide transport",57,18,6.59,"4.6e-05"
"25","GO:0009733","response to auxin",157,35,18.14,"9.2e-05"
"26","GO:0071554","cell wall organization or biogenesis",347,63,40.1,"0.00018"
"27","GO:0010411","xyloglucan metabolic process",60,17,6.93,"0.00032"
"28","GO:0006869","lipid transport",119,27,13.75,"0.00041"
"29","GO:0055082","cellular chemical homeostasis",36,12,4.16,"0.00048"
"30","GO:0071804","cellular potassium ion transport",68,18,7.86,"0.00054"
"31","GO:0071805","potassium ion transmembrane transport",68,18,7.86,"0.00054"
"32","GO:0006812","cation transport",668,105,77.19,"0.00060"
"33","GO:0006006","glucose metabolic process",37,12,4.28,"0.00063"
"34","GO:0010876","lipid localization",126,27,14.56,"0.00105"
"35","GO:0030026","cellular manganese ion homeostasis",16,7,1.85,"0.00121"
"36","GO:0055071","manganese ion homeostasis",16,7,1.85,"0.00121"
"37","GO:0010383","cell wall polysaccharide metabolic proce...",68,17,7.86,"0.00152"
"38","GO:0010410","hemicellulose metabolic process",68,17,7.86,"0.00152"
"39","GO:0006721","terpenoid metabolic process",36,11,4.16,"0.00183"
"40","GO:0016114","terpenoid biosynthetic process",36,11,4.16,"0.00183"
