"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0019252","starch biosynthetic process",35,13,1.49,"9.0e-10"
"2","GO:0005982","starch metabolic process",58,15,2.47,"1.4e-08"
"3","GO:0071941","nitrogen cycle metabolic process",46,12,1.96,"3.5e-07"
"4","GO:0043605","cellular amide catabolic process",4,4,0.17,"3.3e-06"
"5","GO:0005978","glycogen biosynthetic process",19,7,0.81,"8.1e-06"
"6","GO:0042126","nitrate metabolic process",44,10,1.88,"1.3e-05"
"7","GO:0042128","nitrate assimilation",44,10,1.88,"1.3e-05"
"8","GO:2001057","reactive nitrogen species metabolic proc...",44,10,1.88,"1.3e-05"
"9","GO:0005977","glycogen metabolic process",29,8,1.24,"2.1e-05"
"10","GO:0006112","energy reserve metabolic process",29,8,1.24,"2.1e-05"
"11","GO:0016236","macroautophagy",38,9,1.62,"2.4e-05"
"12","GO:0000045","autophagosome assembly",22,7,0.94,"2.5e-05"
"13","GO:0042594","response to starvation",81,13,3.45,"3.7e-05"
"14","GO:0009250","glucan biosynthetic process",215,23,9.17,"5.2e-05"
"15","GO:1905037","autophagosome organization",25,7,1.07,"6.2e-05"
"16","GO:0010118","stomatal movement",99,14,4.22,"7.9e-05"
"17","GO:0043161","proteasome-mediated ubiquitin-dependent ...",214,22,9.12,"0.00013"
"18","GO:0043412","macromolecule modification",6140,316,261.78,"0.00015"
"19","GO:0006511","ubiquitin-dependent protein catabolic pr...",421,35,17.95,"0.00015"
"20","GO:0032259","methylation",1054,70,44.94,"0.00019"
"21","GO:0070897","transcription preinitiation complex asse...",39,8,1.66,"0.00020"
"22","GO:0019941","modification-dependent protein catabolic...",429,35,18.29,"0.00021"
"23","GO:0010167","response to nitrate",61,10,2.6,"0.00024"
"24","GO:0044255","cellular lipid metabolic process",971,65,41.4,"0.00026"
"25","GO:0006914","autophagy",85,12,3.62,"0.00026"
"26","GO:0061919","process utilizing autophagic mechanism",85,12,3.62,"0.00026"
"27","GO:0031667","response to nutrient levels",98,13,4.18,"0.00027"
"28","GO:1901698","response to nitrogen compound",152,17,6.48,"0.00028"
"29","GO:0010498","proteasomal protein catabolic process",226,22,9.64,"0.00029"
"30","GO:0043632","modification-dependent macromolecule cat...",437,35,18.63,"0.00030"
"31","GO:0033692","cellular polysaccharide biosynthetic pro...",244,23,10.4,"0.00034"
"32","GO:0030163","protein catabolic process",550,41,23.45,"0.00043"
"33","GO:0009416","response to light stimulus",431,34,18.38,"0.00048"
"34","GO:0006796","phosphate-containing compound metabolic ...",5965,303,254.32,"0.00050"
"35","GO:0006721","terpenoid metabolic process",147,16,6.27,"0.00056"
"36","GO:0070647","protein modification by small protein co...",963,63,41.06,"0.00057"
"37","GO:0016567","protein ubiquitination",799,54,34.07,"0.00065"
"38","GO:0006793","phosphorus metabolic process",5992,303,255.47,"0.00066"
"39","GO:0016114","terpenoid biosynthetic process",135,15,5.76,"0.00066"
"40","GO:0044257","cellular protein catabolic process",477,36,20.34,"0.00075"
