"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006412","translation",1578,386,62.6,"< 1e-30"
"2","GO:0043043","peptide biosynthetic process",1585,386,62.88,"< 1e-30"
"3","GO:0006518","peptide metabolic process",1636,388,64.9,"< 1e-30"
"4","GO:0043604","amide biosynthetic process",1687,387,66.92,"< 1e-30"
"5","GO:0043603","cellular amide metabolic process",1803,390,71.53,"< 1e-30"
"6","GO:1901566","organonitrogen compound biosynthetic pro...",3117,456,123.65,"< 1e-30"
"7","GO:0010467","gene expression",6173,525,244.89,"< 1e-30"
"8","GO:0034645","cellular macromolecule biosynthetic proc...",5739,496,227.67,"< 1e-30"
"9","GO:0009059","macromolecule biosynthetic process",5951,502,236.08,"< 1e-30"
"10","GO:0044271","cellular nitrogen compound biosynthetic ...",6040,502,239.61,"< 1e-30"
"11","GO:0044249","cellular biosynthetic process",7955,587,315.58,"< 1e-30"
"12","GO:1901576","organic substance biosynthetic process",8134,588,322.68,"< 1e-30"
"13","GO:0009058","biosynthetic process",8350,593,331.25,"< 1e-30"
"14","GO:0044267","cellular protein metabolic process",7729,548,306.61,"< 1e-30"
"15","GO:0019538","protein metabolic process",9267,584,367.63,"< 1e-30"
"16","GO:1901564","organonitrogen compound metabolic proces...",11095,663,440.14,"< 1e-30"
"17","GO:0034641","cellular nitrogen compound metabolic pro...",11920,633,472.87,"5.5e-19"
"18","GO:0015031","protein transport",1076,104,42.69,"6.9e-17"
"19","GO:0045184","establishment of protein localization",1109,105,43.99,"2.0e-16"
"20","GO:0008104","protein localization",1172,108,46.49,"4.7e-16"
"21","GO:0022613","ribonucleoprotein complex biogenesis",518,64,20.55,"1.1e-15"
"22","GO:0015833","peptide transport",1134,104,44.99,"2.3e-15"
"23","GO:0042886","amide transport",1145,104,45.42,"4.4e-15"
"24","GO:0033036","macromolecule localization",1430,120,56.73,"9.9e-15"
"25","GO:0022900","electron transport chain",506,60,20.07,"5.3e-14"
"26","GO:0043933","protein-containing complex subunit organ...",836,80,33.16,"4.9e-13"
"27","GO:0007005","mitochondrion organization",140,28,5.55,"1.4e-12"
"28","GO:0042775","mitochondrial ATP synthesis coupled elec...",32,14,1.27,"5.4e-12"
"29","GO:0022618","ribonucleoprotein complex assembly",217,34,8.61,"8.4e-12"
"30","GO:0071826","ribonucleoprotein complex subunit organi...",218,34,8.65,"9.6e-12"
"31","GO:0071705","nitrogen compound transport",1367,108,54.23,"9.6e-12"
"32","GO:0046907","intracellular transport",923,80,36.62,"6.9e-11"
"33","GO:0044257","cellular protein catabolic process",477,51,18.92,"1.8e-10"
"34","GO:0051603","proteolysis involved in cellular protein...",477,51,18.92,"1.8e-10"
"35","GO:0044085","cellular component biogenesis",1383,105,54.86,"1.8e-10"
"36","GO:0002181","cytoplasmic translation",100,21,3.97,"3.3e-10"
"37","GO:0016192","vesicle-mediated transport",661,62,26.22,"4.6e-10"
"38","GO:0051649","establishment of localization in cell",984,81,39.04,"6.1e-10"
"39","GO:0006886","intracellular protein transport",722,64,28.64,"2.3e-09"
"40","GO:0071702","organic substance transport",1849,126,73.35,"2.5e-09"
