"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006518","peptide metabolic process",1636,102,20.13,"< 1e-30"
"2","GO:0006412","translation",1578,97,19.42,"< 1e-30"
"3","GO:0043043","peptide biosynthetic process",1585,97,19.5,"< 1e-30"
"4","GO:0043603","cellular amide metabolic process",1803,102,22.19,"< 1e-30"
"5","GO:0043604","amide biosynthetic process",1687,97,20.76,"< 1e-30"
"6","GO:0010467","gene expression",6173,179,75.96,"< 1e-30"
"7","GO:1901566","organonitrogen compound biosynthetic pro...",3117,111,38.36,"7.5e-25"
"8","GO:0034645","cellular macromolecule biosynthetic proc...",5739,145,70.62,"2.2e-18"
"9","GO:0044271","cellular nitrogen compound biosynthetic ...",6040,149,74.32,"5.2e-18"
"10","GO:0009059","macromolecule biosynthetic process",5951,147,73.23,"8.7e-18"
"11","GO:0044249","cellular biosynthetic process",7955,169,97.89,"2.0e-14"
"12","GO:1901576","organic substance biosynthetic process",8134,169,100.09,"1.6e-13"
"13","GO:0009058","biosynthetic process",8350,171,102.75,"3.7e-13"
"14","GO:0034641","cellular nitrogen compound metabolic pro...",11920,209,146.68,"8.7e-10"
"15","GO:0044267","cellular protein metabolic process",7729,150,95.11,"1.4e-09"
"16","GO:0000387","spliceosomal snRNP assembly",39,8,0.48,"2.2e-08"
"17","GO:0006662","glycerol ether metabolic process",29,7,0.36,"5.0e-08"
"18","GO:0018904","ether metabolic process",29,7,0.36,"5.0e-08"
"19","GO:0000398","mRNA splicing, via spliceosome",218,15,2.68,"1.0e-07"
"20","GO:0006397","mRNA processing",437,21,5.38,"1.5e-07"
"21","GO:0000375","RNA splicing, via transesterification re...",240,15,2.95,"3.6e-07"
"22","GO:0000377","RNA splicing, via transesterification re...",240,15,2.95,"3.6e-07"
"23","GO:0019538","protein metabolic process",9267,161,114.03,"6.1e-07"
"24","GO:0008380","RNA splicing",325,17,4,"7.4e-07"
"25","GO:0006413","translational initiation",342,17,4.21,"1.5e-06"
"26","GO:0022618","ribonucleoprotein complex assembly",217,13,2.67,"3.4e-06"
"27","GO:0071826","ribonucleoprotein complex subunit organi...",218,13,2.68,"3.6e-06"
"28","GO:0016071","mRNA metabolic process",542,21,6.67,"4.8e-06"
"29","GO:0043933","protein-containing complex subunit organ...",836,27,10.29,"6.6e-06"
"30","GO:0006465","signal peptide processing",23,5,0.28,"7.7e-06"
"31","GO:0022613","ribonucleoprotein complex biogenesis",518,20,6.37,"8.4e-06"
"32","GO:1901564","organonitrogen compound metabolic proces...",11095,180,136.53,"9.0e-06"
"33","GO:0044085","cellular component biogenesis",1383,37,17.02,"1.0e-05"
"34","GO:0034622","cellular protein-containing complex asse...",615,21,7.57,"3.1e-05"
"35","GO:0022607","cellular component assembly",924,27,11.37,"3.8e-05"
"36","GO:0045454","cell redox homeostasis",291,13,3.58,"7.5e-05"
"37","GO:0065003","protein-containing complex assembly",711,22,8.75,"8.7e-05"
"38","GO:0016925","protein sumoylation",10,3,0.12,"0.00021"
"39","GO:0006396","RNA processing",1149,29,14.14,"0.00025"
"40","GO:0009987","cellular process",26204,355,322.45,"0.00052"
