"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0050789","regulation of biological process",6129,535,352.81,"3.3e-25"
"2","GO:0050794","regulation of cellular process",5500,489,316.6,"1.7e-24"
"3","GO:0051252","regulation of RNA metabolic process",2961,304,170.45,"6.8e-24"
"4","GO:0019219","regulation of nucleobase-containing comp...",3043,309,175.17,"1.6e-23"
"5","GO:1903506","regulation of nucleic acid-templated tra...",2930,300,168.66,"2.2e-23"
"6","GO:2001141","regulation of RNA biosynthetic process",2930,300,168.66,"2.2e-23"
"7","GO:0080090","regulation of primary metabolic process",3633,352,209.13,"2.6e-23"
"8","GO:0009889","regulation of biosynthetic process",3134,315,180.41,"2.8e-23"
"9","GO:0031326","regulation of cellular biosynthetic proc...",3117,313,179.43,"4.6e-23"
"10","GO:0006355","regulation of transcription, DNA-templat...",2885,295,166.07,"6.7e-23"
"11","GO:0065007","biological regulation",7018,584,403.99,"1.1e-22"
"12","GO:0031323","regulation of cellular metabolic process",3670,352,211.26,"1.5e-22"
"13","GO:0010556","regulation of macromolecule biosynthetic...",3063,305,176.32,"6.7e-22"
"14","GO:0051171","regulation of nitrogen compound metaboli...",3572,341,205.62,"1.7e-21"
"15","GO:0019222","regulation of metabolic process",4004,372,230.49,"1.9e-21"
"16","GO:2000112","regulation of cellular macromolecule bio...",3018,300,173.73,"2.0e-21"
"17","GO:0097659","nucleic acid-templated transcription",3270,315,188.23,"2.1e-20"
"18","GO:0010468","regulation of gene expression",3306,317,190.31,"3.1e-20"
"19","GO:0006351","transcription, DNA-templated",3199,307,184.15,"1.2e-19"
"20","GO:0060255","regulation of macromolecule metabolic pr...",3847,353,221.45,"1.9e-19"
"21","GO:0032774","RNA biosynthetic process",3368,317,193.88,"5.0e-19"
"22","GO:0019438","aromatic compound biosynthetic process",4509,371,259.56,"3.2e-13"
"23","GO:0018130","heterocycle biosynthetic process",4527,371,260.59,"5.5e-13"
"24","GO:0034654","nucleobase-containing compound biosynthe...",4220,350,242.92,"6.3e-13"
"25","GO:1901700","response to oxygen-containing compound",903,105,51.98,"6.4e-12"
"26","GO:1901362","organic cyclic compound biosynthetic pro...",4672,375,268.94,"6.6e-12"
"27","GO:0050896","response to stimulus",4804,383,276.54,"9.2e-12"
"28","GO:0007154","cell communication",1865,179,107.36,"1.0e-11"
"29","GO:0023052","signaling",1621,154,93.31,"6.4e-10"
"30","GO:0015860","purine nucleoside transmembrane transpor...",46,16,2.65,"2.6e-09"
"31","GO:0010200","response to chitin",30,13,1.73,"3.5e-09"
"32","GO:0010033","response to organic substance",1234,122,71.03,"4.2e-09"
"33","GO:0007165","signal transduction",1598,149,91.99,"4.3e-09"
"34","GO:0042493","response to drug",216,36,12.43,"8.9e-09"
"35","GO:0015858","nucleoside transport",58,17,3.34,"1.6e-08"
"36","GO:1901642","nucleoside transmembrane transport",58,17,3.34,"1.6e-08"
"37","GO:0006468","protein phosphorylation",2846,232,163.83,"3.6e-08"
"38","GO:0006887","exocytosis",101,22,5.81,"5.4e-08"
"39","GO:0072530","purine-containing compound transmembrane...",56,16,3.22,"6.3e-08"
"40","GO:0009725","response to hormone",1076,105,61.94,"9.7e-08"
