"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0016070","RNA metabolic process",2570,412,250.74,"1.5e-27"
"2","GO:0090304","nucleic acid metabolic process",3078,462,300.3,"1.1e-24"
"3","GO:0010467","gene expression",3456,505,337.18,"1.4e-24"
"4","GO:0034641","cellular nitrogen compound metabolic pro...",4809,650,469.18,"2.2e-23"
"5","GO:0046483","heterocycle metabolic process",3889,549,379.42,"2.3e-23"
"6","GO:0006139","nucleobase-containing compound metabolic...",3641,521,355.23,"2.6e-23"
"7","GO:1901360","organic cyclic compound metabolic proces...",4015,561,391.72,"7.1e-23"
"8","GO:0006725","cellular aromatic compound metabolic pro...",3944,552,384.79,"1.3e-22"
"9","GO:0006396","RNA processing",530,124,51.71,"7.3e-21"
"10","GO:0006807","nitrogen compound metabolic process",8977,1055,875.83,"2.6e-19"
"11","GO:0071704","organic substance metabolic process",11072,1236,1080.22,"5.8e-16"
"12","GO:0043170","macromolecule metabolic process",7921,931,772.8,"1.6e-15"
"13","GO:0044238","primary metabolic process",10615,1180,1035.64,"1.2e-13"
"14","GO:0044237","cellular metabolic process",9563,1075,933,"7.5e-13"
"15","GO:0009987","cellular process",11364,1240,1108.71,"5.7e-12"
"16","GO:0010468","regulation of gene expression",1665,242,162.44,"4.4e-11"
"17","GO:0006397","mRNA processing",156,44,15.22,"5.2e-11"
"18","GO:0006333","chromatin assembly or disassembly",59,25,5.76,"5.2e-11"
"19","GO:0019222","regulation of metabolic process",1728,247,168.59,"1.5e-10"
"20","GO:0060255","regulation of macromolecule metabolic pr...",1717,245,167.52,"2.1e-10"
"21","GO:0044271","cellular nitrogen compound biosynthetic ...",3403,433,332.01,"2.2e-10"
"22","GO:0006351","transcription, DNA-templated",1823,257,177.86,"2.4e-10"
"23","GO:0097659","nucleic acid-templated transcription",1823,257,177.86,"2.4e-10"
"24","GO:0065004","protein-DNA complex assembly",72,27,7.02,"2.5e-10"
"25","GO:0006334","nucleosome assembly",54,23,5.27,"2.7e-10"
"26","GO:0031497","chromatin assembly",54,23,5.27,"2.7e-10"
"27","GO:0032774","RNA biosynthetic process",1827,257,178.25,"3.0e-10"
"28","GO:1901576","organic substance biosynthetic process",4464,545,435.52,"3.2e-10"
"29","GO:1901362","organic cyclic compound biosynthetic pro...",2466,329,240.59,"3.5e-10"
"30","GO:0018130","heterocycle biosynthetic process",2398,321,233.96,"4.2e-10"
"31","GO:0016071","mRNA metabolic process",184,47,17.95,"4.7e-10"
"32","GO:0071824","protein-DNA complex subunit organization",74,27,7.22,"5.2e-10"
"33","GO:0034728","nucleosome organization",56,23,5.46,"6.5e-10"
"34","GO:0044249","cellular biosynthetic process",4379,533,427.23,"9.2e-10"
"35","GO:0019438","aromatic compound biosynthetic process",2373,316,231.52,"1.1e-09"
"36","GO:0009266","response to temperature stimulus",19,13,1.85,"1.1e-09"
"37","GO:0009408","response to heat",19,13,1.85,"1.1e-09"
"38","GO:0006323","DNA packaging",58,23,5.66,"1.5e-09"
"39","GO:0009058","biosynthetic process",4652,560,453.87,"1.6e-09"
"40","GO:0034654","nucleobase-containing compound biosynthe...",2195,295,214.15,"1.7e-09"
