"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0044281","small molecule metabolic process",1596,95,38.62,"8.4e-17"
"2","GO:0019752","carboxylic acid metabolic process",981,61,23.74,"1.1e-11"
"3","GO:0043436","oxoacid metabolic process",986,61,23.86,"1.3e-11"
"4","GO:0006082","organic acid metabolic process",988,61,23.91,"1.4e-11"
"5","GO:0055086","nucleobase-containing small molecule met...",516,38,12.49,"1.2e-09"
"6","GO:0051186","cofactor metabolic process",588,36,14.23,"3.5e-07"
"7","GO:0006520","cellular amino acid metabolic process",548,34,13.26,"5.6e-07"
"8","GO:0009117","nucleotide metabolic process",426,29,10.31,"6.1e-07"
"9","GO:0044283","small molecule biosynthetic process",664,38,16.07,"8.8e-07"
"10","GO:0006753","nucleoside phosphate metabolic process",437,29,10.58,"1.0e-06"
"11","GO:0009072","aromatic amino acid family metabolic pro...",104,13,2.52,"1.4e-06"
"12","GO:0009073","aromatic amino acid family biosynthetic ...",67,10,1.62,"4.5e-06"
"13","GO:1901566","organonitrogen compound biosynthetic pro...",1926,77,46.61,"6.5e-06"
"14","GO:0006732","coenzyme metabolic process",308,22,7.45,"6.6e-06"
"15","GO:0051188","cofactor biosynthetic process",289,21,6.99,"8.2e-06"
"16","GO:0016053","organic acid biosynthetic process",525,30,12.71,"1.3e-05"
"17","GO:0046394","carboxylic acid biosynthetic process",525,30,12.71,"1.3e-05"
"18","GO:0009723","response to ethylene",14,5,0.34,"1.4e-05"
"19","GO:0019632","shikimate metabolic process",3,3,0.07,"1.4e-05"
"20","GO:0009165","nucleotide biosynthetic process",326,22,7.89,"1.6e-05"
"21","GO:1901293","nucleoside phosphate biosynthetic proces...",326,22,7.89,"1.6e-05"
"22","GO:0072521","purine-containing compound metabolic pro...",356,23,8.62,"2.1e-05"
"23","GO:0072522","purine-containing compound biosynthetic ...",285,20,6.9,"2.2e-05"
"24","GO:1901135","carbohydrate derivative metabolic proces...",650,34,15.73,"2.3e-05"
"25","GO:0090407","organophosphate biosynthetic process",439,26,10.62,"2.7e-05"
"26","GO:0009116","nucleoside metabolic process",82,10,1.98,"2.8e-05"
"27","GO:1901657","glycosyl compound metabolic process",82,10,1.98,"2.8e-05"
"28","GO:0019693","ribose phosphate metabolic process",356,22,8.62,"6.1e-05"
"29","GO:0009163","nucleoside biosynthetic process",33,6,0.8,"0.00012"
"30","GO:0042455","ribonucleoside biosynthetic process",33,6,0.8,"0.00012"
"31","GO:1901659","glycosyl compound biosynthetic process",33,6,0.8,"0.00012"
"32","GO:0019637","organophosphate metabolic process",689,33,16.67,"0.00016"
"33","GO:0019438","aromatic compound biosynthetic process",2373,84,57.43,"0.00019"
"34","GO:0009058","biosynthetic process",4652,146,112.58,"0.00020"
"35","GO:0034404","nucleobase-containing small molecule bio...",169,13,4.09,"0.00025"
"36","GO:0009108","coenzyme biosynthetic process",239,16,5.78,"0.00025"
"37","GO:0009260","ribonucleotide biosynthetic process",264,17,6.39,"0.00025"
"38","GO:0046390","ribose phosphate biosynthetic process",264,17,6.39,"0.00025"
"39","GO:1901362","organic cyclic compound biosynthetic pro...",2466,86,59.68,"0.00026"
"40","GO:1901137","carbohydrate derivative biosynthetic pro...",454,24,10.99,"0.00031"
