"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0042743","hydrogen peroxide metabolic process",180,65,24.62,"2.4e-14"
"2","GO:0042744","hydrogen peroxide catabolic process",180,65,24.62,"2.4e-14"
"3","GO:0017001","antibiotic catabolic process",183,65,25.03,"6.0e-14"
"4","GO:0051187","cofactor catabolic process",195,66,26.67,"5.2e-13"
"5","GO:0072593","reactive oxygen species metabolic proces...",211,69,28.85,"1.0e-12"
"6","GO:0042737","drug catabolic process",231,73,31.59,"1.5e-12"
"7","GO:0016999","antibiotic metabolic process",235,72,32.14,"1.1e-11"
"8","GO:0006979","response to oxidative stress",299,84,40.89,"3.5e-11"
"9","GO:0017144","drug metabolic process",646,142,88.34,"3.2e-09"
"10","GO:0006950","response to stress",705,149,96.41,"2.0e-08"
"11","GO:0055114","oxidation-reduction process",2738,467,374.43,"3.1e-08"
"12","GO:1901607","alpha-amino acid biosynthetic process",203,57,27.76,"4.9e-08"
"13","GO:0019344","cysteine biosynthetic process",22,13,3.01,"8.4e-07"
"14","GO:0044281","small molecule metabolic process",1596,282,218.26,"1.5e-06"
"15","GO:0006771","riboflavin metabolic process",23,13,3.15,"1.7e-06"
"16","GO:0009231","riboflavin biosynthetic process",23,13,3.15,"1.7e-06"
"17","GO:0042726","flavin-containing compound metabolic pro...",23,13,3.15,"1.7e-06"
"18","GO:0042727","flavin-containing compound biosynthetic ...",23,13,3.15,"1.7e-06"
"19","GO:0051186","cofactor metabolic process",588,121,80.41,"1.8e-06"
"20","GO:0008652","cellular amino acid biosynthetic process",244,60,33.37,"3.1e-06"
"21","GO:0006535","cysteine biosynthetic process from serin...",21,12,2.87,"3.7e-06"
"22","GO:0005975","carbohydrate metabolic process",1299,231,177.64,"9.1e-06"
"23","GO:0006520","cellular amino acid metabolic process",548,111,74.94,"1.0e-05"
"24","GO:0009056","catabolic process",869,162,118.84,"1.7e-05"
"25","GO:1901605","alpha-amino acid metabolic process",289,65,39.52,"2.8e-05"
"26","GO:0071554","cell wall organization or biogenesis",347,75,47.45,"3.0e-05"
"27","GO:0044248","cellular catabolic process",780,146,106.67,"3.6e-05"
"28","GO:0009070","serine family amino acid biosynthetic pr...",49,18,6.7,"4.4e-05"
"29","GO:0050896","response to stimulus",1373,236,187.76,"7.5e-05"
"30","GO:0030258","lipid modification",70,22,9.57,"0.00010"
"31","GO:0006563","L-serine metabolic process",48,17,6.56,"0.00012"
"32","GO:0009110","vitamin biosynthetic process",57,19,7.79,"0.00013"
"33","GO:0042364","water-soluble vitamin biosynthetic proce...",54,18,7.38,"0.00019"
"34","GO:0009084","glutamine family amino acid biosynthetic...",41,15,5.61,"0.00020"
"35","GO:0006766","vitamin metabolic process",59,19,8.07,"0.00021"
"36","GO:0051258","protein polymerization",18,9,2.46,"0.00025"
"37","GO:0006767","water-soluble vitamin metabolic process",56,18,7.66,"0.00031"
"38","GO:0044283","small molecule biosynthetic process",664,122,90.8,"0.00033"
"39","GO:0019752","carboxylic acid metabolic process",981,170,134.15,"0.00052"
"40","GO:0015780","nucleotide-sugar transmembrane transport",16,8,2.19,"0.00056"
