"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0009698","phenylpropanoid metabolic process",52,11,0.56,"7.6e-12"
"2","GO:0009808","lignin metabolic process",52,11,0.56,"7.6e-12"
"3","GO:0046271","phenylpropanoid catabolic process",52,11,0.56,"7.6e-12"
"4","GO:0046274","lignin catabolic process",52,11,0.56,"7.6e-12"
"5","GO:0019748","secondary metabolic process",55,11,0.6,"1.5e-11"
"6","GO:0071554","cell wall organization or biogenesis",347,16,3.76,"1.3e-06"
"7","GO:0045229","external encapsulating structure organiz...",234,12,2.54,"9.8e-06"
"8","GO:0071555","cell wall organization",234,12,2.54,"9.8e-06"
"9","GO:0000271","polysaccharide biosynthetic process",104,8,1.13,"1.8e-05"
"10","GO:0033692","cellular polysaccharide biosynthetic pro...",104,8,1.13,"1.8e-05"
"11","GO:0005975","carbohydrate metabolic process",1299,31,14.09,"2.7e-05"
"12","GO:0009664","plant-type cell wall organization",91,7,0.99,"6.0e-05"
"13","GO:0044038","cell wall macromolecule biosynthetic pro...",8,3,0.09,"6.8e-05"
"14","GO:0045491","xylan metabolic process",8,3,0.09,"6.8e-05"
"15","GO:0045492","xylan biosynthetic process",8,3,0.09,"6.8e-05"
"16","GO:0070589","cellular component macromolecule biosynt...",8,3,0.09,"6.8e-05"
"17","GO:0070592","cell wall polysaccharide biosynthetic pr...",8,3,0.09,"6.8e-05"
"18","GO:0071669","plant-type cell wall organization or bio...",105,7,1.14,"0.00015"
"19","GO:0019439","aromatic compound catabolic process",268,11,2.91,"0.00017"
"20","GO:1901361","organic cyclic compound catabolic proces...",270,11,2.93,"0.00018"
"21","GO:0034637","cellular carbohydrate biosynthetic proce...",160,8,1.74,"0.00036"
"22","GO:0044264","cellular polysaccharide metabolic proces...",174,8,1.89,"0.00064"
"23","GO:0030243","cellulose metabolic process",64,5,0.69,"0.00065"
"24","GO:0030244","cellulose biosynthetic process",64,5,0.69,"0.00065"
"25","GO:0016051","carbohydrate biosynthetic process",183,8,1.98,"0.00088"
"26","GO:0042546","cell wall biogenesis",103,6,1.12,"0.00090"
"27","GO:0044262","cellular carbohydrate metabolic process",281,10,3.05,"0.00102"
"28","GO:0005976","polysaccharide metabolic process",200,8,2.17,"0.00156"
"29","GO:0051273","beta-glucan metabolic process",82,5,0.89,"0.00198"
"30","GO:0051274","beta-glucan biosynthetic process",82,5,0.89,"0.00198"
"31","GO:0009250","glucan biosynthetic process",96,5,1.04,"0.00393"
"32","GO:0009832","plant-type cell wall biogenesis",30,3,0.33,"0.00411"
"33","GO:0010215","cellulose microfibril organization",30,3,0.33,"0.00411"
"34","GO:0030198","extracellular matrix organization",30,3,0.33,"0.00411"
"35","GO:0043062","extracellular structure organization",30,3,0.33,"0.00411"
"36","GO:0070726","cell wall assembly",30,3,0.33,"0.00411"
"37","GO:0071668","plant-type cell wall assembly",30,3,0.33,"0.00411"
"38","GO:0044248","cellular catabolic process",780,17,8.46,"0.00501"
"39","GO:0006979","response to oxidative stress",299,9,3.24,"0.00547"
"40","GO:0015858","nucleoside transport",12,2,0.13,"0.00719"
