"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006412","translation",997,340,50.27,"< 1e-30"
"2","GO:0043043","peptide biosynthetic process",1004,340,50.62,"< 1e-30"
"3","GO:0006518","peptide metabolic process",1028,342,51.83,"< 1e-30"
"4","GO:0043604","amide biosynthetic process",1047,341,52.79,"< 1e-30"
"5","GO:0043603","cellular amide metabolic process",1111,343,56.01,"< 1e-30"
"6","GO:1901566","organonitrogen compound biosynthetic pro...",1926,394,97.1,"< 1e-30"
"7","GO:0010467","gene expression",3456,441,174.24,"< 1e-30"
"8","GO:0009059","macromolecule biosynthetic process",3189,417,160.78,"< 1e-30"
"9","GO:0034645","cellular macromolecule biosynthetic proc...",3189,417,160.78,"< 1e-30"
"10","GO:0044271","cellular nitrogen compound biosynthetic ...",3403,432,171.57,"< 1e-30"
"11","GO:0034641","cellular nitrogen compound metabolic pro...",4809,513,242.46,"< 1e-30"
"12","GO:0044249","cellular biosynthetic process",4379,483,220.78,"< 1e-30"
"13","GO:1901576","organic substance biosynthetic process",4464,484,225.06,"< 1e-30"
"14","GO:0009058","biosynthetic process",4652,487,234.54,"< 1e-30"
"15","GO:0044267","cellular protein metabolic process",3942,425,198.74,"< 1e-30"
"16","GO:0019538","protein metabolic process",4784,444,241.19,"< 1e-30"
"17","GO:1901564","organonitrogen compound metabolic proces...",5964,505,300.69,"< 1e-30"
"18","GO:0009987","cellular process",11364,757,572.94,"< 1e-30"
"19","GO:0044237","cellular metabolic process",9563,673,482.14,"< 1e-30"
"20","GO:0044260","cellular macromolecule metabolic process",6499,510,327.66,"< 1e-30"
"21","GO:0006807","nitrogen compound metabolic process",8977,629,452.59,"< 1e-30"
"22","GO:0043170","macromolecule metabolic process",7921,568,399.35,"2.2e-30"
"23","GO:0044238","primary metabolic process",10615,665,535.18,"8.7e-20"
"24","GO:0071704","organic substance metabolic process",11072,672,558.22,"6.6e-16"
"25","GO:0044257","cellular protein catabolic process",225,39,11.34,"1.1e-11"
"26","GO:0051603","proteolysis involved in cellular protein...",225,39,11.34,"1.1e-11"
"27","GO:0044265","cellular macromolecule catabolic process",280,44,14.12,"1.7e-11"
"28","GO:0030163","protein catabolic process",260,41,13.11,"7.5e-11"
"29","GO:0022613","ribonucleoprotein complex biogenesis",171,31,8.62,"4.7e-10"
"30","GO:1901565","organonitrogen compound catabolic proces...",358,47,18.05,"1.8e-09"
"31","GO:0009057","macromolecule catabolic process",367,47,18.5,"4.0e-09"
"32","GO:0043933","protein-containing complex subunit organ...",274,39,13.81,"4.5e-09"
"33","GO:0007005","mitochondrion organization",19,10,0.96,"6.2e-09"
"34","GO:0022411","cellular component disassembly",59,16,2.97,"2.2e-08"
"35","GO:0032984","protein-containing complex disassembly",59,16,2.97,"2.2e-08"
"36","GO:0044085","cellular component biogenesis",501,53,25.26,"2.8e-07"
"37","GO:0008380","RNA splicing",106,20,5.34,"2.9e-07"
"38","GO:0042254","ribosome biogenesis",140,23,7.06,"5.2e-07"
"39","GO:0006511","ubiquitin-dependent protein catabolic pr...",195,28,9.83,"5.6e-07"
"40","GO:0019941","modification-dependent protein catabolic...",195,28,9.83,"5.6e-07"
