"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0032774","RNA biosynthetic process",3368,28,10.43,"1.1e-06"
"2","GO:0006351","transcription, DNA-templated",3199,27,9.9,"1.3e-06"
"3","GO:0097659","nucleic acid-templated transcription",3270,27,10.12,"2.0e-06"
"4","GO:0071365","cellular response to auxin stimulus",279,8,0.86,"2.7e-06"
"5","GO:0099402","plant organ development",409,9,1.27,"5.5e-06"
"6","GO:0048827","phyllome development",226,7,0.7,"7.1e-06"
"7","GO:0006355","regulation of transcription, DNA-templat...",2885,24,8.93,"7.3e-06"
"8","GO:1903506","regulation of nucleic acid-templated tra...",2930,24,9.07,"9.5e-06"
"9","GO:2001141","regulation of RNA biosynthetic process",2930,24,9.07,"9.5e-06"
"10","GO:0034654","nucleobase-containing compound biosynthe...",4220,30,13.07,"9.8e-06"
"11","GO:0051252","regulation of RNA metabolic process",2961,24,9.17,"1.1e-05"
"12","GO:0048366","leaf development",164,6,0.51,"1.3e-05"
"13","GO:2000112","regulation of cellular macromolecule bio...",3018,24,9.34,"1.5e-05"
"14","GO:0019219","regulation of nucleobase-containing comp...",3043,24,9.42,"1.8e-05"
"15","GO:0009734","auxin-activated signaling pathway",261,7,0.81,"1.8e-05"
"16","GO:0010556","regulation of macromolecule biosynthetic...",3063,24,9.48,"2.0e-05"
"17","GO:0032870","cellular response to hormone stimulus",612,10,1.89,"2.2e-05"
"18","GO:0071495","cellular response to endogenous stimulus",623,10,1.93,"2.5e-05"
"19","GO:0031326","regulation of cellular biosynthetic proc...",3117,24,9.65,"2.6e-05"
"20","GO:0009889","regulation of biosynthetic process",3134,24,9.7,"2.9e-05"
"21","GO:0019438","aromatic compound biosynthetic process",4509,30,13.96,"3.5e-05"
"22","GO:0018130","heterocycle biosynthetic process",4527,30,14.02,"3.8e-05"
"23","GO:0009965","leaf morphogenesis",61,4,0.19,"4.0e-05"
"24","GO:0071310","cellular response to organic substance",666,10,2.06,"4.5e-05"
"25","GO:0010338","leaf formation",4,2,0.01,"5.7e-05"
"26","GO:0010468","regulation of gene expression",3306,24,10.24,"6.7e-05"
"27","GO:1901362","organic cyclic compound biosynthetic pro...",4672,30,14.46,"6.8e-05"
"28","GO:0070887","cellular response to chemical stimulus",1181,13,3.66,"7.8e-05"
"29","GO:0009755","hormone-mediated signaling pathway",583,9,1.8,"8.8e-05"
"30","GO:0010865","stipule development",5,2,0.02,"9.4e-05"
"31","GO:0016070","RNA metabolic process",5068,31,15.69,"0.00012"
"32","GO:0010016","shoot system morphogenesis",82,4,0.25,"0.00013"
"33","GO:0031323","regulation of cellular metabolic process",3670,25,11.36,"0.00013"
"34","GO:0009733","response to auxin",490,8,1.52,"0.00015"
"35","GO:0042221","response to chemical",2060,17,6.38,"0.00021"
"36","GO:0051171","regulation of nitrogen compound metaboli...",3572,24,11.06,"0.00022"
"37","GO:0080090","regulation of primary metabolic process",3633,24,11.25,"0.00028"
"38","GO:0048367","shoot system development",411,7,1.27,"0.00030"
"39","GO:0010033","response to organic substance",1234,12,3.82,"0.00046"
"40","GO:0019222","regulation of metabolic process",4004,25,12.4,"0.00049"
