"","total","S subgenome","T subgenome","ambiguous"
"1",197,98,84,15
"2",4313,1859,1815,639
"3",3768,1700,1726,342
"4",3589,1583,1664,342
"5",3480,1565,1591,324
"6",2973,1371,1305,297
"7",2346,1046,1083,217
"8",1915,848,887,180
"9",1837,818,827,192
"10",1720,741,810,169
"11",1372,612,626,134
"12",1269,523,535,211
"13",1269,560,573,136
"14",1096,483,500,113
"15",879,402,406,71
"16",766,342,371,53
"17",604,273,279,52
"18",596,270,278,48
"19",588,259,284,45
"20",391,174,179,38
"21",340,164,145,31
"22",320,142,139,39
"23",313,131,157,25
"24",291,137,135,19
"25",286,133,127,26
"26",274,128,122,24
"27",269,117,128,24
"28",258,117,115,26
"29",250,107,105,38
"30",234,93,115,26
"31",217,109,96,12
"32",201,80,83,38
"33",191,85,88,18
"34",178,92,71,15
"35",177,93,66,18
"36",173,78,83,12
"37",166,81,70,15
"38",162,69,83,10
"39",160,79,69,12
"40",154,68,72,14
"41",153,69,74,10
"42",142,55,77,10
"43",135,69,59,7
"44",133,61,57,15
"45",122,52,63,7
"46",93,40,48,5
"47",82,40,32,10
"48",81,35,41,5
"49",65,25,30,10
"50",55,22,30,3
"51",43,22,15,6
