"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0010467","gene expression",6173,904,572.21,"< 1e-30"
"2","GO:0016070","RNA metabolic process",5068,760,469.78,"< 1e-30"
"3","GO:0006396","RNA processing",1149,247,106.51,"< 1e-30"
"4","GO:0010468","regulation of gene expression",3306,464,306.45,"7.0e-21"
"5","GO:0016071","mRNA metabolic process",542,121,50.24,"4.7e-20"
"6","GO:0019222","regulation of metabolic process",4004,532,371.15,"7.0e-19"
"7","GO:0060255","regulation of macromolecule metabolic pr...",3847,507,356.6,"2.7e-17"
"8","GO:0050789","regulation of biological process",6129,748,568.13,"3.7e-17"
"9","GO:0006397","mRNA processing",437,99,40.51,"4.1e-17"
"10","GO:0006351","transcription, DNA-templated",3199,430,296.53,"4.4e-16"
"11","GO:2000112","regulation of cellular macromolecule bio...",3018,407,279.76,"1.8e-15"
"12","GO:0044271","cellular nitrogen compound biosynthetic ...",6040,728,559.88,"2.0e-15"
"13","GO:0032774","RNA biosynthetic process",3368,445,312.2,"2.3e-15"
"14","GO:0097659","nucleic acid-templated transcription",3270,432,303.11,"6.3e-15"
"15","GO:0051252","regulation of RNA metabolic process",2961,398,274.47,"6.5e-15"
"16","GO:0031326","regulation of cellular biosynthetic proc...",3117,415,288.93,"7.1e-15"
"17","GO:0006355","regulation of transcription, DNA-templat...",2885,389,267.43,"8.6e-15"
"18","GO:0009889","regulation of biosynthetic process",3134,416,290.51,"1.0e-14"
"19","GO:0019219","regulation of nucleobase-containing comp...",3043,406,282.07,"1.1e-14"
"20","GO:0010556","regulation of macromolecule biosynthetic...",3063,408,283.93,"1.2e-14"
"21","GO:0051171","regulation of nitrogen compound metaboli...",3572,463,331.11,"1.4e-14"
"22","GO:0031323","regulation of cellular metabolic process",3670,473,340.19,"1.8e-14"
"23","GO:1903506","regulation of nucleic acid-templated tra...",2930,390,271.6,"5.4e-14"
"24","GO:2001141","regulation of RNA biosynthetic process",2930,390,271.6,"5.4e-14"
"25","GO:0080090","regulation of primary metabolic process",3633,465,336.76,"9.6e-14"
"26","GO:0000375","RNA splicing, via transesterification re...",240,61,22.25,"2.2e-13"
"27","GO:0000377","RNA splicing, via transesterification re...",240,61,22.25,"2.2e-13"
"28","GO:0044249","cellular biosynthetic process",7955,904,737.39,"8.2e-13"
"29","GO:0008380","RNA splicing",325,73,30.13,"8.3e-13"
"30","GO:0050794","regulation of cellular process",5500,655,509.83,"9.0e-13"
"31","GO:0018130","heterocycle biosynthetic process",4527,553,419.63,"1.3e-12"
"32","GO:0022613","ribonucleoprotein complex biogenesis",518,100,48.02,"1.3e-12"
"33","GO:0065007","biological regulation",7018,808,650.54,"1.5e-12"
"34","GO:0000398","mRNA splicing, via spliceosome",218,55,20.21,"4.4e-12"
"35","GO:1901576","organic substance biosynthetic process",8134,916,753.99,"4.6e-12"
"36","GO:0034645","cellular macromolecule biosynthetic proc...",5739,674,531.98,"5.6e-12"
"37","GO:0006325","chromatin organization",487,94,45.14,"6.2e-12"
"38","GO:0034654","nucleobase-containing compound biosynthe...",4220,516,391.18,"7.5e-12"
"39","GO:1901362","organic cyclic compound biosynthetic pro...",4672,563,433.07,"8.0e-12"
"40","GO:0019438","aromatic compound biosynthetic process",4509,546,417.96,"8.1e-12"
