"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0071554","cell wall organization or biogenesis",965,45,9.17,"1.7e-18"
"2","GO:0046271","phenylpropanoid catabolic process",69,14,0.66,"3.6e-15"
"3","GO:0046274","lignin catabolic process",69,14,0.66,"3.6e-15"
"4","GO:0009808","lignin metabolic process",86,14,0.82,"9.3e-14"
"5","GO:0005976","polysaccharide metabolic process",761,34,7.23,"1.1e-13"
"6","GO:0071555","cell wall organization",778,32,7.39,"5.4e-12"
"7","GO:0045229","external encapsulating structure organiz...",786,32,7.47,"7.1e-12"
"8","GO:0005975","carbohydrate metabolic process",2036,54,19.34,"9.5e-12"
"9","GO:0009698","phenylpropanoid metabolic process",129,14,1.23,"2.8e-11"
"10","GO:0045492","xylan biosynthetic process",26,8,0.25,"8.3e-11"
"11","GO:0000271","polysaccharide biosynthetic process",295,19,2.8,"8.4e-11"
"12","GO:0045491","xylan metabolic process",77,11,0.73,"1.9e-10"
"13","GO:0045488","pectin metabolic process",299,18,2.84,"7.8e-10"
"14","GO:0019748","secondary metabolic process",167,14,1.59,"8.8e-10"
"15","GO:0010393","galacturonan metabolic process",305,18,2.9,"1.1e-09"
"16","GO:0071669","plant-type cell wall organization or bio...",273,17,2.59,"1.4e-09"
"17","GO:0033692","cellular polysaccharide biosynthetic pro...",244,15,2.32,"1.5e-08"
"18","GO:0009664","plant-type cell wall organization",214,14,2.03,"2.1e-08"
"19","GO:0042546","cell wall biogenesis",217,14,2.06,"2.6e-08"
"20","GO:0070592","cell wall polysaccharide biosynthetic pr...",52,8,0.49,"3.2e-08"
"21","GO:0016051","carbohydrate biosynthetic process",426,19,4.05,"3.5e-08"
"22","GO:0044038","cell wall macromolecule biosynthetic pro...",53,8,0.5,"3.7e-08"
"23","GO:0070589","cellular component macromolecule biosynt...",53,8,0.5,"3.7e-08"
"24","GO:0044264","cellular polysaccharide metabolic proces...",418,18,3.97,"1.4e-07"
"25","GO:0010410","hemicellulose metabolic process",153,11,1.45,"2.7e-07"
"26","GO:0030243","cellulose metabolic process",190,12,1.8,"3.2e-07"
"27","GO:0034637","cellular carbohydrate biosynthetic proce...",315,15,2.99,"4.3e-07"
"28","GO:0044036","cell wall macromolecule metabolic proces...",233,13,2.21,"4.3e-07"
"29","GO:0007142","male meiosis II",8,4,0.08,"5.4e-07"
"30","GO:0045489","pectin biosynthetic process",102,9,0.97,"6.0e-07"
"31","GO:0042737","drug catabolic process",486,18,4.62,"1.2e-06"
"32","GO:0051273","beta-glucan metabolic process",216,12,2.05,"1.3e-06"
"33","GO:0010383","cell wall polysaccharide metabolic proce...",179,11,1.7,"1.3e-06"
"34","GO:0030244","cellulose biosynthetic process",144,10,1.37,"1.3e-06"
"35","GO:0010051","xylem and phloem pattern formation",22,5,0.21,"1.7e-06"
"36","GO:0000272","polysaccharide catabolic process",356,15,3.38,"2.0e-06"
"37","GO:0044248","cellular catabolic process",1680,37,15.96,"2.2e-06"
"38","GO:0009765","photosynthesis, light harvesting",97,8,0.92,"4.2e-06"
"39","GO:0044262","cellular carbohydrate metabolic process",648,20,6.15,"5.0e-06"
"40","GO:0051274","beta-glucan biosynthetic process",170,10,1.61,"5.8e-06"
