"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0042744","hydrogen peroxide catabolic process",232,7,1.18,"0.00020"
"2","GO:0017001","antibiotic catabolic process",239,7,1.22,"0.00024"
"3","GO:0042743","hydrogen peroxide metabolic process",239,7,1.22,"0.00024"
"4","GO:0051187","cofactor catabolic process",268,7,1.36,"0.00047"
"5","GO:0016999","antibiotic metabolic process",375,8,1.91,"0.00072"
"6","GO:0072593","reactive oxygen species metabolic proces...",291,7,1.48,"0.00077"
"7","GO:0042737","drug catabolic process",486,9,2.47,"0.00092"
"8","GO:0098869","cellular oxidant detoxification",404,8,2.06,"0.00116"
"9","GO:0097237","cellular response to toxic substance",409,8,2.08,"0.00125"
"10","GO:1990748","cellular detoxification",409,8,2.08,"0.00125"
"11","GO:0098754","detoxification",412,8,2.1,"0.00131"
"12","GO:0019509","L-methionine salvage from methylthioaden...",13,2,0.07,"0.00194"
"13","GO:0043102","amino acid salvage",13,2,0.07,"0.00194"
"14","GO:0071267","L-methionine salvage",13,2,0.07,"0.00194"
"15","GO:0051186","cofactor metabolic process",885,12,4.5,"0.00205"
"16","GO:0045944","positive regulation of transcription by ...",189,5,0.96,"0.00291"
"17","GO:0070536","protein K63-linked deubiquitination",16,2,0.08,"0.00295"
"18","GO:0009056","catabolic process",2010,20,10.23,"0.00333"
"19","GO:0071265","L-methionine biosynthetic process",17,2,0.09,"0.00333"
"20","GO:0006855","drug transmembrane transport",18,2,0.09,"0.00374"
"21","GO:0009636","response to toxic substance",489,8,2.49,"0.00376"
"22","GO:0062014","negative regulation of small molecule me...",19,2,0.1,"0.00416"
"23","GO:0015976","carbon utilization",21,2,0.11,"0.00508"
"24","GO:0055085","transmembrane transport",2476,22,12.6,"0.00787"
"25","GO:1902680","positive regulation of RNA biosynthetic ...",340,6,1.73,"0.00816"
"26","GO:1903508","positive regulation of nucleic acid-temp...",340,6,1.73,"0.00816"
"27","GO:0051254","positive regulation of RNA metabolic pro...",341,6,1.74,"0.00828"
"28","GO:0009959","negative gravitropism",27,2,0.14,"0.00832"
"29","GO:0006014","D-ribose metabolic process",2,1,0.01,"0.01015"
"30","GO:0007039","protein catabolic process in the vacuole",2,1,0.01,"0.01015"
"31","GO:0019303","D-ribose catabolic process",2,1,0.01,"0.01015"
"32","GO:0019323","pentose catabolic process",2,1,0.01,"0.01015"
"33","GO:0033539","fatty acid beta-oxidation using acyl-CoA...",2,1,0.01,"0.01015"
"34","GO:1905516","positive regulation of fertilization",2,1,0.01,"0.01015"
"35","GO:0034605","cellular response to heat",30,2,0.15,"0.01021"
"36","GO:0006357","regulation of transcription by RNA polym...",362,6,1.84,"0.01089"
"37","GO:0010557","positive regulation of macromolecule bio...",362,6,1.84,"0.01089"
"38","GO:0045935","positive regulation of nucleobase-contai...",363,6,1.85,"0.01103"
"39","GO:0006979","response to oxidative stress",488,7,2.48,"0.01290"
"40","GO:0031328","positive regulation of cellular biosynth...",378,6,1.92,"0.01324"
