"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0046907","intracellular transport",923,20,5.01,"1.9e-07"
"2","GO:0051649","establishment of localization in cell",984,20,5.34,"5.1e-07"
"3","GO:0098869","cellular oxidant detoxification",404,12,2.19,"2.5e-06"
"4","GO:0097237","cellular response to toxic substance",409,12,2.22,"2.8e-06"
"5","GO:1990748","cellular detoxification",409,12,2.22,"2.8e-06"
"6","GO:0051641","cellular localization",1103,20,5.99,"2.9e-06"
"7","GO:0098754","detoxification",412,12,2.24,"3.1e-06"
"8","GO:0033036","macromolecule localization",1430,23,7.77,"3.7e-06"
"9","GO:0008104","protein localization",1172,20,6.37,"7.1e-06"
"10","GO:0015031","protein transport",1076,19,5.84,"7.5e-06"
"11","GO:0045184","establishment of protein localization",1109,19,6.02,"1.1e-05"
"12","GO:0015833","peptide transport",1134,19,6.16,"1.6e-05"
"13","GO:0051130","positive regulation of cellular componen...",97,6,0.53,"1.6e-05"
"14","GO:0009636","response to toxic substance",489,12,2.66,"1.7e-05"
"15","GO:0042886","amide transport",1145,19,6.22,"1.8e-05"
"16","GO:0006449","regulation of translational termination",10,3,0.05,"1.8e-05"
"17","GO:0006452","translational frameshifting",10,3,0.05,"1.8e-05"
"18","GO:0045901","positive regulation of translational elo...",10,3,0.05,"1.8e-05"
"19","GO:0045905","positive regulation of translational ter...",10,3,0.05,"1.8e-05"
"20","GO:0001525","angiogenesis",2,2,0.01,"2.9e-05"
"21","GO:0001568","blood vessel development",2,2,0.01,"2.9e-05"
"22","GO:0001944","vasculature development",2,2,0.01,"2.9e-05"
"23","GO:0035239","tube morphogenesis",2,2,0.01,"2.9e-05"
"24","GO:0035295","tube development",2,2,0.01,"2.9e-05"
"25","GO:0048514","blood vessel morphogenesis",2,2,0.01,"2.9e-05"
"26","GO:0072358","cardiovascular system development",2,2,0.01,"2.9e-05"
"27","GO:0072359","circulatory system development",2,2,0.01,"2.9e-05"
"28","GO:0016197","endosomal transport",67,5,0.36,"3.3e-05"
"29","GO:0043243","positive regulation of protein complex d...",15,3,0.08,"6.8e-05"
"30","GO:0006979","response to oxidative stress",488,11,2.65,"8.2e-05"
"31","GO:0034613","cellular protein localization",815,14,4.43,"0.00016"
"32","GO:0070727","cellular macromolecule localization",815,14,4.43,"0.00016"
"33","GO:0009443","pyridoxal 5'-phosphate salvage",4,2,0.02,"0.00017"
"34","GO:0019408","dolichol biosynthetic process",4,2,0.02,"0.00017"
"35","GO:0006886","intracellular protein transport",722,13,3.92,"0.00018"
"36","GO:0071705","nitrogen compound transport",1367,19,7.42,"0.00018"
"37","GO:0006448","regulation of translational elongation",21,3,0.11,"0.00020"
"38","GO:0071702","organic substance transport",1849,23,10.04,"0.00020"
"39","GO:0010628","positive regulation of gene expression",368,9,2,"0.00020"
"40","GO:0034250","positive regulation of cellular amide me...",22,3,0.12,"0.00023"
