"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0016070","RNA metabolic process",5068,287,136.69,"< 1e-30"
"2","GO:0010467","gene expression",6173,318,166.5,"< 1e-30"
"3","GO:0006396","RNA processing",1149,113,30.99,"< 1e-30"
"4","GO:0016071","mRNA metabolic process",542,76,14.62,"< 1e-30"
"5","GO:0006397","mRNA processing",437,63,11.79,"1.7e-27"
"6","GO:0010629","negative regulation of gene expression",435,59,11.73,"1.9e-24"
"7","GO:0008380","RNA splicing",325,51,8.77,"3.3e-24"
"8","GO:0010605","negative regulation of macromolecule met...",612,65,16.51,"6.3e-21"
"9","GO:0006325","chromatin organization",487,57,13.14,"1.7e-20"
"10","GO:0009892","negative regulation of metabolic process",658,65,17.75,"2.8e-19"
"11","GO:0006996","organelle organization",2183,132,58.88,"2.9e-18"
"12","GO:0000375","RNA splicing, via transesterification re...",240,37,6.47,"1.1e-17"
"13","GO:0000377","RNA splicing, via transesterification re...",240,37,6.47,"1.1e-17"
"14","GO:0000398","mRNA splicing, via spliceosome",218,34,5.88,"1.7e-16"
"15","GO:0051253","negative regulation of RNA metabolic pro...",169,29,4.56,"2.1e-15"
"16","GO:0010558","negative regulation of macromolecule bio...",196,31,5.29,"2.4e-15"
"17","GO:1902679","negative regulation of RNA biosynthetic ...",165,28,4.45,"8.5e-15"
"18","GO:1903507","negative regulation of nucleic acid-temp...",165,28,4.45,"8.5e-15"
"19","GO:0051276","chromosome organization",931,70,25.11,"1.8e-14"
"20","GO:0045934","negative regulation of nucleobase-contai...",186,29,5.02,"2.8e-14"
"21","GO:0031327","negative regulation of cellular biosynth...",215,31,5.8,"3.3e-14"
"22","GO:0006401","RNA catabolic process",136,25,3.67,"3.5e-14"
"23","GO:0016458","gene silencing",218,31,5.88,"4.8e-14"
"24","GO:0009890","negative regulation of biosynthetic proc...",220,31,5.93,"6.2e-14"
"25","GO:0048519","negative regulation of biological proces...",873,65,23.55,"2.5e-13"
"26","GO:2000113","negative regulation of cellular macromol...",176,27,4.75,"3.2e-13"
"27","GO:0010468","regulation of gene expression",3306,158,89.17,"1.0e-12"
"28","GO:0045892","negative regulation of transcription, DN...",145,24,3.91,"1.2e-12"
"29","GO:0040029","regulation of gene expression, epigeneti...",156,24,4.21,"6.2e-12"
"30","GO:0016569","covalent chromatin modification",294,33,7.93,"6.2e-12"
"31","GO:0043170","macromolecule metabolic process",18767,613,506.18,"7.9e-12"
"32","GO:0000956","nuclear-transcribed mRNA catabolic proce...",98,19,2.64,"1.5e-11"
"33","GO:0043414","macromolecule methylation",381,37,10.28,"2.5e-11"
"34","GO:0006913","nucleocytoplasmic transport",248,29,6.69,"4.4e-11"
"35","GO:0051169","nuclear transport",248,29,6.69,"4.4e-11"
"36","GO:0060255","regulation of macromolecule metabolic pr...",3847,170,103.76,"7.1e-11"
"37","GO:0090304","nucleic acid metabolic process",9322,342,251.43,"7.2e-11"
"38","GO:0016570","histone modification",288,31,7.77,"7.9e-11"
"39","GO:0007275","multicellular organism development",1176,72,31.72,"1.3e-10"
"40","GO:0006402","mRNA catabolic process",111,19,2.99,"1.5e-10"
