"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006449","regulation of translational termination",9,3,0.06,"1.9e-05"
"2","GO:0006452","translational frameshifting",9,3,0.06,"1.9e-05"
"3","GO:0032270","positive regulation of cellular protein ...",9,3,0.06,"1.9e-05"
"4","GO:0034250","positive regulation of cellular amide me...",9,3,0.06,"1.9e-05"
"5","GO:0043243","positive regulation of protein complex d...",9,3,0.06,"1.9e-05"
"6","GO:0045727","positive regulation of translation",9,3,0.06,"1.9e-05"
"7","GO:0045901","positive regulation of translational elo...",9,3,0.06,"1.9e-05"
"8","GO:0045905","positive regulation of translational ter...",9,3,0.06,"1.9e-05"
"9","GO:0051247","positive regulation of protein metabolic...",9,3,0.06,"1.9e-05"
"10","GO:0043244","regulation of protein complex disassembl...",13,3,0.08,"6.2e-05"
"11","GO:0009893","positive regulation of metabolic process",113,6,0.7,"7.1e-05"
"12","GO:0031325","positive regulation of cellular metaboli...",113,6,0.7,"7.1e-05"
"13","GO:0006448","regulation of translational elongation",15,3,0.09,"9.8e-05"
"14","GO:0048522","positive regulation of cellular process",123,6,0.76,"0.00011"
"15","GO:0048518","positive regulation of biological proces...",124,6,0.76,"0.00012"
"16","GO:0006417","regulation of translation",17,3,0.1,"0.00015"
"17","GO:0010608","posttranscriptional regulation of gene e...",17,3,0.1,"0.00015"
"18","GO:0034248","regulation of cellular amide metabolic p...",17,3,0.1,"0.00015"
"19","GO:0051130","positive regulation of cellular componen...",19,3,0.12,"0.00021"
"20","GO:0015850","organic hydroxy compound transport",5,2,0.03,"0.00037"
"21","GO:0015918","sterol transport",5,2,0.03,"0.00037"
"22","GO:0032365","intracellular lipid transport",5,2,0.03,"0.00037"
"23","GO:0032366","intracellular sterol transport",5,2,0.03,"0.00037"
"24","GO:0048584","positive regulation of response to stimu...",5,2,0.03,"0.00037"
"25","GO:0051341","regulation of oxidoreductase activity",5,2,0.03,"0.00037"
"26","GO:0051353","positive regulation of oxidoreductase ac...",5,2,0.03,"0.00037"
"27","GO:0090322","regulation of superoxide metabolic proce...",5,2,0.03,"0.00037"
"28","GO:1900407","regulation of cellular response to oxida...",5,2,0.03,"0.00037"
"29","GO:1900409","positive regulation of cellular response...",5,2,0.03,"0.00037"
"30","GO:1901031","regulation of response to reactive oxyge...",5,2,0.03,"0.00037"
"31","GO:1901033","positive regulation of response to react...",5,2,0.03,"0.00037"
"32","GO:1901668","regulation of superoxide dismutase activ...",5,2,0.03,"0.00037"
"33","GO:1901671","positive regulation of superoxide dismut...",5,2,0.03,"0.00037"
"34","GO:1902882","regulation of response to oxidative stre...",5,2,0.03,"0.00037"
"35","GO:1902884","positive regulation of response to oxida...",5,2,0.03,"0.00037"
"36","GO:1904833","positive regulation of removal of supero...",5,2,0.03,"0.00037"
"37","GO:2000121","regulation of removal of superoxide radi...",5,2,0.03,"0.00037"
"38","GO:2000377","regulation of reactive oxygen species me...",5,2,0.03,"0.00037"
"39","GO:2000379","positive regulation of reactive oxygen s...",5,2,0.03,"0.00037"
"40","GO:0006801","superoxide metabolic process",29,3,0.18,"0.00074"
