"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0010467","gene expression",3456,247,155.03,"1.6e-15"
"2","GO:0043043","peptide biosynthetic process",1004,99,45.04,"7.9e-14"
"3","GO:0006412","translation",997,98,44.72,"1.3e-13"
"4","GO:0043604","amide biosynthetic process",1047,101,46.97,"1.7e-13"
"5","GO:0044249","cellular biosynthetic process",4379,287,196.43,"2.3e-13"
"6","GO:0044271","cellular nitrogen compound biosynthetic ...",3403,236,152.65,"2.9e-13"
"7","GO:0006518","peptide metabolic process",1028,99,46.11,"3.4e-13"
"8","GO:1901576","organic substance biosynthetic process",4464,290,200.24,"4.8e-13"
"9","GO:0009058","biosynthetic process",4652,299,208.68,"6.2e-13"
"10","GO:0043603","cellular amide metabolic process",1111,103,49.84,"1.1e-12"
"11","GO:0009059","macromolecule biosynthetic process",3189,219,143.05,"8.5e-12"
"12","GO:0034645","cellular macromolecule biosynthetic proc...",3189,219,143.05,"8.5e-12"
"13","GO:1901566","organonitrogen compound biosynthetic pro...",1926,149,86.4,"1.2e-11"
"14","GO:0044237","cellular metabolic process",9563,515,428.97,"4.0e-10"
"15","GO:0044267","cellular protein metabolic process",3942,245,176.83,"7.4e-09"
"16","GO:0034641","cellular nitrogen compound metabolic pro...",4809,288,215.72,"7.6e-09"
"17","GO:0044260","cellular macromolecule metabolic process",6499,369,291.53,"7.8e-09"
"18","GO:0006807","nitrogen compound metabolic process",8977,482,402.69,"8.9e-09"
"19","GO:0009987","cellular process",11364,585,509.76,"1.2e-08"
"20","GO:0009095","aromatic amino acid family biosynthetic ...",11,6,0.49,"3.0e-06"
"21","GO:1901564","organonitrogen compound metabolic proces...",5964,327,267.53,"4.9e-06"
"22","GO:0071704","organic substance metabolic process",11072,555,496.66,"1.0e-05"
"23","GO:0043170","macromolecule metabolic process",7921,415,355.32,"1.1e-05"
"24","GO:0044238","primary metabolic process",10615,532,476.16,"2.8e-05"
"25","GO:0051171","regulation of nitrogen compound metaboli...",1661,108,74.51,"4.9e-05"
"26","GO:0080090","regulation of primary metabolic process",1661,108,74.51,"4.9e-05"
"27","GO:0042254","ribosome biogenesis",140,18,6.28,"5.6e-05"
"28","GO:0019538","protein metabolic process",4784,263,214.6,"6.7e-05"
"29","GO:0060255","regulation of macromolecule metabolic pr...",1717,110,77.02,"7.6e-05"
"30","GO:0031323","regulation of cellular metabolic process",1663,107,74.6,"8.1e-05"
"31","GO:0006355","regulation of transcription, DNA-templat...",1590,103,71.32,"8.6e-05"
"32","GO:1903506","regulation of nucleic acid-templated tra...",1590,103,71.32,"8.6e-05"
"33","GO:2001141","regulation of RNA biosynthetic process",1590,103,71.32,"8.6e-05"
"34","GO:0009889","regulation of biosynthetic process",1611,104,72.27,"9.1e-05"
"35","GO:0010556","regulation of macromolecule biosynthetic...",1611,104,72.27,"9.1e-05"
"36","GO:0031326","regulation of cellular biosynthetic proc...",1611,104,72.27,"9.1e-05"
"37","GO:2000112","regulation of cellular macromolecule bio...",1611,104,72.27,"9.1e-05"
"38","GO:0051252","regulation of RNA metabolic process",1595,103,71.55,"9.7e-05"
"39","GO:0019222","regulation of metabolic process",1728,110,77.51,"9.8e-05"
"40","GO:0019219","regulation of nucleobase-containing comp...",1608,103,72.13,"0.00013"
