"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0042743","hydrogen peroxide metabolic process",180,14,1.14,"7.8e-12"
"2","GO:0042744","hydrogen peroxide catabolic process",180,14,1.14,"7.8e-12"
"3","GO:0017001","antibiotic catabolic process",183,14,1.16,"9.8e-12"
"4","GO:0051187","cofactor catabolic process",195,14,1.23,"2.3e-11"
"5","GO:0072593","reactive oxygen species metabolic proces...",211,14,1.33,"6.6e-11"
"6","GO:0042737","drug catabolic process",231,14,1.46,"2.2e-10"
"7","GO:0016999","antibiotic metabolic process",235,14,1.49,"2.8e-10"
"8","GO:0006979","response to oxidative stress",299,15,1.89,"6.7e-10"
"9","GO:0051186","cofactor metabolic process",588,15,3.72,"4.5e-06"
"10","GO:0006950","response to stress",705,16,4.46,"9.2e-06"
"11","GO:0017144","drug metabolic process",646,15,4.08,"1.4e-05"
"12","GO:0055114","oxidation-reduction process",2738,35,17.31,"2.2e-05"
"13","GO:0009056","catabolic process",869,16,5.49,"0.00011"
"14","GO:0044248","cellular catabolic process",780,15,4.93,"0.00012"
"15","GO:0050896","response to stimulus",1373,21,8.68,"0.00013"
"16","GO:0050794","regulation of cellular process",2378,26,15.04,"0.00335"
"17","GO:0006355","regulation of transcription, DNA-templat...",1590,19,10.05,"0.00506"
"18","GO:1903506","regulation of nucleic acid-templated tra...",1590,19,10.05,"0.00506"
"19","GO:2001141","regulation of RNA biosynthetic process",1590,19,10.05,"0.00506"
"20","GO:0070588","calcium ion transmembrane transport",17,2,0.11,"0.00507"
"21","GO:0050789","regulation of biological process",2453,26,15.51,"0.00509"
"22","GO:0051252","regulation of RNA metabolic process",1595,19,10.08,"0.00523"
"23","GO:0019219","regulation of nucleobase-containing comp...",1608,19,10.17,"0.00570"
"24","GO:0009889","regulation of biosynthetic process",1611,19,10.19,"0.00581"
"25","GO:0010556","regulation of macromolecule biosynthetic...",1611,19,10.19,"0.00581"
"26","GO:0031326","regulation of cellular biosynthetic proc...",1611,19,10.19,"0.00581"
"27","GO:2000112","regulation of cellular macromolecule bio...",1611,19,10.19,"0.00581"
"28","GO:0051171","regulation of nitrogen compound metaboli...",1661,19,10.5,"0.00800"
"29","GO:0080090","regulation of primary metabolic process",1661,19,10.5,"0.00800"
"30","GO:0031323","regulation of cellular metabolic process",1663,19,10.51,"0.00810"
"31","GO:0010468","regulation of gene expression",1665,19,10.53,"0.00820"
"32","GO:0006351","transcription, DNA-templated",1823,20,11.53,"0.01012"
"33","GO:0097659","nucleic acid-templated transcription",1823,20,11.53,"0.01012"
"34","GO:0032774","RNA biosynthetic process",1827,20,11.55,"0.01036"
"35","GO:0060255","regulation of macromolecule metabolic pr...",1717,19,10.86,"0.01120"
"36","GO:0019222","regulation of metabolic process",1728,19,10.93,"0.01193"
"37","GO:0065007","biological regulation",2628,26,16.62,"0.01227"
"38","GO:0006816","calcium ion transport",27,2,0.17,"0.01255"
"39","GO:0008152","metabolic process",13764,97,87.02,"0.01752"
"40","GO:0007154","cell communication",573,8,3.62,"0.02903"
