"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0042743","hydrogen peroxide metabolic process",180,7,1.01,"7.0e-05"
"2","GO:0042744","hydrogen peroxide catabolic process",180,7,1.01,"7.0e-05"
"3","GO:0017001","antibiotic catabolic process",183,7,1.03,"7.7e-05"
"4","GO:0051187","cofactor catabolic process",195,7,1.09,"0.00012"
"5","GO:0072593","reactive oxygen species metabolic proces...",211,7,1.18,"0.00019"
"6","GO:0042737","drug catabolic process",231,7,1.3,"0.00033"
"7","GO:0016999","antibiotic metabolic process",235,7,1.32,"0.00036"
"8","GO:0019509","L-methionine salvage from methylthioaden...",8,2,0.04,"0.00085"
"9","GO:0043102","amino acid salvage",8,2,0.04,"0.00085"
"10","GO:0071267","L-methionine salvage",8,2,0.04,"0.00085"
"11","GO:0006979","response to oxidative stress",299,7,1.68,"0.00149"
"12","GO:0071265","L-methionine biosynthetic process",12,2,0.07,"0.00199"
"13","GO:0017144","drug metabolic process",646,10,3.63,"0.00341"
"14","GO:0009056","catabolic process",869,12,4.88,"0.00344"
"15","GO:0044248","cellular catabolic process",780,11,4.38,"0.00435"
"16","GO:0051186","cofactor metabolic process",588,9,3.3,"0.00583"
"17","GO:0043094","cellular metabolic compound salvage",27,2,0.15,"0.01000"
"18","GO:0006014","D-ribose metabolic process",2,1,0.01,"0.01120"
"19","GO:0009086","methionine biosynthetic process",32,2,0.18,"0.01387"
"20","GO:0006950","response to stress",705,9,3.96,"0.01763"
"21","GO:0006555","methionine metabolic process",37,2,0.21,"0.01829"
"22","GO:0044272","sulfur compound biosynthetic process",103,3,0.58,"0.02027"
"23","GO:0006750","glutathione biosynthetic process",4,1,0.02,"0.02227"
"24","GO:0018196","peptidyl-asparagine modification",5,1,0.03,"0.02776"
"25","GO:0018279","protein N-linked glycosylation via aspar...",5,1,0.03,"0.02776"
"26","GO:0019184","nonribosomal peptide biosynthetic proces...",5,1,0.03,"0.02776"
"27","GO:0006869","lipid transport",119,3,0.67,"0.02945"
"28","GO:0006355","regulation of transcription, DNA-templat...",1590,15,8.93,"0.03184"
"29","GO:1903506","regulation of nucleic acid-templated tra...",1590,15,8.93,"0.03184"
"30","GO:2001141","regulation of RNA biosynthetic process",1590,15,8.93,"0.03184"
"31","GO:0051252","regulation of RNA metabolic process",1595,15,8.95,"0.03261"
"32","GO:0010876","lipid localization",126,3,0.71,"0.03405"
"33","GO:0019219","regulation of nucleobase-containing comp...",1608,15,9.03,"0.03469"
"34","GO:0009889","regulation of biosynthetic process",1611,15,9.04,"0.03518"
"35","GO:0010556","regulation of macromolecule biosynthetic...",1611,15,9.04,"0.03518"
"36","GO:0031326","regulation of cellular biosynthetic proc...",1611,15,9.04,"0.03518"
"37","GO:2000112","regulation of cellular macromolecule bio...",1611,15,9.04,"0.03518"
"38","GO:0000097","sulfur amino acid biosynthetic process",54,2,0.3,"0.03697"
"39","GO:0009067","aspartate family amino acid biosynthetic...",56,2,0.31,"0.03950"
"40","GO:0006102","isocitrate metabolic process",8,1,0.04,"0.04405"
