"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0044036","cell wall macromolecule metabolic proces...",94,11,2.62,"6e-05"
"2","GO:0010411","xyloglucan metabolic process",60,8,1.67,"0.00025"
"3","GO:0015689","molybdate ion transport",12,4,0.33,"0.00025"
"4","GO:0010383","cell wall polysaccharide metabolic proce...",68,8,1.89,"0.00058"
"5","GO:0010410","hemicellulose metabolic process",68,8,1.89,"0.00058"
"6","GO:0070070","proton-transporting V-type ATPase comple...",3,2,0.08,"0.00228"
"7","GO:0070072","vacuolar proton-transporting V-type ATPa...",3,2,0.08,"0.00228"
"8","GO:0042546","cell wall biogenesis",103,9,2.87,"0.00233"
"9","GO:0006072","glycerol-3-phosphate metabolic process",11,3,0.31,"0.00300"
"10","GO:0052646","alditol phosphate metabolic process",11,3,0.31,"0.00300"
"11","GO:0007020","microtubule nucleation",4,2,0.11,"0.00448"
"12","GO:0031109","microtubule polymerization or depolymeri...",4,2,0.11,"0.00448"
"13","GO:0031122","cytoplasmic microtubule organization",4,2,0.11,"0.00448"
"14","GO:0046785","microtubule polymerization",4,2,0.11,"0.00448"
"15","GO:0044262","cellular carbohydrate metabolic process",281,16,7.83,"0.00564"
"16","GO:1901136","carbohydrate derivative catabolic proces...",44,5,1.23,"0.00729"
"17","GO:0005992","trehalose biosynthetic process",48,5,1.34,"0.01051"
"18","GO:0070071","proton-transporting two-sector ATPase co...",6,2,0.17,"0.01078"
"19","GO:0009060","aerobic respiration",51,5,1.42,"0.01347"
"20","GO:0005991","trehalose metabolic process",52,5,1.45,"0.01457"
"21","GO:0046351","disaccharide biosynthetic process",52,5,1.45,"0.01457"
"22","GO:0071554","cell wall organization or biogenesis",347,17,9.66,"0.01793"
"23","GO:0006073","cellular glucan metabolic process",166,10,4.62,"0.01806"
"24","GO:0044042","glucan metabolic process",166,10,4.62,"0.01806"
"25","GO:1902600","proton transmembrane transport",192,11,5.35,"0.01897"
"26","GO:0018344","protein geranylgeranylation",8,2,0.22,"0.01939"
"27","GO:0046168","glycerol-3-phosphate catabolic process",8,2,0.22,"0.01939"
"28","GO:0006468","protein phosphorylation",2146,75,59.77,"0.02232"
"29","GO:0072350","tricarboxylic acid metabolic process",59,5,1.64,"0.02399"
"30","GO:0044264","cellular polysaccharide metabolic proces...",174,10,4.85,"0.02414"
"31","GO:0055114","oxidation-reduction process",2738,92,76.26,"0.02969"
"32","GO:0009269","response to desiccation",10,2,0.28,"0.03004"
"33","GO:0009414","response to water deprivation",10,2,0.28,"0.03004"
"34","GO:0009312","oligosaccharide biosynthetic process",63,5,1.75,"0.03081"
"35","GO:0006022","aminoglycan metabolic process",26,3,0.72,"0.03473"
"36","GO:0006026","aminoglycan catabolic process",26,3,0.72,"0.03473"
"37","GO:0006030","chitin metabolic process",26,3,0.72,"0.03473"
"38","GO:0006032","chitin catabolic process",26,3,0.72,"0.03473"
"39","GO:0016998","cell wall macromolecule catabolic proces...",26,3,0.72,"0.03473"
"40","GO:0046348","amino sugar catabolic process",26,3,0.72,"0.03473"
