,HTH_psq(3),IBD(1),RHD_DNA_bind(1),MBD(31),NAM(205),LAG1-DNAbind(2),TCR(14),zf-CCCH(145),GTF2I(1),MH1(2),CSD(15),HSF_DNA-bind(52),zf-C2H2(152),RWP-RK(36),CG-1(15),CENP-B_N(9),CBFB_NFYA(27),Sigma70_r2(20),PLATZ(31),zf-C4(1),PAX(1),HMG_box(52),P53(1),GAGA_bind(16),MATalpha_HMGbox(1),Forkhead(2),MADF_DNA_bdg(66),bZIP_1(218),zf-BED(282),AT_hook(46),SAND(8),SRF-TF(102),zf-Dof(69),mTERF(76),FLYWCH(30),TBP(3),EIN3(14),C_LFY_FLO(4),ARID(19),AP2(286),zf-NF-X1(4),FAR1(118),Whirly(9),GCM(2),WRKY(160),BES1_N(22),Myb_DNA-binding(619),B3(174),zf-CXXC(1),SBP(47),RRM_1(532),S1FA(8),IRF(3),Vhr1(2),Homeodomain(193),GCR1_C(6),AFT(2),TF_AP-2(3),TCP(51),GRAS(82),DUF573(44),TEA(36),Runt(2),HPD(1),BAF1_ABF1(2),zf-C2HC(1),LOB(75),Zn_clus(7),Ets(2),Pou(15),WRC(33),GATA(62),SART-1(4),HLH(304),E2F_TDP(20),KilA-N(3),DM(7),Copper-fist(5),NDT80_PhoG(1)
1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2,1,0,0,1,14,0,1,7,0,0,0,4,18,1,1,1,2,1,4,0,1,3,0,0,0,1,3,34,12,0,0,14,6,11,5,1,1,1,0,28,0,9,0,0,16,0,92,15,0,6,33,0,0,0,25,0,0,2,6,7,2,4,0,0,1,0,8,0,0,0,7,9,0,61,3,0,1,0,0
3,0,1,0,10,25,0,0,34,0,0,7,12,18,2,1,1,13,2,2,0,0,13,0,5,0,0,28,25,8,28,0,3,23,5,3,0,4,0,0,32,0,3,5,0,8,6,90,15,0,0,171,0,0,0,26,0,0,1,8,13,18,3,1,0,0,0,1,1,1,0,7,10,1,31,1,0,0,0,0
4,1,0,0,4,5,0,8,14,0,1,0,1,11,2,6,2,0,0,2,0,0,0,1,0,0,0,4,6,10,0,1,0,0,7,0,0,2,0,3,4,1,10,0,0,2,1,35,7,1,9,42,0,0,0,6,3,0,0,0,5,0,0,0,1,0,0,1,0,0,1,4,2,0,7,3,0,1,0,0
5,0,0,0,2,27,0,1,8,0,0,0,5,22,3,0,0,0,0,4,0,0,1,0,2,0,0,2,20,4,2,0,4,8,3,7,0,0,0,0,84,0,2,1,0,35,4,43,5,0,2,21,2,0,0,12,0,0,0,3,17,1,0,0,0,0,0,7,1,0,1,2,9,1,22,0,0,0,0,0
6,0,0,0,2,7,0,1,11,0,0,3,1,11,12,0,2,2,4,3,0,0,2,0,1,0,0,0,15,7,3,0,3,3,5,2,0,1,0,2,7,0,6,0,0,6,0,27,13,0,3,23,0,0,0,8,1,0,0,0,4,1,3,0,0,0,0,1,0,0,1,1,1,0,9,0,0,0,0,0
7,0,0,0,1,1,0,1,3,0,0,1,0,5,1,1,0,0,0,2,0,0,4,0,1,0,0,2,9,1,0,0,1,0,4,0,1,0,0,0,4,1,0,0,0,3,0,7,4,0,1,21,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,2,0,0
8,1,0,0,1,2,0,0,4,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,3,8,1,0,0,2,4,7,0,0,0,1,0,3,0,0,0,0,5,0,20,6,0,0,14,0,2,0,6,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,5,0,16,3,0,0,0,0
9,0,0,0,1,14,0,0,7,0,0,2,6,9,1,0,1,0,2,2,0,0,1,0,3,0,0,5,17,5,2,0,1,3,2,0,0,0,0,0,36,0,1,0,0,11,1,31,5,0,1,37,0,0,0,6,0,0,0,3,2,3,4,0,0,0,0,3,0,0,0,1,3,0,15,2,0,0,0,0
10,0,0,0,1,3,0,0,21,0,1,0,0,4,1,1,0,0,1,0,0,0,2,0,0,0,0,2,5,5,1,1,0,1,1,2,0,2,0,6,2,0,8,0,0,1,2,26,15,0,2,33,1,0,0,6,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,2,2,1,3,1,0,1,0,0
11,0,0,0,1,6,0,0,11,0,0,0,1,7,0,0,0,3,1,0,0,0,0,0,2,0,0,2,10,3,2,0,0,4,1,4,0,2,0,2,3,1,2,0,0,9,3,38,12,0,3,20,0,0,0,14,0,0,0,1,4,2,4,0,0,1,0,2,1,0,0,1,2,0,8,0,0,0,0,0
12,0,0,0,0,9,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,1,0,1,0,2,0,0,1,0,0,6,0,0,0,0,6,0,4,6,0,0,6,0,0,1,2,0,0,0,0,2,1,1,0,0,0,0,7,0,0,0,1,1,0,4,2,0,0,0,0
13,0,0,0,0,1,0,0,3,0,0,0,4,2,0,1,1,0,0,0,0,0,0,0,1,0,0,2,5,3,1,3,0,0,3,0,0,0,0,0,10,0,3,0,0,8,0,7,2,0,0,13,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,2,0,6,1,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,17,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
15,0,0,0,0,2,0,0,4,0,0,0,1,5,4,1,0,0,0,2,0,0,2,0,0,0,0,2,1,2,1,0,0,2,4,1,0,0,0,3,7,1,4,0,0,2,0,11,3,0,1,13,0,0,0,5,0,0,0,3,5,0,4,0,0,0,0,2,0,0,0,0,1,0,3,2,0,0,0,0
16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,0,0,0,0,7,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,1,2,0,0,0,0,0,4,0,0,0,0,2,0,11,2,0,0,1,1,0,0,13,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0
18,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,2,0,6,4,0,2,8,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0
19,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,1,0,0,4,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0
22,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
