"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0000122","negative regulation of transcription by ...",13,3,0.06,"3.4e-05"
"2","GO:0006996","organelle organization",2183,26,10.88,"3.5e-05"
"3","GO:0005992","trehalose biosynthetic process",54,4,0.27,"0.00016"
"4","GO:0005991","trehalose metabolic process",58,4,0.29,"0.00021"
"5","GO:0046351","disaccharide biosynthetic process",60,4,0.3,"0.00023"
"6","GO:0000723","telomere maintenance",178,6,0.89,"0.00028"
"7","GO:0032200","telomere organization",178,6,0.89,"0.00028"
"8","GO:0060249","anatomical structure homeostasis",178,6,0.89,"0.00028"
"9","GO:0007030","Golgi organization",28,3,0.14,"0.00036"
"10","GO:0051641","cellular localization",1103,15,5.5,"0.00045"
"11","GO:0009312","oligosaccharide biosynthetic process",75,4,0.37,"0.00055"
"12","GO:0009311","oligosaccharide metabolic process",139,5,0.69,"0.00068"
"13","GO:0006974","cellular response to DNA damage stimulus",686,11,3.42,"0.00071"
"14","GO:0009793","embryo development ending in seed dorman...",213,6,1.06,"0.00073"
"15","GO:0046907","intracellular transport",923,13,4.6,"0.00079"
"16","GO:0015031","protein transport",1076,14,5.36,"0.00107"
"17","GO:0010256","endomembrane system organization",90,4,0.45,"0.00109"
"18","GO:0009790","embryo development",233,6,1.16,"0.00116"
"19","GO:0032508","DNA duplex unwinding",238,6,1.19,"0.00129"
"20","GO:0032392","DNA geometric change",240,6,1.2,"0.00135"
"21","GO:0051649","establishment of localization in cell",984,13,4.91,"0.00141"
"22","GO:0045184","establishment of protein localization",1109,14,5.53,"0.00142"
"23","GO:0035670","plant-type ovary development",12,2,0.06,"0.00158"
"24","GO:0045116","protein neddylation",12,2,0.06,"0.00158"
"25","GO:0048481","plant ovule development",12,2,0.06,"0.00158"
"26","GO:0006913","nucleocytoplasmic transport",248,6,1.24,"0.00159"
"27","GO:0051169","nuclear transport",248,6,1.24,"0.00159"
"28","GO:0006397","mRNA processing",437,8,2.18,"0.00166"
"29","GO:0015833","peptide transport",1134,14,5.65,"0.00175"
"30","GO:0010272","response to silver ion",13,2,0.06,"0.00186"
"31","GO:0046898","response to cycloheximide",13,2,0.06,"0.00186"
"32","GO:0048440","carpel development",13,2,0.06,"0.00186"
"33","GO:0060992","response to fungicide",13,2,0.06,"0.00186"
"34","GO:0071217","cellular response to external biotic sti...",13,2,0.06,"0.00186"
"35","GO:0042886","amide transport",1145,14,5.71,"0.00191"
"36","GO:0006396","RNA processing",1149,14,5.73,"0.00197"
"37","GO:1901654","response to ketone",14,2,0.07,"0.00216"
"38","GO:0008104","protein localization",1172,14,5.84,"0.00236"
"39","GO:0051276","chromosome organization",931,12,4.64,"0.00261"
"40","GO:0048316","seed development",280,6,1.4,"0.00292"
