"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0050794","regulation of cellular process",5500,315,199,"1.3e-17"
"2","GO:0050789","regulation of biological process",6129,342,221.75,"1.5e-17"
"3","GO:0006355","regulation of transcription, DNA-templat...",2885,190,104.38,"4.5e-16"
"4","GO:0006351","transcription, DNA-templated",3199,204,115.74,"8.8e-16"
"5","GO:1903506","regulation of nucleic acid-templated tra...",2930,190,106.01,"2.1e-15"
"6","GO:2001141","regulation of RNA biosynthetic process",2930,190,106.01,"2.1e-15"
"7","GO:0097659","nucleic acid-templated transcription",3270,206,118.31,"2.2e-15"
"8","GO:0032774","RNA biosynthetic process",3368,210,121.86,"3.2e-15"
"9","GO:0051252","regulation of RNA metabolic process",2961,190,107.13,"5.7e-15"
"10","GO:0010468","regulation of gene expression",3306,206,119.61,"6.5e-15"
"11","GO:2000112","regulation of cellular macromolecule bio...",3018,192,109.19,"9.1e-15"
"12","GO:0019219","regulation of nucleobase-containing comp...",3043,193,110.1,"1.0e-14"
"13","GO:0031326","regulation of cellular biosynthetic proc...",3117,196,112.78,"1.4e-14"
"14","GO:0065007","biological regulation",7018,366,253.92,"2.3e-14"
"15","GO:0009889","regulation of biosynthetic process",3134,196,113.39,"2.4e-14"
"16","GO:0051171","regulation of nitrogen compound metaboli...",3572,216,129.24,"2.8e-14"
"17","GO:0010556","regulation of macromolecule biosynthetic...",3063,192,110.82,"3.7e-14"
"18","GO:0060255","regulation of macromolecule metabolic pr...",3847,226,139.19,"1.3e-13"
"19","GO:0080090","regulation of primary metabolic process",3633,215,131.45,"2.8e-13"
"20","GO:0019222","regulation of metabolic process",4004,231,144.87,"4.2e-13"
"21","GO:0031323","regulation of cellular metabolic process",3670,216,132.78,"4.2e-13"
"22","GO:0034654","nucleobase-containing compound biosynthe...",4220,234,152.68,"1.5e-11"
"23","GO:0032502","developmental process",1516,108,54.85,"1.9e-11"
"24","GO:1901362","organic cyclic compound biosynthetic pro...",4672,253,169.04,"2.1e-11"
"25","GO:0019438","aromatic compound biosynthetic process",4509,244,163.14,"5.7e-11"
"26","GO:0010088","phloem development",22,11,0.8,"6.5e-11"
"27","GO:0018130","heterocycle biosynthetic process",4527,244,163.79,"8.4e-11"
"28","GO:0009606","tropism",99,17,3.58,"9.5e-08"
"29","GO:0071249","cellular response to nitrate",25,9,0.9,"1.3e-07"
"30","GO:1902170","cellular response to reactive nitrogen s...",25,9,0.9,"1.3e-07"
"31","GO:0048856","anatomical structure development",1403,90,50.76,"1.3e-07"
"32","GO:0048869","cellular developmental process",445,39,16.1,"4.3e-07"
"33","GO:1901699","cellular response to nitrogen compound",38,10,1.37,"7.0e-07"
"34","GO:0030154","cell differentiation",306,30,11.07,"9.2e-07"
"35","GO:0099402","plant organ development",409,36,14.8,"1.1e-06"
"36","GO:0007231","osmosensory signaling pathway",4,4,0.14,"1.7e-06"
"37","GO:0071241","cellular response to inorganic substance",42,10,1.52,"1.9e-06"
"38","GO:0010087","phloem or xylem histogenesis",52,11,1.88,"2.1e-06"
"39","GO:0009629","response to gravity",76,13,2.75,"3.2e-06"
"40","GO:0009630","gravitropism",76,13,2.75,"3.2e-06"
