"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006457","protein folding",358,3,0.09,"9.4e-05"
"2","GO:0000395","mRNA 5'-splice site recognition",4,1,0,"0.0010"
"3","GO:0006376","mRNA splice site selection",11,1,0,"0.0029"
"4","GO:0045292","mRNA cis splicing, via spliceosome",21,1,0.01,"0.0055"
"5","GO:0000245","spliceosomal complex assembly",33,1,0.01,"0.0086"
"6","GO:0006026","aminoglycan catabolic process",33,1,0.01,"0.0086"
"7","GO:0006030","chitin metabolic process",33,1,0.01,"0.0086"
"8","GO:0006032","chitin catabolic process",33,1,0.01,"0.0086"
"9","GO:0046348","amino sugar catabolic process",33,1,0.01,"0.0086"
"10","GO:1901071","glucosamine-containing compound metaboli...",33,1,0.01,"0.0086"
"11","GO:1901072","glucosamine-containing compound cataboli...",33,1,0.01,"0.0086"
"12","GO:0006022","aminoglycan metabolic process",34,1,0.01,"0.0089"
"13","GO:0000387","spliceosomal snRNP assembly",39,1,0.01,"0.0102"
"14","GO:0042542","response to hydrogen peroxide",45,1,0.01,"0.0117"
"15","GO:0006040","amino sugar metabolic process",47,1,0.01,"0.0123"
"16","GO:0016998","cell wall macromolecule catabolic proces...",51,1,0.01,"0.0133"
"17","GO:0065003","protein-containing complex assembly",711,2,0.19,"0.0142"
"18","GO:0051259","protein complex oligomerization",69,1,0.02,"0.0180"
"19","GO:1901136","carbohydrate derivative catabolic proces...",72,1,0.02,"0.0187"
"20","GO:0043933","protein-containing complex subunit organ...",836,2,0.22,"0.0192"
"21","GO:0022607","cellular component assembly",924,2,0.24,"0.0232"
"22","GO:0000302","response to reactive oxygen species",125,1,0.03,"0.0323"
"23","GO:0046677","response to antibiotic",125,1,0.03,"0.0323"
"24","GO:0009408","response to heat",169,1,0.04,"0.0435"
"25","GO:0044085","cellular component biogenesis",1383,2,0.36,"0.0488"
"26","GO:0042493","response to drug",216,1,0.06,"0.0553"
"27","GO:0022618","ribonucleoprotein complex assembly",217,1,0.06,"0.0555"
"28","GO:0000398","mRNA splicing, via spliceosome",218,1,0.06,"0.0558"
"29","GO:0071826","ribonucleoprotein complex subunit organi...",218,1,0.06,"0.0558"
"30","GO:0044036","cell wall macromolecule metabolic proces...",233,1,0.06,"0.0595"
"31","GO:0000375","RNA splicing, via transesterification re...",240,1,0.06,"0.0612"
"32","GO:0000377","RNA splicing, via transesterification re...",240,1,0.06,"0.0612"
"33","GO:0009651","response to salt stress",276,1,0.07,"0.0701"
"34","GO:0009266","response to temperature stimulus",286,1,0.08,"0.0726"
"35","GO:0006970","response to osmotic stress",311,1,0.08,"0.0787"
"36","GO:0008380","RNA splicing",325,1,0.09,"0.0821"
"37","GO:0006397","mRNA processing",437,1,0.11,"0.1089"
"38","GO:0010035","response to inorganic substance",450,1,0.12,"0.1120"
"39","GO:0042737","drug catabolic process",486,1,0.13,"0.1205"
"40","GO:0006979","response to oxidative stress",488,1,0.13,"0.1209"
