"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:1901566","organonitrogen compound biosynthetic pro...",3117,239,96.75,"< 1e-30"
"2","GO:0044281","small molecule metabolic process",2614,207,81.13,"< 1e-30"
"3","GO:0019752","carboxylic acid metabolic process",1516,138,47.05,"6.5e-30"
"4","GO:0006082","organic acid metabolic process",1564,139,48.54,"4.5e-29"
"5","GO:0043436","oxoacid metabolic process",1560,138,48.42,"1.2e-28"
"6","GO:0044283","small molecule biosynthetic process",1101,111,34.17,"8.3e-28"
"7","GO:0006412","translation",1578,126,48.98,"2.9e-22"
"8","GO:0016053","organic acid biosynthetic process",838,86,26.01,"3.1e-22"
"9","GO:0046394","carboxylic acid biosynthetic process",838,86,26.01,"3.1e-22"
"10","GO:0043043","peptide biosynthetic process",1585,126,49.2,"4.2e-22"
"11","GO:0006518","peptide metabolic process",1636,127,50.78,"2.2e-21"
"12","GO:0043604","amide biosynthetic process",1687,129,52.36,"3.7e-21"
"13","GO:0043603","cellular amide metabolic process",1803,131,55.96,"1.4e-19"
"14","GO:0009058","biosynthetic process",8350,383,259.17,"1.9e-17"
"15","GO:0015979","photosynthesis",420,52,13.04,"2.7e-17"
"16","GO:0006520","cellular amino acid metabolic process",787,74,24.43,"3.6e-17"
"17","GO:0006091","generation of precursor metabolites and ...",922,78,28.62,"1.8e-15"
"18","GO:0044249","cellular biosynthetic process",7955,360,246.91,"2.5e-15"
"19","GO:1901576","organic substance biosynthetic process",8134,365,252.47,"5.1e-15"
"20","GO:0006633","fatty acid biosynthetic process",227,35,7.05,"5.9e-15"
"21","GO:0006631","fatty acid metabolic process",275,36,8.54,"4.0e-13"
"22","GO:0072330","monocarboxylic acid biosynthetic process",444,45,13.78,"4.8e-12"
"23","GO:0008652","cellular amino acid biosynthetic process",373,40,11.58,"1.3e-11"
"24","GO:0009657","plastid organization",223,30,6.92,"1.8e-11"
"25","GO:1901605","alpha-amino acid metabolic process",463,44,14.37,"6.9e-11"
"26","GO:0033014","tetrapyrrole biosynthetic process",95,19,2.95,"9.3e-11"
"27","GO:0032787","monocarboxylic acid metabolic process",599,49,18.59,"1.0e-09"
"28","GO:0033013","tetrapyrrole metabolic process",121,20,3.76,"1.1e-09"
"29","GO:1901564","organonitrogen compound metabolic proces...",11095,439,344.37,"1.1e-09"
"30","GO:1901607","alpha-amino acid biosynthetic process",316,32,9.81,"5.8e-09"
"31","GO:0008610","lipid biosynthetic process",763,55,23.68,"9.1e-09"
"32","GO:0000413","protein peptidyl-prolyl isomerization",126,19,3.91,"1.3e-08"
"33","GO:0006525","arginine metabolic process",30,10,0.93,"1.4e-08"
"34","GO:0006526","arginine biosynthetic process",23,9,0.71,"1.4e-08"
"35","GO:0045454","cell redox homeostasis",291,29,9.03,"4.2e-08"
"36","GO:0044255","cellular lipid metabolic process",971,62,30.14,"9.2e-08"
"37","GO:0051188","cofactor biosynthetic process",468,38,14.53,"9.2e-08"
"38","GO:0018208","peptidyl-proline modification",147,19,4.56,"1.7e-07"
"39","GO:0015980","energy derivation by oxidation of organi...",232,24,7.2,"3.0e-07"
"40","GO:0009084","glutamine family amino acid biosynthetic...",74,13,2.3,"4.2e-07"
