"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0019752","carboxylic acid metabolic process",1516,31,6.88,"2.0e-12"
"2","GO:0043436","oxoacid metabolic process",1560,31,7.08,"4.2e-12"
"3","GO:0006082","organic acid metabolic process",1564,31,7.1,"4.5e-12"
"4","GO:0044281","small molecule metabolic process",2614,40,11.86,"7.5e-12"
"5","GO:0006099","tricarboxylic acid cycle",101,9,0.46,"9.7e-10"
"6","GO:0006101","citrate metabolic process",101,9,0.46,"9.7e-10"
"7","GO:0072350","tricarboxylic acid metabolic process",104,9,0.47,"1.3e-09"
"8","GO:0009060","aerobic respiration",121,9,0.55,"4.8e-09"
"9","GO:0045333","cellular respiration",203,10,0.92,"3.5e-08"
"10","GO:0017144","drug metabolic process",1283,22,5.82,"1.0e-07"
"11","GO:0015980","energy derivation by oxidation of organi...",232,10,1.05,"1.2e-07"
"12","GO:0006091","generation of precursor metabolites and ...",922,17,4.18,"1.2e-06"
"13","GO:0006457","protein folding",358,10,1.62,"6.2e-06"
"14","GO:0016053","organic acid biosynthetic process",838,15,3.8,"7.3e-06"
"15","GO:0046394","carboxylic acid biosynthetic process",838,15,3.8,"7.3e-06"
"16","GO:0045454","cell redox homeostasis",291,9,1.32,"8.1e-06"
"17","GO:0019359","nicotinamide nucleotide biosynthetic pro...",170,7,0.77,"1.4e-05"
"18","GO:0019363","pyridine nucleotide biosynthetic process",172,7,0.78,"1.5e-05"
"19","GO:0034975","protein folding in endoplasmic reticulum",2,2,0.01,"2.0e-05"
"20","GO:0072525","pyridine-containing compound biosyntheti...",185,7,0.84,"2.3e-05"
"21","GO:0006096","glycolytic process",136,6,0.62,"3.9e-05"
"22","GO:0006757","ATP generation from ADP",136,6,0.62,"3.9e-05"
"23","GO:0042866","pyruvate biosynthetic process",136,6,0.62,"3.9e-05"
"24","GO:0046031","ADP metabolic process",136,6,0.62,"3.9e-05"
"25","GO:0009135","purine nucleoside diphosphate metabolic ...",141,6,0.64,"4.7e-05"
"26","GO:0009179","purine ribonucleoside diphosphate metabo...",141,6,0.64,"4.7e-05"
"27","GO:0009185","ribonucleoside diphosphate metabolic pro...",141,6,0.64,"4.7e-05"
"28","GO:0016999","antibiotic metabolic process",375,9,1.7,"5.9e-05"
"29","GO:0046496","nicotinamide nucleotide metabolic proces...",215,7,0.98,"6.1e-05"
"30","GO:0019362","pyridine nucleotide metabolic process",217,7,0.98,"6.4e-05"
"31","GO:0009123","nucleoside monophosphate metabolic proce...",475,10,2.16,"6.9e-05"
"32","GO:0009166","nucleotide catabolic process",153,6,0.69,"7.5e-05"
"33","GO:0006732","coenzyme metabolic process",483,10,2.19,"7.9e-05"
"34","GO:1901292","nucleoside phosphate catabolic process",155,6,0.7,"8.0e-05"
"35","GO:0072524","pyridine-containing compound metabolic p...",230,7,1.04,"9.3e-05"
"36","GO:0006733","oxidoreduction coenzyme metabolic proces...",233,7,1.06,"0.00010"
"37","GO:0006165","nucleoside diphosphate phosphorylation",165,6,0.75,"0.00011"
"38","GO:0046939","nucleotide phosphorylation",165,6,0.75,"0.00011"
"39","GO:0006071","glycerol metabolic process",4,2,0.02,"0.00012"
"40","GO:0019400","alditol metabolic process",4,2,0.02,"0.00012"
