"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0010467","gene expression",6173,514,167.63,"< 1e-30"
"2","GO:0006412","translation",1578,270,42.85,"< 1e-30"
"3","GO:0043043","peptide biosynthetic process",1585,270,43.04,"< 1e-30"
"4","GO:0006518","peptide metabolic process",1636,273,44.43,"< 1e-30"
"5","GO:0043604","amide biosynthetic process",1687,271,45.81,"< 1e-30"
"6","GO:0043603","cellular amide metabolic process",1803,274,48.96,"< 1e-30"
"7","GO:1901566","organonitrogen compound biosynthetic pro...",3117,301,84.64,"< 1e-30"
"8","GO:0022613","ribonucleoprotein complex biogenesis",518,119,14.07,"< 1e-30"
"9","GO:0044271","cellular nitrogen compound biosynthetic ...",6040,391,164.02,"< 1e-30"
"10","GO:0034641","cellular nitrogen compound metabolic pro...",11920,587,323.69,"< 1e-30"
"11","GO:0034645","cellular macromolecule biosynthetic proc...",5739,374,155.84,"< 1e-30"
"12","GO:0009059","macromolecule biosynthetic process",5951,377,161.6,"< 1e-30"
"13","GO:0042254","ribosome biogenesis",366,82,9.94,"< 1e-30"
"14","GO:0006396","RNA processing",1149,138,31.2,"< 1e-30"
"15","GO:0044249","cellular biosynthetic process",7955,419,216.02,"< 1e-30"
"16","GO:1901576","organic substance biosynthetic process",8134,423,220.88,"< 1e-30"
"17","GO:0044085","cellular component biogenesis",1383,145,37.56,"< 1e-30"
"18","GO:0009058","biosynthetic process",8350,424,226.75,"< 1e-30"
"19","GO:0044267","cellular protein metabolic process",7729,380,209.88,"< 1e-30"
"20","GO:0034470","ncRNA processing",451,73,12.25,"< 1e-30"
"21","GO:0034660","ncRNA metabolic process",636,85,17.27,"< 1e-30"
"22","GO:0006364","rRNA processing",237,53,6.44,"< 1e-30"
"23","GO:0016072","rRNA metabolic process",239,53,6.49,"< 1e-30"
"24","GO:0022618","ribonucleoprotein complex assembly",217,49,5.89,"1.1e-30"
"25","GO:0071826","ribonucleoprotein complex subunit organi...",218,49,5.92,"1.4e-30"
"26","GO:0016070","RNA metabolic process",5068,264,137.62,"1.1e-26"
"27","GO:0043170","macromolecule metabolic process",18767,677,509.62,"1.6e-26"
"28","GO:0006807","nitrogen compound metabolic process",19831,704,538.52,"2.8e-26"
"29","GO:0019538","protein metabolic process",9267,399,251.65,"5.1e-25"
"30","GO:0006413","translational initiation",342,50,9.29,"3.2e-22"
"31","GO:0071840","cellular component organization or bioge...",3994,212,108.46,"5.3e-22"
"32","GO:0034622","cellular protein-containing complex asse...",615,66,16.7,"2.6e-21"
"33","GO:1901564","organonitrogen compound metabolic proces...",11095,438,301.29,"3.2e-20"
"34","GO:0043933","protein-containing complex subunit organ...",836,74,22.7,"6.8e-19"
"35","GO:0065003","protein-containing complex assembly",711,67,19.31,"1.3e-18"
"36","GO:0008380","RNA splicing",325,42,8.83,"6.9e-17"
"37","GO:0042273","ribosomal large subunit biogenesis",86,23,2.34,"7.0e-17"
"38","GO:0001732","formation of cytoplasmic translation ini...",61,20,1.66,"8.6e-17"
"39","GO:0002183","cytoplasmic translational initiation",64,20,1.74,"2.5e-16"
"40","GO:0006397","mRNA processing",437,48,11.87,"3.1e-16"
