"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006396","RNA processing",1149,264,101.47,"< 1e-30"
"2","GO:0016070","RNA metabolic process",5068,738,447.58,"< 1e-30"
"3","GO:0010467","gene expression",6173,848,545.16,"< 1e-30"
"4","GO:0016071","mRNA metabolic process",542,132,47.87,"2.1e-27"
"5","GO:0006397","mRNA processing",437,110,38.59,"2.7e-24"
"6","GO:0034470","ncRNA processing",451,104,39.83,"5.5e-20"
"7","GO:0034660","ncRNA metabolic process",636,128,56.17,"6.6e-19"
"8","GO:0043414","macromolecule methylation",381,86,33.65,"3.5e-16"
"9","GO:0009892","negative regulation of metabolic process",658,123,58.11,"1.2e-15"
"10","GO:0008380","RNA splicing",325,76,28.7,"2.4e-15"
"11","GO:0048519","negative regulation of biological proces...",873,149,77.1,"3.9e-15"
"12","GO:0010605","negative regulation of macromolecule met...",612,115,54.05,"6.9e-15"
"13","GO:0019222","regulation of metabolic process",4004,489,353.61,"1.5e-14"
"14","GO:0010629","negative regulation of gene expression",435,90,38.42,"1.9e-14"
"15","GO:0006325","chromatin organization",487,95,43.01,"1.5e-13"
"16","GO:0060255","regulation of macromolecule metabolic pr...",3847,467,339.74,"1.7e-13"
"17","GO:0050789","regulation of biological process",6129,694,541.28,"2.0e-13"
"18","GO:0010468","regulation of gene expression",3306,409,291.97,"4.9e-13"
"19","GO:0008033","tRNA processing",212,52,18.72,"8.6e-12"
"20","GO:0006351","transcription, DNA-templated",3199,391,282.52,"9.0e-12"
"21","GO:0006479","protein methylation",207,51,18.28,"1.1e-11"
"22","GO:0008213","protein alkylation",207,51,18.28,"1.1e-11"
"23","GO:0065007","biological regulation",7018,766,619.79,"1.8e-11"
"24","GO:0097659","nucleic acid-templated transcription",3270,396,288.79,"2.3e-11"
"25","GO:0032259","methylation",1054,158,93.08,"3.0e-11"
"26","GO:0032774","RNA biosynthetic process",3368,405,297.44,"3.4e-11"
"27","GO:0006400","tRNA modification",133,38,11.75,"4.4e-11"
"28","GO:0006364","rRNA processing",237,54,20.93,"7.2e-11"
"29","GO:0016072","rRNA metabolic process",239,54,21.11,"1.0e-10"
"30","GO:0031323","regulation of cellular metabolic process",3670,432,324.11,"1.3e-10"
"31","GO:0051276","chromosome organization",931,141,82.22,"1.7e-10"
"32","GO:0080090","regulation of primary metabolic process",3633,427,320.84,"2.1e-10"
"33","GO:0006399","tRNA metabolic process",390,74,34.44,"2.7e-10"
"34","GO:0022613","ribonucleoprotein complex biogenesis",518,90,45.75,"4.2e-10"
"35","GO:0050794","regulation of cellular process",5500,608,485.73,"5.9e-10"
"36","GO:0051171","regulation of nitrogen compound metaboli...",3572,417,315.46,"8.3e-10"
"37","GO:0034654","nucleobase-containing compound biosynthe...",4220,480,372.69,"1.4e-09"
"38","GO:0018130","heterocycle biosynthetic process",4527,510,399.8,"1.5e-09"
"39","GO:0044265","cellular macromolecule catabolic process",630,102,55.64,"1.7e-09"
"40","GO:0018205","peptidyl-lysine modification",279,57,24.64,"1.8e-09"
