"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0031146","SCF-dependent proteasomal ubiquitin-depe...",89,2,0.04,"0.00072"
"2","GO:0043161","proteasome-mediated ubiquitin-dependent ...",214,2,0.1,"0.00404"
"3","GO:0010498","proteasomal protein catabolic process",226,2,0.1,"0.00449"
"4","GO:0016567","protein ubiquitination",799,3,0.36,"0.00501"
"5","GO:0032446","protein modification by small protein co...",829,3,0.37,"0.00555"
"6","GO:0070647","protein modification by small protein co...",963,3,0.43,"0.00839"
"7","GO:0015693","magnesium ion transport",24,1,0.01,"0.01065"
"8","GO:1903830","magnesium ion transmembrane transport",24,1,0.01,"0.01065"
"9","GO:0006783","heme biosynthetic process",30,1,0.01,"0.01330"
"10","GO:0006511","ubiquitin-dependent protein catabolic pr...",421,2,0.19,"0.01484"
"11","GO:0042168","heme metabolic process",34,1,0.02,"0.01506"
"12","GO:0019941","modification-dependent protein catabolic...",429,2,0.19,"0.01537"
"13","GO:0043632","modification-dependent macromolecule cat...",437,2,0.19,"0.01592"
"14","GO:0044257","cellular protein catabolic process",477,2,0.21,"0.01877"
"15","GO:0051603","proteolysis involved in cellular protein...",477,2,0.21,"0.01877"
"16","GO:0030163","protein catabolic process",550,2,0.25,"0.02450"
"17","GO:0044265","cellular macromolecule catabolic process",630,2,0.28,"0.03149"
"18","GO:0006779","porphyrin-containing compound biosynthet...",79,1,0.04,"0.03467"
"19","GO:0006694","steroid biosynthetic process",85,1,0.04,"0.03725"
"20","GO:0008202","steroid metabolic process",87,1,0.04,"0.03811"
"21","GO:0008152","metabolic process",28157,16,12.56,"0.04074"
"22","GO:0033014","tetrapyrrole biosynthetic process",95,1,0.04,"0.04155"
"23","GO:1901565","organonitrogen compound catabolic proces...",745,2,0.33,"0.04274"
"24","GO:0006778","porphyrin-containing compound metabolic ...",107,1,0.05,"0.04668"
"25","GO:1901362","organic cyclic compound biosynthetic pro...",4672,5,2.08,"0.04821"
"26","GO:0033013","tetrapyrrole metabolic process",121,1,0.05,"0.05263"
"27","GO:0070838","divalent metal ion transport",122,1,0.05,"0.05306"
"28","GO:0072511","divalent inorganic cation transport",123,1,0.05,"0.05348"
"29","GO:0071704","organic substance metabolic process",23218,14,10.36,"0.05417"
"30","GO:0046148","pigment biosynthetic process",137,1,0.06,"0.05939"
"31","GO:0006508","proteolysis",2119,3,0.95,"0.06510"
"32","GO:0042440","pigment metabolic process",169,1,0.08,"0.07278"
"33","GO:0009057","macromolecule catabolic process",1083,2,0.48,"0.08280"
"34","GO:0006464","cellular protein modification process",5778,5,2.58,"0.10226"
"35","GO:0036211","protein modification process",5778,5,2.58,"0.10226"
"36","GO:0016310","phosphorylation",4106,4,1.83,"0.10241"
"37","GO:0044238","primary metabolic process",22349,13,9.97,"0.10402"
"38","GO:0009734","auxin-activated signaling pathway",261,1,0.12,"0.11027"
"39","GO:0071365","cellular response to auxin stimulus",279,1,0.12,"0.11744"
"40","GO:0043412","macromolecule modification",6140,5,2.74,"0.12508"
