"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0055114","oxidation-reduction process",2738,24,10.74,"7.3e-05"
"2","GO:0003333","amino acid transmembrane transport",5,2,0.02,"0.00015"
"3","GO:0019419","sulfate reduction",5,2,0.02,"0.00015"
"4","GO:0006732","coenzyme metabolic process",308,7,1.21,"0.00020"
"5","GO:0009108","coenzyme biosynthetic process",239,6,0.94,"0.00035"
"6","GO:0042822","pyridoxal phosphate metabolic process",8,2,0.03,"0.00042"
"7","GO:0042823","pyridoxal phosphate biosynthetic process",8,2,0.03,"0.00042"
"8","GO:0046184","aldehyde biosynthetic process",8,2,0.03,"0.00042"
"9","GO:0051186","cofactor metabolic process",588,9,2.31,"0.00047"
"10","GO:0006865","amino acid transport",9,2,0.04,"0.00054"
"11","GO:0042816","vitamin B6 metabolic process",11,2,0.04,"0.00082"
"12","GO:0042819","vitamin B6 biosynthetic process",11,2,0.04,"0.00082"
"13","GO:0051188","cofactor biosynthetic process",289,6,1.13,"0.00095"
"14","GO:0006790","sulfur compound metabolic process",195,5,0.77,"0.00101"
"15","GO:0044283","small molecule biosynthetic process",664,9,2.61,"0.00112"
"16","GO:0042364","water-soluble vitamin biosynthetic proce...",54,3,0.21,"0.00125"
"17","GO:0006767","water-soluble vitamin metabolic process",56,3,0.22,"0.00138"
"18","GO:0009110","vitamin biosynthetic process",57,3,0.22,"0.00146"
"19","GO:1903825","organic acid transmembrane transport",15,2,0.06,"0.00154"
"20","GO:1905039","carboxylic acid transmembrane transport",15,2,0.06,"0.00154"
"21","GO:0006766","vitamin metabolic process",59,3,0.23,"0.00161"
"22","GO:0072525","pyridine-containing compound biosyntheti...",152,4,0.6,"0.00301"
"23","GO:1901615","organic hydroxy compound metabolic proce...",79,3,0.31,"0.00370"
"24","GO:0098656","anion transmembrane transport",25,2,0.1,"0.00430"
"25","GO:0072524","pyridine-containing compound metabolic p...",183,4,0.72,"0.00581"
"26","GO:0016226","iron-sulfur cluster assembly",32,2,0.13,"0.00698"
"27","GO:0031163","metallo-sulfur cluster assembly",32,2,0.13,"0.00698"
"28","GO:0006014","D-ribose metabolic process",2,1,0.01,"0.00783"
"29","GO:0006694","steroid biosynthetic process",36,2,0.14,"0.00878"
"30","GO:1901617","organic hydroxy compound biosynthetic pr...",37,2,0.15,"0.00926"
"31","GO:0008202","steroid metabolic process",40,2,0.16,"0.01076"
"32","GO:0006563","L-serine metabolic process",48,2,0.19,"0.01525"
"33","GO:0009070","serine family amino acid biosynthetic pr...",49,2,0.19,"0.01586"
"34","GO:0006081","cellular aldehyde metabolic process",50,2,0.2,"0.01648"
"35","GO:0016053","organic acid biosynthetic process",525,6,2.06,"0.01697"
"36","GO:0046394","carboxylic acid biosynthetic process",525,6,2.06,"0.01697"
"37","GO:0019637","organophosphate metabolic process",689,7,2.7,"0.01825"
"38","GO:0015849","organic acid transport",53,2,0.21,"0.01840"
"39","GO:0046942","carboxylic acid transport",53,2,0.21,"0.01840"
"40","GO:0006414","translational elongation",54,2,0.21,"0.01906"
