"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0051234","establishment of localization",2812,223,154.34,"2.5e-09"
"2","GO:0006810","transport",2804,222,153.9,"3.1e-09"
"3","GO:0051179","localization",2838,224,155.77,"3.4e-09"
"4","GO:0055085","transmembrane transport",1722,148,94.51,"1.7e-08"
"5","GO:0006464","cellular protein modification process",2750,208,150.94,"4.1e-07"
"6","GO:0036211","protein modification process",2750,208,150.94,"4.1e-07"
"7","GO:0007154","cell communication",573,60,31.45,"1.2e-06"
"8","GO:0006468","protein phosphorylation",2146,167,117.79,"1.4e-06"
"9","GO:0043412","macromolecule modification",2890,212,158.62,"2.8e-06"
"10","GO:0016310","phosphorylation",2358,178,129.42,"4.0e-06"
"11","GO:0006793","phosphorus metabolic process",2971,209,163.07,"5.2e-05"
"12","GO:0006796","phosphate-containing compound metabolic ...",2965,208,162.74,"6.5e-05"
"13","GO:0007165","signal transduction",451,44,24.75,"0.00016"
"14","GO:0023052","signaling",451,44,24.75,"0.00016"
"15","GO:0006022","aminoglycan metabolic process",26,7,1.43,"0.00038"
"16","GO:0006026","aminoglycan catabolic process",26,7,1.43,"0.00038"
"17","GO:0006030","chitin metabolic process",26,7,1.43,"0.00038"
"18","GO:0006032","chitin catabolic process",26,7,1.43,"0.00038"
"19","GO:0016998","cell wall macromolecule catabolic proces...",26,7,1.43,"0.00038"
"20","GO:0046348","amino sugar catabolic process",26,7,1.43,"0.00038"
"21","GO:1901071","glucosamine-containing compound metaboli...",26,7,1.43,"0.00038"
"22","GO:1901072","glucosamine-containing compound cataboli...",26,7,1.43,"0.00038"
"23","GO:0006040","amino sugar metabolic process",27,7,1.48,"0.00050"
"24","GO:0008037","cell recognition",122,16,6.7,"0.00104"
"25","GO:0009856","pollination",122,16,6.7,"0.00104"
"26","GO:0009875","pollen-pistil interaction",122,16,6.7,"0.00104"
"27","GO:0044706","multi-multicellular organism process",122,16,6.7,"0.00104"
"28","GO:0048544","recognition of pollen",122,16,6.7,"0.00104"
"29","GO:0006811","ion transport",894,71,49.07,"0.00108"
"30","GO:0051704","multi-organism process",151,18,8.29,"0.00159"
"31","GO:0006887","exocytosis",70,10,3.84,"0.00470"
"32","GO:0032940","secretion by cell",72,10,3.95,"0.00576"
"33","GO:0032501","multicellular organismal process",185,19,10.15,"0.00642"
"34","GO:1903825","organic acid transmembrane transport",15,4,0.82,"0.00757"
"35","GO:1905039","carboxylic acid transmembrane transport",15,4,0.82,"0.00757"
"36","GO:0015849","organic acid transport",53,8,2.91,"0.00788"
"37","GO:0046942","carboxylic acid transport",53,8,2.91,"0.00788"
"38","GO:1901136","carbohydrate derivative catabolic proces...",44,7,2.41,"0.00950"
"39","GO:0046903","secretion",78,10,4.28,"0.01007"
"40","GO:0098656","anion transmembrane transport",25,5,1.37,"0.01046"
