"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0046483","heterocycle metabolic process",3889,166,106.41,"2.6e-10"
"2","GO:0034660","ncRNA metabolic process",366,34,10.01,"5.5e-10"
"3","GO:1901360","organic cyclic compound metabolic proces...",4015,166,109.86,"3.1e-09"
"4","GO:0006520","cellular amino acid metabolic process",548,41,14.99,"6.0e-09"
"5","GO:0044281","small molecule metabolic process",1596,83,43.67,"7.8e-09"
"6","GO:0034641","cellular nitrogen compound metabolic pro...",4809,188,131.58,"1.4e-08"
"7","GO:1901566","organonitrogen compound biosynthetic pro...",1926,92,52.7,"6.4e-08"
"8","GO:0006399","tRNA metabolic process",269,25,7.36,"1.1e-07"
"9","GO:0006725","cellular aromatic compound metabolic pro...",3944,157,107.91,"1.5e-07"
"10","GO:0019752","carboxylic acid metabolic process",981,55,26.84,"3.5e-07"
"11","GO:0043436","oxoacid metabolic process",986,55,26.98,"4.1e-07"
"12","GO:0006082","organic acid metabolic process",988,55,27.03,"4.4e-07"
"13","GO:0043038","amino acid activation",138,16,3.78,"1.2e-06"
"14","GO:0043039","tRNA aminoacylation",138,16,3.78,"1.2e-06"
"15","GO:0051188","cofactor biosynthetic process",289,24,7.91,"1.5e-06"
"16","GO:0006418","tRNA aminoacylation for protein translat...",132,15,3.61,"3.3e-06"
"17","GO:0006801","superoxide metabolic process",29,7,0.79,"1.0e-05"
"18","GO:0006396","RNA processing",530,33,14.5,"1.1e-05"
"19","GO:0033013","tetrapyrrole metabolic process",66,10,1.81,"1.1e-05"
"20","GO:0006576","cellular biogenic amine metabolic proces...",70,10,1.92,"2.0e-05"
"21","GO:0044106","cellular amine metabolic process",70,10,1.92,"2.0e-05"
"22","GO:0034470","ncRNA processing",224,18,6.13,"4.7e-05"
"23","GO:0044249","cellular biosynthetic process",4379,158,119.82,"5.0e-05"
"24","GO:0006777","Mo-molybdopterin cofactor biosynthetic p...",9,4,0.25,"6.3e-05"
"25","GO:0019720","Mo-molybdopterin cofactor metabolic proc...",9,4,0.25,"6.3e-05"
"26","GO:0043545","molybdopterin cofactor metabolic process",9,4,0.25,"6.3e-05"
"27","GO:0051189","prosthetic group metabolic process",9,4,0.25,"6.3e-05"
"28","GO:1901576","organic substance biosynthetic process",4464,160,122.14,"6.3e-05"
"29","GO:0006139","nucleobase-containing compound metabolic...",3641,135,99.62,"6.6e-05"
"30","GO:0006879","cellular iron ion homeostasis",4,3,0.11,"8.0e-05"
"31","GO:0055072","iron ion homeostasis",4,3,0.11,"8.0e-05"
"32","GO:0009058","biosynthetic process",4652,165,127.29,"8.0e-05"
"33","GO:0008152","metabolic process",13764,412,376.6,"8.2e-05"
"34","GO:1901605","alpha-amino acid metabolic process",289,20,7.91,"0.00015"
"35","GO:0048518","positive regulation of biological proces...",124,12,3.39,"0.00015"
"36","GO:0006778","porphyrin-containing compound metabolic ...",44,7,1.2,"0.00018"
"37","GO:0051186","cofactor metabolic process",588,32,16.09,"0.00019"
"38","GO:0006364","rRNA processing",91,10,2.49,"0.00019"
"39","GO:0006807","nitrogen compound metabolic process",8977,285,245.62,"0.00021"
"40","GO:0033014","tetrapyrrole biosynthetic process",60,8,1.64,"0.00022"
