"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0034641","cellular nitrogen compound metabolic pro...",4809,47,21.49,"2.4e-09"
"2","GO:0022613","ribonucleoprotein complex biogenesis",171,9,0.76,"7.0e-08"
"3","GO:0010467","gene expression",3456,36,15.45,"1.6e-07"
"4","GO:0042254","ribosome biogenesis",140,8,0.63,"2.1e-07"
"5","GO:0006825","copper ion transport",8,3,0.04,"4.7e-06"
"6","GO:0006807","nitrogen compound metabolic process",8977,60,40.12,"6.6e-06"
"7","GO:0000027","ribosomal large subunit assembly",2,2,0.01,"2.0e-05"
"8","GO:0006396","RNA processing",530,11,2.37,"2.3e-05"
"9","GO:0090501","RNA phosphodiester bond hydrolysis",13,3,0.06,"2.4e-05"
"10","GO:0043603","cellular amide metabolic process",1111,16,4.97,"2.8e-05"
"11","GO:0043170","macromolecule metabolic process",7921,54,35.4,"2.8e-05"
"12","GO:0009987","cellular process",11364,68,50.79,"3.0e-05"
"13","GO:0016485","protein processing",40,4,0.18,"3.0e-05"
"14","GO:0006518","peptide metabolic process",1028,15,4.59,"4.4e-05"
"15","GO:0044237","cellular metabolic process",9563,60,42.74,"7.6e-05"
"16","GO:0044085","cellular component biogenesis",501,10,2.24,"7.7e-05"
"17","GO:0090305","nucleic acid phosphodiester bond hydroly...",20,3,0.09,"9.3e-05"
"18","GO:0006412","translation",997,14,4.46,"0.00012"
"19","GO:0043043","peptide biosynthetic process",1004,14,4.49,"0.00013"
"20","GO:0051604","protein maturation",61,4,0.27,"0.00016"
"21","GO:0033554","cellular response to stress",262,7,1.17,"0.00017"
"22","GO:0071840","cellular component organization or bioge...",1032,14,4.61,"0.00018"
"23","GO:0043604","amide biosynthetic process",1047,14,4.68,"0.00021"
"24","GO:0090304","nucleic acid metabolic process",3078,27,13.76,"0.00026"
"25","GO:0006139","nucleobase-containing compound metabolic...",3641,30,16.27,"0.00031"
"26","GO:0000041","transition metal ion transport",31,3,0.14,"0.00035"
"27","GO:0006626","protein targeting to mitochondrion",7,2,0.03,"0.00041"
"28","GO:0030150","protein import into mitochondrial matrix",7,2,0.03,"0.00041"
"29","GO:0044743","protein transmembrane import into intrac...",7,2,0.03,"0.00041"
"30","GO:0065002","intracellular protein transmembrane tran...",7,2,0.03,"0.00041"
"31","GO:0070585","protein localization to mitochondrion",7,2,0.03,"0.00041"
"32","GO:0072655","establishment of protein localization to...",7,2,0.03,"0.00041"
"33","GO:0046483","heterocycle metabolic process",3889,31,17.38,"0.00043"
"34","GO:0034470","ncRNA processing",224,6,1,"0.00050"
"35","GO:0006259","DNA metabolic process",522,9,2.33,"0.00053"
"36","GO:0006725","cellular aromatic compound metabolic pro...",3944,31,17.63,"0.00055"
"37","GO:1901566","organonitrogen compound biosynthetic pro...",1926,19,8.61,"0.00069"
"38","GO:0042255","ribosome assembly",9,2,0.04,"0.00070"
"39","GO:0022618","ribonucleoprotein complex assembly",40,3,0.18,"0.00075"
"40","GO:0071826","ribonucleoprotein complex subunit organi...",40,3,0.18,"0.00075"
