"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006544","glycine metabolic process",30,11,0.39,"5.6e-14"
"2","GO:0001505","regulation of neurotransmitter levels",34,11,0.44,"2.8e-13"
"3","GO:0042133","neurotransmitter metabolic process",34,11,0.44,"2.8e-13"
"4","GO:0044281","small molecule metabolic process",1596,57,20.53,"7.4e-13"
"5","GO:0005975","carbohydrate metabolic process",1299,49,16.71,"6.4e-12"
"6","GO:0006546","glycine catabolic process",12,7,0.15,"4.0e-11"
"7","GO:0009071","serine family amino acid catabolic proce...",12,7,0.15,"4.0e-11"
"8","GO:0065008","regulation of biological quality",409,25,5.26,"1.2e-10"
"9","GO:0042135","neurotransmitter catabolic process",14,7,0.18,"1.7e-10"
"10","GO:0009069","serine family amino acid metabolic proce...",77,12,0.99,"2.7e-10"
"11","GO:0006520","cellular amino acid metabolic process",548,28,7.05,"5.4e-10"
"12","GO:0019752","carboxylic acid metabolic process",981,37,12.62,"3.7e-09"
"13","GO:0043436","oxoacid metabolic process",986,37,12.68,"4.2e-09"
"14","GO:0006082","organic acid metabolic process",988,37,12.71,"4.5e-09"
"15","GO:1901605","alpha-amino acid metabolic process",289,19,3.72,"6.9e-09"
"16","GO:1901606","alpha-amino acid catabolic process",39,7,0.5,"5.8e-07"
"17","GO:0044282","small molecule catabolic process",77,9,0.99,"6.2e-07"
"18","GO:0006662","glycerol ether metabolic process",28,6,0.36,"1.3e-06"
"19","GO:0018904","ether metabolic process",28,6,0.36,"1.3e-06"
"20","GO:0009063","cellular amino acid catabolic process",45,7,0.58,"1.6e-06"
"21","GO:0045454","cell redox homeostasis",233,14,3,"2.0e-06"
"22","GO:0008152","metabolic process",13764,206,177.05,"2.1e-06"
"23","GO:0016054","organic acid catabolic process",52,7,0.67,"4.4e-06"
"24","GO:0046395","carboxylic acid catabolic process",52,7,0.67,"4.4e-06"
"25","GO:0019725","cellular homeostasis",268,14,3.45,"1.0e-05"
"26","GO:1901607","alpha-amino acid biosynthetic process",203,12,2.61,"1.3e-05"
"27","GO:0008652","cellular amino acid biosynthetic process",244,13,3.14,"1.7e-05"
"28","GO:0055114","oxidation-reduction process",2738,59,35.22,"3.2e-05"
"29","GO:0042592","homeostatic process",310,14,3.99,"5.2e-05"
"30","GO:0006545","glycine biosynthetic process",18,4,0.23,"7.1e-05"
"31","GO:0019264","glycine biosynthetic process from serine",18,4,0.23,"7.1e-05"
"32","GO:0035999","tetrahydrofolate interconversion",18,4,0.23,"7.1e-05"
"33","GO:0000105","histidine biosynthetic process",19,4,0.24,"8.9e-05"
"34","GO:0006547","histidine metabolic process",19,4,0.24,"8.9e-05"
"35","GO:0052803","imidazole-containing compound metabolic ...",19,4,0.24,"8.9e-05"
"36","GO:0017144","drug metabolic process",646,21,8.31,"9.7e-05"
"37","GO:0042136","neurotransmitter biosynthetic process",20,4,0.26,"0.00011"
"38","GO:0019464","glycine decarboxylation via glycine clea...",8,3,0.1,"0.00011"
"39","GO:0006730","one-carbon metabolic process",21,4,0.27,"0.00013"
"40","GO:0046653","tetrahydrofolate metabolic process",22,4,0.28,"0.00016"
