"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0019953","sexual reproduction",22,2,0.02,"0.00018"
"2","GO:0044703","multi-organism reproductive process",22,2,0.02,"0.00018"
"3","GO:0006468","protein phosphorylation",2146,8,1.99,"0.00032"
"4","GO:0016310","phosphorylation",2358,8,2.18,"0.00061"
"5","GO:0006464","cellular protein modification process",2750,8,2.55,"0.00172"
"6","GO:0036211","protein modification process",2750,8,2.55,"0.00172"
"7","GO:0043412","macromolecule modification",2890,8,2.68,"0.00239"
"8","GO:0006796","phosphate-containing compound metabolic ...",2965,8,2.75,"0.00283"
"9","GO:0006793","phosphorus metabolic process",2971,8,2.75,"0.00286"
"10","GO:0019538","protein metabolic process",4784,10,4.43,"0.00431"
"11","GO:0043170","macromolecule metabolic process",7921,13,7.34,"0.00561"
"12","GO:0051704","multi-organism process",151,2,0.14,"0.00844"
"13","GO:0000079","regulation of cyclin-dependent protein s...",11,1,0.01,"0.01015"
"14","GO:0001932","regulation of protein phosphorylation",11,1,0.01,"0.01015"
"15","GO:0042325","regulation of phosphorylation",11,1,0.01,"0.01015"
"16","GO:0043549","regulation of kinase activity",11,1,0.01,"0.01015"
"17","GO:0045859","regulation of protein kinase activity",11,1,0.01,"0.01015"
"18","GO:0051338","regulation of transferase activity",11,1,0.01,"0.01015"
"19","GO:0071900","regulation of protein serine/threonine k...",11,1,0.01,"0.01015"
"20","GO:1904029","regulation of cyclin-dependent protein k...",11,1,0.01,"0.01015"
"21","GO:0000003","reproduction",175,2,0.16,"0.01120"
"22","GO:0022414","reproductive process",175,2,0.16,"0.01120"
"23","GO:0044260","cellular macromolecule metabolic process",6499,11,6.02,"0.01324"
"24","GO:0044267","cellular protein metabolic process",3942,8,3.65,"0.01680"
"25","GO:1901564","organonitrogen compound metabolic proces...",5964,10,5.53,"0.02277"
"26","GO:0019220","regulation of phosphate metabolic proces...",27,1,0.03,"0.02474"
"27","GO:0051174","regulation of phosphorus metabolic proce...",27,1,0.03,"0.02474"
"28","GO:0031399","regulation of protein modification proce...",31,1,0.03,"0.02835"
"29","GO:0051726","regulation of cell cycle",37,1,0.03,"0.03375"
"30","GO:0032268","regulation of cellular protein metabolic...",48,1,0.04,"0.04358"
"31","GO:0050790","regulation of catalytic activity",55,1,0.05,"0.04978"
"32","GO:0065009","regulation of molecular function",55,1,0.05,"0.04978"
"33","GO:0051246","regulation of protein metabolic process",57,1,0.05,"0.05154"
"34","GO:0010411","xyloglucan metabolic process",60,1,0.06,"0.05419"
"35","GO:0006807","nitrogen compound metabolic process",8977,12,8.32,"0.06027"
"36","GO:0010383","cell wall polysaccharide metabolic proce...",68,1,0.06,"0.06120"
"37","GO:0010410","hemicellulose metabolic process",68,1,0.06,"0.06120"
"38","GO:0007049","cell cycle",77,1,0.07,"0.06903"
"39","GO:0044036","cell wall macromolecule metabolic proces...",94,1,0.09,"0.08365"
"40","GO:0042546","cell wall biogenesis",103,1,0.1,"0.09131"
